code,level,state,partisan_lean,gcb,environment,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
CT-05,district,CT,6.68,4.82,11.5,5.68,36.2,60.5,-24.3,-0.0,67.4,8.8,18.0,4.2,1.5,0.1
DE-01,district,DE,15.61,4.82,20.43,14.84,33.2,63.6,-30.4,1.5,61.9,22.6,8.6,4.8,2.0,0.1
FL-01,district,FL,-36.7,4.82,-31.88,-37.53,55.4,41.3,14.1,1.6,72.0,13.5,6.7,4.2,3.2,0.4
FL-02,district,FL,-16.49,4.82,-11.67,-18.33,47.0,49.7,-2.7,1.9,65.3,23.0,6.4,2.8,2.3,0.2
FL-03,district,FL,-19.45,4.82,-14.63,-21.26,47.9,48.8,-0.9,1.2,67.6,15.8,10.6,3.9,1.9,0.2
FL-04,district,FL,-10.78,4.82,-5.96,-11.96,44.6,52.2,-7.6,1.9,54.9,31.4,7.8,3.6,2.1,0.3
FL-05,district,FL,-20.63,4.82,-15.81,-21.69,48.2,48.5,-0.3,0.8,67.3,12.8,10.8,7.0,1.8,0.3
FL-06,district,FL,-28.57,4.82,-23.75,-30.31,51.8,44.9,6.9,1.3,74.7,11.2,9.8,2.1,2.1,0.2
FL-07,district,FL,-10.92,4.82,-6.1,-12.62,43.6,53.1,-9.5,-0.2,64.0,10.4,18.8,4.7,1.9,0.2
FL-08,district,FL,-15.06,4.82,-10.24,-16.4,45.7,51.0,-5.3,0.5,68.2,10.8,14.2,4.5,2.1,0.2
FL-09,district,FL,-14.81,4.82,-9.99,-17.93,44.1,52.6,-8.5,-2.4,48.3,10.5,35.7,3.5,1.8,0.2
FL-10,district,FL,26.8,4.82,31.62,24.29,27.0,69.8,-42.8,-1.4,35.3,27.4,30.0,5.2,1.8,0.3
FL-11,district,FL,-14.37,4.82,-9.55,-15.84,45.0,51.8,-6.8,-0.3,62.1,10.8,19.9,5.3,1.7,0.2
FL-12,district,FL,-12.99,4.82,-8.17,-15.55,44.1,52.6,-8.5,-0.9,58.2,10.6,24.5,4.6,1.9,0.2
FL-13,district,FL,-12.0,4.82,-7.18,-13.46,44.6,52.1,-7.5,1.0,76.9,6.4,10.3,4.4,1.9,0.2
FL-14,district,FL,-8.79,4.82,-3.97,-10.62,42.3,54.5,-12.2,-1.1,54.3,13.2,25.6,4.6,2.0,0.2
FL-15,district,FL,-17.66,4.82,-12.84,-20.09,46.8,49.9,-3.1,0.5,63.4,14.9,14.8,4.7,1.9,0.2
FL-16,district,FL,-11.67,4.82,-6.85,-13.81,44.4,52.3,-7.9,0.9,70.7,12.0,12.9,2.7,1.6,0.1
FL-17,district,FL,-20.19,4.82,-15.37,-22.24,48.2,48.6,-0.4,1.1,78.3,7.0,11.0,2.1,1.5,0.1
FL-18,district,FL,-15.19,4.82,-10.37,-17.1,45.1,51.6,-6.5,-0.7,55.5,15.1,24.6,2.5,2.1,0.2
FL-19,district,FL,-28.43,4.82,-23.61,-30.42,51.1,45.6,5.5,-0.1,72.6,5.1,18.9,2.1,1.2,0.1
FL-20,district,FL,40.58,4.82,45.4,37.5,21.8,75.0,-53.2,-0.0,30.0,41.9,23.2,3.7,1.1,0.2
FL-21,district,FL,-14.46,4.82,-9.64,-16.36,45.5,51.3,-5.8,0.6,67.4,13.1,15.0,2.8,1.5,0.2
FL-22,district,FL,-7.03,4.82,-2.21,-10.6,41.1,55.6,-14.5,-1.8,49.0,13.6,31.0,4.9,1.3,0.2
FL-23,district,FL,17.41,4.82,22.23,13.94,31.3,65.4,-34.2,-0.7,46.9,22.8,25.5,2.9,1.6,0.2
FL-24,district,FL,44.37,4.82,49.19,39.08,19.1,77.6,-58.5,-2.1,11.2,46.0,39.5,2.1,1.1,0.1
FL-25,district,FL,-5.24,4.82,-0.42,-9.22,40.6,56.2,-15.6,-1.4,59.9,7.5,28.2,3.3,1.0,0.1
FL-26,district,FL,-12.73,4.82,-7.91,-18.5,40.7,56.1,-15.4,-7.6,12.3,10.4,72.7,3.8,0.7,0.1
FL-27,district,FL,-9.78,4.82,-4.96,-14.7,39.4,57.3,-18.0,-7.6,16.5,6.9,73.0,2.6,0.8,0.1
FL-28,district,FL,-19.43,4.82,-14.61,-25.63,43.6,53.1,-9.5,-7.3,15.0,10.1,71.6,2.2,1.1,0.1
GA-01,district,GA,-15.28,4.82,-10.46,-15.92,46.5,50.2,-3.7,2.0,60.0,28.0,6.7,3.0,2.0,0.3
GA-02,district,GA,8.57,4.82,13.39,7.66,36.8,60.0,-23.2,2.7,42.4,48.9,5.1,1.9,1.5,0.2
GA-03,district,GA,-30.08,4.82,-25.26,-29.88,52.9,43.8,9.1,2.1,66.7,23.3,5.3,2.5,2.1,0.1
GA-04,district,GA,54.47,4.82,59.29,53.04,16.2,80.6,-64.4,0.5,21.3,49.6,16.7,10.4,1.9,0.1
GA-05,district,GA,73.04,4.82,77.86,72.33,9.0,87.7,-78.7,2.0,33.2,50.4,8.5,6.2,1.5,0.1
GA-06,district,GA,50.2,4.82,55.02,50.34,18.6,78.1,-59.4,1.9,32.4,51.1,10.5,4.3,1.6,0.1
GA-07,district,GA,-22.22,4.82,-17.4,-22.27,48.8,48.0,0.8,0.6,66.8,8.9,9.1,13.2,1.8,0.1
GA-08,district,GA,-30.02,4.82,-25.2,-30.76,52.9,43.8,9.1,2.2,60.2,29.9,6.1,2.0,1.6,0.1
GA-09,district,GA,-34.31,4.82,-29.49,-34.33,53.8,42.9,10.9,0.4,64.1,12.6,13.6,7.3,2.3,0.1
GA-10,district,GA,-21.15,4.82,-16.33,-20.93,49.0,47.7,1.3,2.0,65.1,23.6,6.4,2.8,1.9,0.1
GA-11,district,GA,-23.67,4.82,-18.85,-23.52,49.6,47.1,2.5,1.0,69.5,12.8,10.4,4.8,2.4,0.1
GA-12,district,GA,-13.21,4.82,-8.39,-14.2,45.9,50.8,-4.9,2.5,54.3,36.5,4.8,2.5,1.7,0.2
GA-13,district,GA,41.87,4.82,46.69,42.65,21.9,74.8,-52.9,1.3,27.4,50.6,12.4,7.6,1.8,0.2
GA-14,district,GA,-37.49,4.82,-32.67,-37.03,55.6,41.1,14.5,1.3,72.8,12.5,10.0,1.9,2.7,0.1
HI-01,district,HI,26.98,4.82,31.8,25.17,26.1,70.6,-44.5,-3.0,14.1,2.7,5.8,59.9,1.6,15.8
HI-02,district,HI,24.56,4.82,29.38,22.06,27.6,69.1,-41.6,-2.0,26.9,2.0,8.1,36.7,2.5,23.7
IA-01,district,IA,-7.01,4.82,-2.19,-8.59,43.0,53.8,-10.8,1.9,86.1,4.7,4.7,2.7,1.6,0.1
IA-02,district,IA,-8.56,4.82,-3.74,-10.13,43.8,53.0,-9.2,2.2,88.6,4.8,3.0,1.8,1.5,0.3
IA-03,district,IA,-3.41,4.82,1.41,-4.46,41.2,55.5,-14.2,1.5,82.3,5.2,6.6,4.2,1.6,0.2
IA-04,district,IA,-30.53,4.82,-25.71,-31.9,52.7,44.0,8.7,1.4,85.4,2.4,7.6,2.5,1.7,0.5
ID-01,district,ID,-44.68,4.82,-39.86,-46.2,58.5,38.2,20.3,1.0,83.1,0.9,9.9,2.1,3.6,0.4
ID-02,district,ID,-26.75,4.82,-21.93,-27.56,50.8,46.0,4.8,0.7,80.3,1.4,12.2,2.6,3.0,0.4
IL-01,district,IL,35.49,4.82,40.31,32.27,25.2,71.6,-46.4,2.4,36.6,51.5,7.8,2.6,1.4,0.1
IL-02,district,IL,35.77,4.82,40.59,33.6,24.7,72.1,-47.4,1.6,35.8,47.8,13.2,1.3,1.8,0.1
IL-03,district,IL,34.84,4.82,39.66,31.81,22.4,74.4,-52.0,-3.8,41.3,5.8,42.3,7.1,3.3,0.2
IL-04,district,IL,33.61,4.82,38.43,28.79,21.7,75.1,-53.4,-6.2,25.0,5.5,60.3,4.5,4.6,0.1
IL-05,district,IL,38.64,4.82,43.46,37.55,22.8,73.9,-51.1,0.4,73.0,3.3,10.6,11.7,1.2,0.1
IL-06,district,IL,7.05,4.82,11.87,5.67,36.4,60.4,-24.0,0.6,74.4,5.9,11.8,6.5,1.3,0.1
IL-07,district,IL,68.64,4.82,73.46,66.13,10.3,86.4,-76.1,0.8,32.3,42.4,13.7,10.1,1.5,0.1
IL-08,district,IL,9.34,4.82,14.16,7.01,34.5,62.3,-27.8,-1.2,57.7,4.7,20.5,15.0,2.1,0.1
IL-09,district,IL,38.75,4.82,43.57,37.04,22.6,74.1,-51.5,0.1,61.2,9.6,11.6,15.9,1.5,0.1
IL-10,district,IL,23.46,4.82,28.28,22.34,28.7,68.1,-39.4,-0.8,61.0,7.1,21.0,8.6,2.2,0.2
IL-11,district,IL,12.54,4.82,17.36,11.6,33.6,63.1,-29.5,-0.2,66.3,6.6,16.4,8.9,1.8,0.1
IL-12,district,IL,-43.71,4.82,-38.89,-44.13,58.8,38.0,20.8,2.3,88.5,5.6,2.4,1.4,2.0,0.1
IL-13,district,IL,11.02,4.82,15.84,10.63,35.4,61.4,-26.0,2.0,67.8,20.3,4.3,5.4,2.1,0.1
IL-14,district,IL,6.84,4.82,11.66,5.26,35.9,60.8,-24.8,-0.4,62.1,10.1,19.9,5.6,2.2,0.1
IL-15,district,IL,-40.0,4.82,-35.18,-40.5,57.2,39.6,17.6,2.3,91.3,3.4,2.4,1.0,1.8,0.1
IL-16,district,IL,-22.73,4.82,-17.91,-23.07,49.6,47.2,2.4,1.7,87.6,2.7,5.3,2.5,1.8,0.1
IL-17,district,IL,5.83,4.82,10.65,4.81,37.3,59.5,-22.2,1.4,71.8,14.1,9.4,2.6,2.0,0.1
IN-01,district,IN,2.84,4.82,7.66,0.4,38.3,58.5,-20.2,0.8,62.9,18.8,14.2,1.8,2.1,0.1
IN-02,district,IN,-25.97,4.82,-21.15,-26.92,50.7,46.0,4.7,1.3,79.4,7.2,9.2,1.9,2.2,0.1
