race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_party,ind_party_label,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,6.71,75.1,24.9,Likely D,-12.13,5.56,5.64,2.06,10.86,-0.71,-13.45,20.16,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,50.12,41.61,10,8.98,0.381,19860206,1218702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.36,46.64,0.0,621309,543145,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-40.89,0.0,100.0,Safe R,-36.27,5.56,-45.39,-1.82,-12.37,-0.49,-37.52,-3.36,False,False,LIB,0,,0.0,Paul Sand,LIB,Libertarian,5.0,0.0,,,0.0,confirmed,confirmed,29.0,50.5,1,-23.78,0.167,136953,2057743,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.08,66.92,0.0,177885,423981,0,31677,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,20.14,97.7,2.3,Safe D,12.91,5.56,20.29,1.84,-0.02,0.0,11.14,9.01,False,False,IND,0,,0.0,Collin Corbett,IND,Independent,2.88,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,22.81,0.15,25619035,2166962,60603,3141018,127990,379163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.34,38.78,0.0,2307283,1533558,0,113896,3954737
KS-GOV,governor,KS,GOV,Cindy Holscher,Ty Masterson,DEM,REP,,DEM,-8.69,19.1,80.9,Likely R,-16.42,5.56,-11.29,0.0,0.0,-0.43,-16.41,7.72,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,45.38,48.02,2,-2.76,0.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.65,54.35,0.0,424256,505057,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.72,99.9,0.1,Safe D,27.8,5.56,34.14,0.0,1.13,-0.34,25.91,4.81,False,False,IND,0,,0.0,Andrea James,IND,Independent,3.3,0.0,,,0.0,confirmed,confirmed,53.37,31.99,8,22.03,0.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.21,33.49,0.0,1536884,814442,0,80242,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,35.69,100.0,0.0,Safe D,30.37,5.56,39.28,0.0,3.43,-0.08,29.51,6.18,False,False,GRN,0,,0.0,Andy Ellis,GRN,Green,3.47,0.0,,,0.0,confirmed,confirmed,58.0,31.0,1,24.74,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.49,31.04,0.0,1392890,660143,0,73801,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,11.63,87.9,12.1,Likely D,7.36,5.56,11.95,0.0,0.0,-0.97,7.09,4.54,False,False,IND,0,,0.0,Rick Bennett,IND,Independent,2.84,0.0,,,0.0,confirmed,confirmed,48.55,37.15,6,11.86,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.23,42.93,0.0,315602,249832,0,16528,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,12.54,89.6,10.4,Likely D,-0.43,5.56,14.69,0.21,9.97,-0.63,-1.44,13.98,False,False,LIB,0,,0.0,Anthony Hudson,LIB,Libertarian,0.5,0.0,,,0.0,confirmed,confirmed,49.33,41.82,26,8.27,0.321,5958887,4492470,13682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.99,43.51,0.0,2219609,1724831,0,19821,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,11.64,87.9,12.1,Likely D,4.83,5.56,11.12,1.57,-0.12,-0.72,4.34,7.29,False,False,GRN,0,,0.0,Steven Young and Jane Kirby,GRN,Green,1.8,0.0,,,0.0,confirmed,confirmed,50.47,36.9,5,15.2,0.278,9312380,1102119,0,4480911,457944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.81,43.39,0.0,1248504,988240,0,40999,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-13.52,8.8,91.2,Likely R,-20.91,5.56,-19.08,0.0,-3.25,-0.48,-20.84,7.32,False,False,OTH,0,,0.0,Brett Lindstrom,OTH,America First,12.0,0.0,,,0.0,confirmed,confirmed,31.07,32.21,2,-3.58,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.05,49.95,0.0,252291,331158,0,79561,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-11.53,12.3,87.7,Likely R,3.63,5.56,-12.85,-1.39,-19.79,-0.86,2.82,-14.35,False,False,LIB,0,,0.0,Stephen Villee,LIB,Libertarian,2.3,0.0,,,0.0,confirmed,confirmed,38.08,48.59,7,-9.64,0.298,908163,6079166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.22,54.48,0.0,249937,315094,0,13302,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,9.89,84.0,16.0,Likely D,7.41,5.56,9.65,1.95,-6.39,1.12,6.14,3.74,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,45.55,35.12,3,11.13,0.267,13910580,987856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.94,45.06,0.0,355142,291235,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,4.14,66.4,33.6,Lean D,-1.57,5.56,5.71,0.47,0.85,0.4,-3.15,7.3,False,False,IND,0,,0.0,Danielle Ford,IND,Independent,1.84,0.0,,,0.0,confirmed,confirmed,43.95,43.64,11,1.02,0.285,4285307,2275075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.11,47.05,0.0,531104,488844,0,19119,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,13.34,90.9,9.1,Likely D,15.56,5.56,13.91,0.16,-7.5,0.13,12.68,0.65,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,49.47,37.98,18,12.79,0.286,16594119,13445025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.67,43.33,0.0,3294426,2519072,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-4.36,32.8,67.2,Lean R,-10.38,5.56,-5.99,-0.48,0.0,-0.69,-11.31,6.95,False,False,LIB,0,,0.0,Don Kissick,LIB,Libertarian,0.5,0.0,,,0.0,confirmed,confirmed,47.83,46.79,20,1.42,0.292,15928993,30306297,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.58,51.92,0.0,1920083,2095251,0,20178,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Mike Mazzei,DEM,REP,,REP,-30.13,0.1,99.9,Safe R,-34.86,5.56,-30.0,0.0,0.0,-0.7,-34.95,4.82,False,False,IND,0,,0.0,Jerry Griffin,IND,Independent,2.62,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.02,63.36,0.0,372923,694579,0,28721,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,4.76,68.6,31.4,Lean D,15.18,5.56,6.99,0.0,-13.29,-0.46,14.89,-10.13,False,False,GRN,0,,0.0,Brett Smith,GRN,Green,4.68,0.0,,,0.0,confirmed,confirmed,43.16,45.29,4,-1.56,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.93,45.39,0.0,784761,713454,0,73559,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,17.85,96.2,3.8,Safe D,-0.99,5.56,17.61,1.95,11.61,-0.53,-1.75,19.6,False,False,LIB,0,,0.0,Kenneth V. Krawchuk,LIB,Libertarian,0.5,0.0,,,0.0,confirmed,confirmed,54.09,36.01,14,18.75,0.302,34960533,2545436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.63,40.87,0.0,2886649,2012350,0,24618,4923617
RI-GOV,governor,RI,GOV,Helena Foulkes,Aaron Guckian,DEM,REP,,DEM,20.86,98.1,1.9,Safe D,15.75,5.56,21.11,0.0,0.0,-0.2,14.16,6.7,False,False,IND,0,,0.0,Ken Block,IND,Independent,18.95,0.0,,,0.0,confirmed,presumptive,39.66,15.05,2,25.21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.98,32.07,0.0,176009,115243,0,68096,359348
SC-GOV,governor,SC,GOV,Jermaine Johnson,Alan Wilson,DEM,REP,,REP,-10.46,14.7,85.3,Likely R,-16.61,5.56,-9.89,1.47,0.07,-0.39,-18.12,7.67,False,False,GRN,0,,0.0,Walid Hakim,GRN,Green,1.87,0.0,,,0.0,confirmed,confirmed,39.66,47.0,2,-9.55,0.217,753609,62585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.93,54.2,0.0,783661,966681,0,33355,1783698
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-25.51,0.6,99.4,Safe R,-29.41,5.56,-25.51,0.0,-0.64,-1.02,-29.98,4.47,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.25,62.75,0.0,111169,187304,0,0,298473
TN-GOV,governor,TN,GOV,Jerri Green,Marsha Blackburn,DEM,REP,,REP,-16.72,4.8,95.2,Safe R,-28.6,5.56,-19.85,0.0,3.73,-0.54,-30.12,13.4,False,False,IND,0,,0.0,Lauren Pinkston,IND,Independent,7.32,0.0,,,0.0,confirmed,confirmed,33.69,48.98,4,-15.38,0.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.59,54.09,0.0,827697,1160066,0,156996,2144759
TX-GOV,governor,TX,GOV,Gina Hinojosa,Greg Abbott,DEM,REP,REP,REP,-7.77,21.7,78.3,Likely R,-11.93,5.56,-10.25,-1.58,-3.33,1.04,-13.88,6.11,False,False,LIB,0,,0.0,Pat Dixon,LIB,Libertarian,0.63,0.0,,,0.0,confirmed,confirmed,44.82,47.88,28,-2.51,0.356,8589462,71434049,13283,3002416,67461299,6374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.82,53.55,0.0,3658163,4274713,0,50294,7983170
VT-GOV,governor,VT,GOV,Amanda Janoo,Phil Scott,DEM,REP,REP,REP,-22.64,1.3,98.7,Safe R,33.44,5.56,-24.53,0.0,-62.58,-0.95,32.77,-55.41,False,False,OTH,0,,0.0,Dean Roy,OTH,Freedom and Unity,2.34,0.0,,,0.0,confirmed,confirmed,30.95,43.32,2,-11.55,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.77,59.89,0.0,97679,154865,0,6051,258595
WI-GOV,governor,WI,GOV,David Crowley,Tom Tiffany,DEM,REP,,DEM,2.92,61.9,38.1,Lean D,-0.43,5.56,2.99,-1.76,0.28,-0.66,-0.87,3.79,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,46.33,43.81,6,3.35,0.296,1426778,15315779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.46,48.54,0.0,1233018,1163025,0,0,2396043
WY-GOV,governor,WY,GOV,Kenneth Casner,Eric Barlow,DEM,REP,,REP,-40.58,0.0,100.0,Safe R,-46.77,5.56,-41.85,0.0,0.0,-0.64,-46.96,6.38,False,False,CON,0,,0.0,Rebecca Bextel,CON,Constitution,3.91,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,1673103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.55,67.54,0.0,53768,127201,0,7364,188334
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-1.13,46.1,53.9,Toss-up,-12.02,5.56,-3.06,0.34,4.11,-1.06,-13.8,11.84,True,False,,4,Dan S. Sullivan,1.75,,,,0.0,0.0,,,0.0,confirmed,confirmed,47.88,47.24,15,1.0,0.292,18545132,9136967,0,4636755,7295069,0,9016703,13484947,13908377,3932803,0,6750626,558386,0,603646,1998758,0,0,0,0,0,0,0,47.77,49.73,2.5,112960,117575,5911,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-22.6,1.3,98.7,Safe R,-26.75,5.56,-23.94,-3.2,0.93,-0.48,-30.88,8.28,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,32.0,47.0,1,-14.03,0.15,83341,3787330,0,-10011,627788,0,3019,17142534,94747,3284673,0,4247,346554,0,0,881598,0,70643,50000,0,0,360928,0,38.7,61.3,0.0,613614,971949,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-20.42,2.2,97.8,Safe R,-27.74,5.56,-25.22,-0.87,-1.67,-0.51,-31.57,11.14,False,False,LIB,0,,0.0,Jeff Wadlin,LIB,Libertarian,3.44,0.0,,,0.0,confirmed,confirmed,39.64,48.37,4,-8.27,0.252,2269114,6233117,28778,863578,9931885,8469,0,3244245,1405536,3752101,20309,807603,552197,999,20060,1191500,0,0,0,21029,0,73959,0,38.42,58.14,0.0,322529,488051,0,28877,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,25.45,99.4,0.6,Safe D,13.16,5.56,25.11,2.84,3.55,-0.01,11.29,14.15,False,False,LIB,0,,0.0,Bob Chew,FWD,Forward,7.6,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,8119380,138147,1270007,2083870,50021,1044358,510004,0,7471143,88913,225649,1302169,28371,1507,958273,999,0,0,2200,1250000,0,0,150000,55.7,33.1,3.6,1244819,739791,80457,169854,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,24.77,99.3,0.7,Safe D,15.57,5.56,24.77,2.25,1.67,-0.28,14.84,9.93,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,4168081,159367,0,4793384,98413,0,11559,0,1559897,60954,0,60175,5698,0,1408377,300,0,0,129260,0,0,129250,0,62.38,37.62,0.0,223048,134495,0,0,357542
FL-SEN,senate,FL,SEN,Angie Nixon,Ashley Moody,DEM,REP,REP,REP,-5.84,27.7,72.3,Lean R,-8.57,5.56,-5.97,-1.8,-1.67,0.51,-13.22,7.38,False,False,IND,0,,0.0,Neil J. Gillespie,IND,Independent,1.65,0.0,,,0.0,confirmed,confirmed,44.14,48.26,6,-4.81,0.289,974845,11270805,0,264978,8491175,0,52168,603843,709866,2779629,0,576840,1529142,0,0,2083000,0,0,0,0,0,0,0,46.3,52.05,0.0,3544319,3984202,0,126305,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,12.54,89.6,10.4,Likely D,-0.74,5.56,13.04,1.61,6.73,-0.12,-2.21,14.75,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,52.7,42.94,12,11.51,0.274,77279766,7409350,0,42587451,2079981,0,3018157,5200329,39682882,5932539,0,39110515,2085895,0,931316,495632,0,0,65000,0,0,461916,0,56.27,43.73,0.0,2067997,1607049,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-1.71,42.7,57.3,Toss-up,-7.09,5.56,-3.39,-0.21,-0.93,-0.71,-13.45,11.74,False,False,LIB,0,,0.0,Thomas Laehn,LIB,Libertarian,0.5,0.0,,,0.0,confirmed,confirmed,45.33,44.39,16,1.34,0.382,6276527,10217845,31908,2362314,6749491,8334,20909313,22116487,3914213,5396429,38131,2726556,1052135,7044,440127,2232367,0,0,0,196,0,0,0,48.9,50.6,0.0,569433,589199,0,5822,1164454
ID-SEN,senate,ID,SEN,(No Democrat),Jim Risch,DEM,REP,REP,REP,-23.09,0.9,99.1,Safe R,-31.11,5.56,-28.85,-1.14,-1.67,-0.49,-37.52,14.43,False,True,IND,0,,0.0,Todd Achilles,IND,Independent,36.26,0.9,,,0.0,,confirmed,29.96,39.02,5,-9.86,0.257,0,3357516,692245,0,3535956,194226,0,0,0,2241925,506311,0,139910,115721,0,959329,10000,0,0,10500,0,0,0,0.0,59.35,4.39,0,376010,27813,229721,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,20.89,98.1,1.9,Safe D,15.16,5.56,21.04,0.32,0.0,0.0,11.14,9.76,False,False,OTH,0,,0.0,"Whitfield Harrington, Jr.",OTH,American Center,2.88,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,5906599,2459890,100702,1107958,1512424,3751,10437456,11068156,4798641,947466,96951,1182892,27050,11358,426634,12325,0,0,2000000,66749,0,2000000,64050,58.71,38.41,0.0,2321661,1519180,0,113896,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-7.64,22.1,77.9,Likely R,-14.49,5.56,-10.5,-0.05,-1.09,-0.43,-16.41,8.77,False,False,LIB,0,,0.0,David C Graham,LIB,Libertarian,3.13,0.0,,,0.0,confirmed,confirmed,43.84,45.58,5,-2.34,0.296,4169078,4009075,0,1730621,5388078,0,842009,2229575,2438457,326015,0,767189,151384,0,17500,1555250,0,50050,0,0,50000,0,0,44.73,52.14,0.0,415726,484500,0,29088,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-26.46,0.5,99.5,Safe R,-30.07,5.56,-30.98,-0.86,-4.86,-0.75,-31.03,4.57,False,False,OTH,0,,0.0,Christopher Campbell,OTH,Kentucky Party,2.09,0.0,,,0.0,confirmed,confirmed,39.99,49.0,2,-11.49,0.203,1099509,9981055,0,309623,2305546,0,8306596,6980575,789887,11368587,0,654554,729356,0,24750,1995311,0,0,0,0,89868,0,0,36.0,61.91,0.0,522830,898988,0,30350,1452169
LA-SEN,senate,LA,SEN,Jamie Davis,Julia Letlow,DEM,REP,,REP,-23.7,1.0,99.0,Safe R,-21.43,5.56,-23.7,-0.45,-7.1,-0.28,-22.36,-1.34,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,1983548,6210122,0,479104,1427072,0,10861766,12093658,1504444,4783049,0,1699034,127995,0,0,824000,0,10000,0,0,10000,0,0,38.15,61.85,0.0,535957,868925,0,0,1404882
MA-SEN,senate,MA,SEN,Ed Markey,John Deaton,DEM,REP,DEM,DEM,32.06,99.9,0.1,Safe D,29.0,5.56,36.4,0.52,1.67,-0.34,25.91,6.15,False,False,IND,0,,0.0,Shiva Ayyadurai,IND,Independent,1.93,0.0,,,0.0,confirmed,confirmed,50.61,30.23,9,21.04,0.255,5352148,1561360,285486,1348676,712417,131229,42917,3329005,5814159,848943,153114,804613,71926,16455,589250,5775,0,0,1053414,10832,0,1005000,0,62.58,32.19,3.3,1521641,782756,80242,46929,2431568
ME-SEN,senate,ME,SEN,Troy Jackson,Susan Collins,DEM,REP,REP,REP,0.76,54.4,45.6,Toss-up,8.5,5.56,-0.46,0.0,-13.55,-0.97,7.09,-6.32,True,False,,2,Troy Jackson,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,47.31,44.35,8,3.31,0.367,0,16169827,0,0,11038115,0,8413387,26711799,0,7708021,0,0,1425763,0,0,1263550,0,0,0,0,0,0,0,50.38,49.62,0.0,293206,288756,0,0,581962
MI-SEN,senate,MI,SEN,Abdul El-Sayed,Mike Rogers,DEM,REP,,DEM,6.13,73.2,26.8,Lean D,3.07,5.56,8.07,-0.37,0.44,-0.63,-1.44,7.57,False,False,LIB,0,,0.0,Douglas P. Marsh,GRN,Green,0.5,0.0,,,0.0,confirmed,confirmed,46.23,44.58,29,2.37,0.364,14514336,10898177,0,2552763,4473237,0,14808344,62583303,11961573,6680643,0,4142626,2220167,0,71845,849227,0,0,0,0,0,0,0,51.57,45.62,2.31,2044486,1808380,91575,19821,3964262
