race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
OR-SEN,senate,OR,SEN,Jeff Merkley,David Brock Smith,DEM,REP,DEM,DEM,20.93,97.8,2.2,Safe D,12.98,3.96,20.93,2.78,1.67,-0.46,14.89,6.04,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,3944598,48166,0,60.46,39.54,0.0,950365,621409,0,0,1571774
RI-SEN,senate,RI,SEN,Jack Reed,Raymond McKay,DEM,REP,DEM,DEM,24.54,99.1,0.9,Safe D,17.14,3.96,24.54,1.98,1.67,-0.2,14.16,10.38,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,2602598,139875,0,62.27,37.73,0.0,223766,135581,0,0,359348
SC-SEN,senate,SC,SEN,Annie Andrews,Lindsey Graham,DEM,REP,REP,REP,-8.38,21.1,78.9,Likely R,-15.34,3.96,-8.94,0.2,2.63,-0.39,-18.12,9.74,False,False,LIB,,0.0,0.0,,,0.0,presumptive,confirmed,40.74,45.46,2,-7.72,0.15,8059705,6157141,0,44.95,53.18,1.87,801815,948528,33355,0,1783698
SD-SEN,senate,SD,SEN,Julian Beaudion,Mike Rounds,DEM,REP,REP,REP,-30.09,0.2,99.8,Safe R,-28.57,3.96,-31.77,-1.75,-4.39,-1.02,-29.98,-0.11,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,31.79,49.32,2,-20.53,0.15,209807,2646194,0,34.96,65.04,0.0,104336,194137,0,0,298473
TN-SEN,senate,TN,SEN,Marquita Bradshaw,Bill Hagerty,DEM,REP,REP,REP,-32.77,0.1,99.9,Safe R,-26.37,3.96,-32.77,-3.57,-6.25,-0.54,-30.12,-2.65,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,881,5880482,0,33.61,66.39,0.0,720931,1423829,0,0,2144759
TX-SEN,senate,TX,SEN,James Talarico,Ken Paxton,DEM,REP,,REP,-0.11,49.6,50.4,Toss-up,-10.91,3.96,-2.62,1.25,2.05,1.04,-13.88,13.77,False,False,LIB,,0.0,0.0,,,0.0,confirmed,confirmed,43.32,37.33,10,5.81,0.25,40284109,7605209,0,48.94,49.05,2.01,3907128,3915580,160462,0,7983170
VA-SEN,senate,VA,SEN,Mark Warner,Bert Mizusawa,DEM,REP,DEM,DEM,16.76,94.6,5.4,Likely D,6.87,3.96,16.76,3.08,3.15,-0.3,5.89,10.87,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,14719667,192041,0,58.38,41.62,0.0,1840342,1311960,0,0,3152302
WV-SEN,senate,WV,SEN,Rachel Anderson,Shelley Moore Capito,DEM,REP,REP,REP,-43.63,0.0,100.0,Safe R,-41.99,3.96,-43.63,-3.0,-1.67,-0.93,-42.69,-0.94,False,False,,,0.0,0.0,,,0.0,projected,confirmed,,,0,,0.0,22447,3906186,0,28.19,71.81,0.0,150418,383255,0,0,533673
WY-SEN,senate,WY,SEN,James Byrd,Harriet Hageman,DEM,REP,,REP,-44.24,0.0,100.0,Safe R,-45.09,3.96,-44.24,-2.47,0.0,-0.64,-46.96,2.72,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,9653,1555543,0,27.88,72.12,0.0,52509,135825,0,0,188334
AK-01,house,AK,01,Matt Schultz,Nick Begich III,DEM,REP,REP,REP,-8.66,31.1,68.9,Lean R,-10.09,3.96,-8.85,0.0,-1.67,-1.06,-13.8,5.14,True,False,,Bill Hill,0.0,0.0,,,0.0,confirmed,confirmed,38.0,48.0,1,-13.0,0.15,0,0,0,44.94,53.46,1.6,106257,126406,3783,0,236446
AL-01,house,AL,01,Clyde Jones,Rhett Marques,DEM,REP,,REP,-28.05,0.4,99.6,Safe R,-31.87,3.96,-28.05,0.42,0.0,-0.56,-36.34,8.29,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,37487,0,0,35.98,64.02,0.0,82616,147032,0,0,229648
AL-02,house,AL,02,Shomari Figures,Hampton Harris,DEM,REP,DEM,DEM,-3.02,38.6,61.4,Lean R,-10.08,3.96,-3.02,0.9,2.48,-0.28,-14.46,11.45,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,827549,214719,0,48.49,51.51,0.0,99513,105709,0,0,205222
AL-03,house,AL,03,Victor McInnis,Mike Rogers,DEM,REP,REP,REP,-43.23,0.0,100.0,Safe R,-42.62,3.96,-43.23,-2.29,-1.67,-0.61,-47.04,3.81,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,39858,1846490,0,28.39,71.61,0.0,62871,158616,0,0,221487
AL-04,house,AL,04,Amanda Pusczek,Robert Aderholt,DEM,REP,REP,REP,-63.17,0.0,100.0,Safe R,-62.82,3.96,-63.17,-1.97,-1.67,-0.67,-66.99,3.82,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,13797,832268,0,18.42,81.58,0.0,41751,184952,0,0,226703
AL-05,house,AL,05,Andrew Sneed,Dale Strong,DEM,REP,REP,REP,-25.28,0.8,99.2,Safe R,-26.29,3.96,-25.28,-0.72,-1.67,-0.56,-29.51,4.23,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,484501,1352249,0,37.36,62.64,0.0,92471,155049,0,0,247520
AL-06,house,AL,06,Elizabeth Anderson,Gary Palmer,DEM,REP,REP,REP,-31.01,0.1,99.9,Safe R,-31.8,3.96,-31.01,-1.9,-0.72,-0.54,-34.79,3.78,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,15899,783587,0,34.5,65.5,0.0,84391,160240,0,0,244631
AL-07,house,AL,07,Terri Sewell,Republican candidate (AL-07),DEM,REP,DEM,DEM,33.07,99.9,0.1,Safe D,22.31,3.96,33.07,2.6,4.31,-0.12,17.99,15.08,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,1552149,0,0,66.53,33.47,0.0,139953,70399,0,0,210352
AR-01,house,AR,01,Terri Green,Eric Crawford,DEM,REP,REP,REP,-45.54,0.0,100.0,Safe R,-42.88,3.96,-45.54,-1.66,-4.28,-0.68,-46.4,0.85,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,38601,762876,0,27.23,72.77,0.0,53320,142505,0,0,195826
AR-02,house,AR,02,Chris Jones,French Hill,DEM,REP,REP,REP,-12.46,11.6,88.4,Likely R,-13.65,3.96,-12.46,-1.13,-1.12,-0.52,-16.22,3.75,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,798208,3790112,0,43.77,56.23,0.0,98690,126786,0,0,225476
