race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-25.88,0.6,99.4,Safe R,-29.41,5.19,-25.88,0.0,-0.64,-1.02,-29.98,4.1,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,62.94,0.0,110616,187857,0,0,298473
TN-GOV,governor,TN,GOV,Jerri Green,Marsha Blackburn,DEM,REP,,REP,-20.78,2.1,97.9,Safe R,-28.6,5.19,-20.22,0.0,3.73,-0.54,-30.12,9.34,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,27.0,51.0,2,-24.0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.61,60.39,0.0,849497,1295262,0,0,2144759
TX-GOV,governor,TX,GOV,Gina Hinojosa,Greg Abbott,DEM,REP,REP,REP,-8.72,19.6,80.4,Likely R,-11.93,5.19,-10.62,-1.58,-3.33,1.04,-13.88,5.16,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.83,47.93,22,-4.2,0.296,8589462,71434049,0,3002416,67461299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.64,54.36,0.0,3643580,4339589,0,0,7983170
VT-GOV,governor,VT,GOV,Amanda Janoo,Phil Scott,DEM,REP,REP,REP,-22.82,1.3,98.7,Safe R,33.44,5.19,-24.9,0.0,-62.58,-0.95,32.77,-55.59,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,30.95,43.32,2,-12.37,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.59,61.41,0.0,99792,158803,0,0,258595
WI-GOV,governor,WI,GOV,David Crowley,Tom Tiffany,DEM,REP,,DEM,3.06,61.8,38.2,Lean D,-0.43,5.19,2.62,-1.76,0.28,-0.66,-0.87,3.93,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,46.11,43.04,5,4.25,0.266,1426778,15315779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.53,48.47,0.0,1234635,1161407,0,0,2396043
WY-GOV,governor,WY,GOV,Kenneth Casner,Eric Barlow,DEM,REP,,REP,-42.22,0.0,100.0,Safe R,-46.77,5.19,-42.22,0.0,0.0,-0.64,-46.96,4.74,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,1673103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.89,71.11,0.0,54411,133922,0,0,188334
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-1.86,43.8,56.2,Toss-up,-11.25,5.19,-2.61,0.4,4.11,-1.06,-13.8,11.94,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,48.47,47.4,13,0.67,0.268,18545132,9136967,0,4636755,7295069,0,5066749,8024007,13908377,3932803,0,6750626,558386,0,603646,1998758,0,0,0,0,0,0,0,45.2,46.8,8.0,106874,110657,18916,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-22.98,1.2,98.8,Safe R,-26.83,5.19,-24.39,-3.2,0.93,-0.48,-30.88,7.9,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,32.0,47.0,1,-15.0,0.15,83341,3787330,0,-10011,627788,0,3019,17129305,94747,3284673,0,4247,346554,0,0,881598,0,70643,50000,0,0,360928,0,38.51,61.49,0.0,610600,974963,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-21.54,1.8,98.2,Safe R,-28.01,5.19,-25.86,-0.87,-1.67,-0.51,-31.57,10.03,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.64,48.37,4,-8.89,0.255,2269114,6233117,0,863578,9931885,0,0,3244245,1405536,3752101,0,807603,552197,0,20060,1191500,0,0,0,0,0,73959,0,39.23,60.77,0.0,329336,510121,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,24.66,99.2,0.8,Safe D,13.08,5.19,24.66,2.84,3.55,-0.01,11.29,13.36,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,8119380,138147,0,2083870,50021,0,510004,0,7471143,88913,0,1302169,28371,0,958273,999,0,0,2200,0,0,0,0,62.33,37.67,0.0,1392996,841926,0,0,2234922
