race_code,chamber,tip_prob,is_tipping_point
WA-08,House,0.14,0
WA-09,House,0.0,0
WA-10,House,0.0,0
WI-01,House,0.57,0
WI-02,House,0.0,0
WI-03,House,3.19,0
WI-04,House,0.0,0
WI-05,House,0.0,0
WI-06,House,0.0,0
WI-07,House,0.0,0
WI-08,House,0.0,0
WV-01,House,0.0,0
WV-02,House,0.0,0
WY-01,House,0.0,0
AK-SEN,Senate,12.99,0
AL-SEN,Senate,0.0,0
AR-SEN,Senate,0.0,0
CO-SEN,Senate,0.0,0
DE-SEN,Senate,0.0,0
FL-SEN,Senate,6.97,0
GA-SEN,Senate,0.21,0
IA-SEN,Senate,11.75,0
ID-SEN,Senate,0.0,0
IL-SEN,Senate,0.0,0
KS-SEN,Senate,0.8,0
KY-SEN,Senate,0.0,0
LA-SEN,Senate,0.0,0
MA-SEN,Senate,0.0,0
ME-SEN,Senate,13.35,0
MI-SEN,Senate,3.96,0
MN-SEN,Senate,0.97,0
MS-SEN,Senate,0.23,0
MT-SEN,Senate,0.03,0
NC-SEN,Senate,5.98,0
NE-SEN,Senate,9.03,0
NH-SEN,Senate,2.67,0
NJ-SEN,Senate,0.0,0
NM-SEN,Senate,0.0,0
OH-SEN,Senate,13.27,1
OK-SEN,Senate,0.0,0
OR-SEN,Senate,0.0,0
RI-SEN,Senate,0.0,0
SC-SEN,Senate,4.75,0
SD-SEN,Senate,0.0,0
TN-SEN,Senate,0.0,0
TX-SEN,Senate,13.02,0
VA-SEN,Senate,0.02,0
WV-SEN,Senate,0.0,0
WY-SEN,Senate,0.0,0
AK-GOV,Governors,18.68,0
AL-GOV,Governors,0.01,0
AR-GOV,Governors,0.0,0
AZ-GOV,Governors,1.54,0
CA-GOV,Governors,0.0,0
CO-GOV,Governors,0.0,0
CT-GOV,Governors,0.0,0
FL-GOV,Governors,12.53,0
GA-GOV,Governors,12.02,0
HI-GOV,Governors,0.0,0
IA-GOV,Governors,3.39,0
ID-GOV,Governors,0.0,0
IL-GOV,Governors,0.0,0
KS-GOV,Governors,2.3,0
MA-GOV,Governors,0.0,0
MD-GOV,Governors,0.0,0
ME-GOV,Governors,0.22,0
MI-GOV,Governors,0.14,0
MN-GOV,Governors,0.21,0
NE-GOV,Governors,0.82,0
NH-GOV,Governors,1.95,0
NM-GOV,Governors,1.08,0
NV-GOV,Governors,7.76,0
NY-GOV,Governors,0.03,0
OH-GOV,Governors,18.32,1
OK-GOV,Governors,0.0,0
OR-GOV,Governors,3.71,0
PA-GOV,Governors,0.01,0
RI-GOV,Governors,0.0,0
SC-GOV,Governors,3.92,0
SD-GOV,Governors,0.0,0
TN-GOV,Governors,0.03,0
TX-GOV,Governors,5.51,0
VT-GOV,Governors,0.0,0
WI-GOV,Governors,5.82,0
WY-GOV,Governors,0.0,0
