cousub_fips,town_name,state,county_fips,town_margin_2024,lean,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
0900554030,North Canaan town,CT,09005,-4.17,-2.4,40.5,56.4,-15.9,1.6,87.2,1.0,7.2,0.5,0.2,0.0
0900560750,Plymouth town,CT,09005,-25.92,-24.15,49.9,47.0,2.9,1.9,88.6,1.2,4.7,1.1,0.2,0.1
0900565930,Roxbury town,CT,09005,14.27,16.03,33.0,64.0,-31.0,2.2,91.8,0.5,2.5,1.5,0.1,0.0
0900566420,Salisbury town,CT,09005,57.54,59.3,14.5,82.5,-67.9,2.0,88.9,1.5,4.0,1.5,0.1,0.0
0900567960,Sharon town,CT,09005,37.28,39.04,23.2,73.8,-50.6,2.1,90.0,1.5,3.4,1.5,0.0,0.0
0900575730,Thomaston town,CT,09005,-34.1,-32.34,53.5,43.4,10.1,2.1,90.9,0.9,3.4,1.0,0.1,0.0
0900576570,Torrington town,CT,09005,-14.25,-12.49,44.4,52.5,-8.1,0.8,78.4,2.9,12.0,2.4,0.2,0.0
0900579510,Warren town,CT,09005,2.42,4.18,38.1,58.9,-20.9,2.2,92.3,0.0,2.5,0.7,0.3,0.0
0900579720,Washington town,CT,09005,32.48,34.25,25.1,71.9,-46.7,1.9,90.1,0.7,4.7,1.4,0.0,0.0
0900580490,Watertown town,CT,09005,-30.58,-28.82,51.9,45.1,6.8,1.9,88.6,1.8,5.0,1.8,0.1,0.0
0900586440,Winchester town,CT,09005,-12.99,-11.23,44.4,52.6,-8.2,1.8,88.2,1.2,5.4,1.1,0.1,0.1
0900587910,Woodbury town,CT,09005,-2.94,-1.17,40.2,56.8,-16.5,2.0,89.9,1.2,4.0,1.4,0.2,0.1
0900714300,Chester town,CT,09007,31.6,33.36,26.5,70.5,-44.0,2.2,92.9,0.6,3.1,0.7,0.0,0.0
0900715350,Clinton town,CT,09007,9.76,11.52,35.4,61.6,-26.2,1.4,85.9,1.2,8.0,1.9,0.1,0.0
0900718080,Cromwell town,CT,09007,9.69,11.45,35.5,61.5,-26.0,1.5,81.6,4.5,5.9,5.2,0.1,0.0
0900719130,Deep River town,CT,09007,22.53,24.29,30.3,66.7,-36.4,2.1,90.2,1.0,3.6,1.1,0.2,0.0
0900720810,Durham town,CT,09007,-3.59,-1.83,41.4,55.6,-14.1,2.2,91.5,0.6,2.8,1.7,0.1,0.0
0900722280,East Haddam town,CT,09007,2.13,3.89,39.0,58.0,-19.0,2.2,92.3,0.5,3.1,0.7,0.1,0.0
0900722490,East Hampton town,CT,09007,0.68,2.44,39.6,57.4,-17.8,2.1,90.3,1.2,3.1,1.6,0.2,0.1
0900726270,Essex town,CT,09007,30.09,31.86,27.1,69.9,-42.8,2.2,92.6,0.8,3.1,1.3,0.1,0.1
0900735230,Haddam town,CT,09007,-4.56,-2.79,41.8,55.1,-13.3,2.2,92.0,0.8,2.7,1.2,0.1,0.0
0900740710,Killingworth town,CT,09007,4.83,6.59,37.9,59.1,-21.3,2.2,92.5,0.4,2.8,1.2,0.0,0.0
0900747080,Middlefield town,CT,09007,1.38,3.14,39.3,57.7,-18.4,2.1,91.5,1.3,3.5,1.1,0.0,0.0
0900747360,Middletown town,CT,09007,29.52,31.28,26.8,70.2,-43.4,1.0,67.2,12.5,10.1,5.5,0.2,0.0
0900757320,Old Saybrook town,CT,09007,17.38,19.14,32.4,64.6,-32.2,1.9,89.8,0.9,4.1,2.4,0.1,0.0
0900761800,Portland town,CT,09007,6.36,8.12,37.1,59.9,-22.8,1.9,88.2,1.9,4.7,1.3,0.1,0.0
0900781680,Westbrook town,CT,09007,4.11,5.87,37.9,59.1,-21.2,1.7,86.3,1.6,6.3,1.4,0.2,0.0
0900901220,Ansonia town,CT,09009,0.29,2.05,39.8,57.1,-17.3,-0.1,62.3,11.9,20.0,2.0,0.1,0.0
0900903250,Beacon Falls town,CT,09009,-17.18,-15.42,48.2,48.7,-0.5,1.8,87.7,1.9,5.6,1.4,0.1,0.0
0900904580,Bethany town,CT,09009,2.88,4.64,39.8,57.2,-17.4,2.0,87.6,1.9,3.1,4.4,0.0,0.0
0900907310,Branford town,CT,09009,15.44,17.2,34.3,62.7,-28.4,1.6,85.2,2.2,5.4,4.4,0.1,0.0
0900914160,Cheshire town,CT,09009,11.2,12.96,36.0,60.9,-24.9,1.6,81.4,4.6,5.6,5.7,0.1,0.0
0900919550,Derby town,CT,09009,-2.84,-1.08,41.3,55.7,-14.4,0.1,67.1,9.6,17.7,2.7,0.1,0.0
0900922910,East Haven town,CT,09009,-11.64,-9.88,45.1,51.8,-6.7,0.3,74.4,4.3,15.0,3.7,0.1,0.0
0900934950,Guilford town,CT,09009,30.76,32.52,27.9,69.1,-41.2,1.9,88.7,0.9,4.1,3.4,0.0,0.0
0900935650,Hamden town,CT,09009,48.21,49.97,20.1,76.9,-56.8,1.1,57.1,23.0,11.1,5.4,0.3,0.0
0900944560,Madison town,CT,09009,24.68,26.44,30.5,66.4,-35.9,2.0,90.6,0.7,2.9,3.1,0.1,0.0
0900946520,Meriden town,CT,09009,13.62,15.38,33.3,63.7,-30.4,-1.9,53.5,9.0,32.0,2.1,0.1,0.0
0900946940,Middlebury town,CT,09009,-12.15,-10.39,46.1,50.9,-4.7,1.9,88.7,1.0,3.5,4.6,0.0,0.1
0900947535,Milford town,CT,09009,0.59,2.35,40.5,56.5,-16.0,1.4,82.1,2.8,6.6,5.0,0.1,0.0
0900949950,Naugatuck town,CT,09009,-10.03,-8.27,44.7,52.3,-7.6,0.8,72.4,6.6,12.6,2.2,0.1,0.0
0900952070,New Haven town,CT,09009,64.46,66.22,12.0,84.9,-72.9,-1.2,31.8,29.5,27.1,7.5,0.3,0.0
0900953890,North Branford town,CT,09009,-17.54,-15.78,48.5,48.5,-0.0,2.0,91.2,1.1,4.0,1.8,0.0,0.0
0900954870,North Haven town,CT,09009,-7.83,-6.06,44.1,52.8,-8.7,1.6,83.3,3.5,5.1,5.8,0.1,0.0
0900957600,Orange town,CT,09009,0.65,2.41,40.5,56.5,-16.1,1.4,81.5,1.8,4.0,9.7,0.1,0.0
0900958300,Oxford town,CT,09009,-21.6,-19.84,50.2,46.8,3.4,2.0,90.5,1.0,4.3,1.6,0.1,0.0
0900962290,Prospect town,CT,09009,-30.83,-29.07,54.2,42.8,11.4,2.1,90.2,2.0,3.8,1.1,0.1,0.0
0900967610,Seymour town,CT,09009,-18.0,-16.24,48.3,48.6,-0.3,1.3,82.1,4.0,8.6,2.4,0.1,0.0
0900969640,Southbury town,CT,09009,0.86,2.62,40.7,56.3,-15.7,2.0,90.5,0.9,3.4,2.7,0.0,0.0
0900978740,Wallingford town,CT,09009,2.69,4.45,39.4,57.5,-18.1,1.2,82.6,1.8,8.9,3.7,0.2,0.0
0900980070,Waterbury town,CT,09009,10.91,12.67,34.2,62.7,-28.5,-2.3,37.9,19.5,35.2,2.1,0.3,0.0
0900982870,West Haven town,CT,09009,21.53,23.29,30.8,66.2,-35.5,-0.2,51.1,20.0,20.5,4.6,0.2,0.0
0900987560,Wolcott town,CT,09009,-33.09,-31.33,55.0,42.0,13.1,1.9,87.8,2.2,5.1,1.5,0.2,0.0
0900987700,Woodbridge town,CT,09009,32.27,34.03,26.9,70.1,-43.2,1.1,76.5,3.0,4.8,12.4,0.0,0.0
