race_code,ctrl_if_dem,ctrl_if_rep
TX-15,98.9,49.8
TX-16,74.2,
TX-17,100.0,26.9
TX-18,74.2,
TX-19,,25.8
TX-20,74.2,100.0
TX-21,100.0,29.0
TX-22,100.0,28.4
TX-23,99.7,43.2
TX-24,100.0,28.8
TX-25,100.0,28.1
TX-26,100.0,26.2
TX-27,100.0,28.2
TX-28,77.7,99.1
TX-29,74.2,
TX-30,74.2,100.0
TX-31,100.0,26.6
TX-32,100.0,32.3
TX-33,74.2,
TX-34,86.9,89.6
TX-35,98.3,56.0
TX-36,100.0,27.3
TX-37,74.2,100.0
TX-38,100.0,28.0
UT-01,74.2,100.0
UT-02,100.0,25.8
UT-03,,25.8
UT-04,100.0,25.8
VA-01,99.7,41.1
VA-02,94.5,72.2
VA-03,74.2,100.0
VA-04,74.2,100.0
VA-05,99.8,37.2
VA-06,100.0,26.4
VA-07,76.3,100.0
VA-08,74.2,100.0
VA-09,,25.8
VA-10,75.5,100.0
VA-11,74.2,100.0
VT-01,74.2,
WA-01,74.2,
WA-02,74.2,
WA-03,89.8,83.5
WA-04,100.0,27.4
WA-05,100.0,26.0
WA-06,74.4,100.0
WA-07,74.2,
WA-08,77.7,100.0
WA-09,74.2,
WA-10,74.7,100.0
WI-01,99.9,39.5
WI-02,74.2,
WI-03,94.1,73.8
WI-04,74.2,100.0
WI-05,100.0,26.0
WI-06,100.0,26.6
WI-07,100.0,26.9
WI-08,100.0,28.2
WV-01,100.0,25.8
WV-02,100.0,25.8
WY-01,,25.8
AK-SEN,90.7,83.4
AL-SEN,100.0,49.7
AR-SEN,100.0,50.0
CO-SEN,51.3,100.0
DE-SEN,51.4,100.0
FL-SEN,98.1,66.3
GA-SEN,56.6,99.9
IA-SEN,92.7,80.4
ID-SEN,100.0,49.4
IL-SEN,52.0,100.0
KS-SEN,99.3,62.3
KY-SEN,100.0,49.3
LA-SEN,100.0,49.5
MA-SEN,51.0,100.0
ME-SEN,84.7,89.7
MI-SEN,69.0,97.8
MN-SEN,60.7,99.3
MS-SEN,99.8,54.0
MT-SEN,100.0,49.0
NC-SEN,67.6,97.7
NE-SEN,97.5,68.8
NH-SEN,65.2,98.7
NJ-SEN,52.3,100.0
NM-SEN,52.3,100.0
OH-SEN,86.2,88.4
OK-SEN,100.0,49.1
OR-SEN,51.6,100.0
RI-SEN,51.4,100.0
SC-SEN,97.6,67.2
SD-SEN,100.0,50.6
TN-SEN,100.0,49.1
TX-SEN,85.7,88.0
VA-SEN,52.8,100.0
WV-SEN,100.0,49.0
WY-SEN,100.0,49.0
