state,chamber,dem_seats,count
CA,Assembly,59,452
CA,Assembly,60,530
CA,Assembly,61,620
CA,Assembly,62,700
CA,Assembly,63,788
CA,Assembly,64,838
CA,Assembly,65,809
CA,Assembly,66,782
CA,Assembly,67,701
CA,Assembly,68,592
CA,Assembly,69,484
CA,Assembly,70,369
CA,Assembly,71,244
CA,Assembly,72,182
CA,Assembly,73,121
CA,Assembly,74,87
CA,Assembly,75,43
CA,Assembly,76,20
CA,Assembly,77,16
CA,Assembly,78,8
CA,Assembly,79,2
CA,Senate,18,1
CA,Senate,21,5
CA,Senate,22,13
CA,Senate,23,21
CA,Senate,24,27
CA,Senate,25,69
CA,Senate,26,127
CA,Senate,27,243
CA,Senate,28,419
CA,Senate,29,692
CA,Senate,30,1192
CA,Senate,31,1685
CA,Senate,32,1832
CA,Senate,33,1806
CA,Senate,34,1345
CA,Senate,35,451
CA,Senate,36,72
CO,House,9,1
CO,House,15,1
CO,House,17,1
CO,House,18,1
CO,House,19,5
CO,House,20,2
CO,House,21,4
CO,House,22,4
CO,House,23,1
CO,House,24,1
CO,House,25,10
CO,House,26,6
CO,House,27,17
CO,House,28,14
CO,House,29,18
CO,House,30,19
CO,House,31,26
CO,House,32,30
CO,House,33,39
CO,House,34,40
CO,House,35,59
CO,House,36,77
CO,House,37,102
CO,House,38,97
CO,House,39,156
CO,House,40,189
CO,House,41,264
CO,House,42,349
CO,House,43,465
CO,House,44,630
CO,House,45,754
CO,House,46,855
CO,House,47,893
CO,House,48,914
CO,House,49,821
CO,House,50,662
CO,House,51,584
CO,House,52,461
CO,House,53,385
CO,House,54,306
CO,House,55,204
CO,House,56,171
CO,House,57,129
CO,House,58,87
CO,House,59,64
CO,House,60,36
CO,House,61,25
CO,House,62,11
CO,House,63,6
CO,House,64,2
CO,House,65,2
CO,Senate,16,3
CO,Senate,17,3
CO,Senate,18,7
CO,Senate,19,14
CO,Senate,20,29
CO,Senate,21,63
CO,Senate,22,105
CO,Senate,23,208
CO,Senate,24,348
CO,Senate,25,648
CO,Senate,26,1085
CO,Senate,27,1608
CO,Senate,28,1940
CO,Senate,29,1978
CO,Senate,30,1743
CO,Senate,31,190
CO,Senate,32,25
CO,Senate,33,3
CT,House,21,1
CT,House,25,1
CT,House,27,1
CT,House,41,1
CT,House,42,1
CT,House,46,1
CT,House,47,1
CT,House,50,1
CT,House,51,2
CT,House,52,1
CT,House,55,3
CT,House,56,2
CT,House,57,1
CT,House,59,5
CT,House,60,3
CT,House,61,1
CT,House,62,7
CT,House,63,2
CT,House,64,3
CT,House,65,5
CT,House,66,9
CT,House,67,5
CT,House,68,6
CT,House,69,4
CT,House,70,6
CT,House,71,7
CT,House,72,6
CT,House,73,11
CT,House,74,6
CT,House,75,8
CT,House,76,9
CT,House,77,20
CT,House,78,13
CT,House,79,17
CT,House,80,23
CT,House,81,22
CT,House,82,23
CT,House,83,18
CT,House,84,33
CT,House,85,29
CT,House,86,37
CT,House,87,49
CT,House,88,46
CT,House,89,49
CT,House,90,48
CT,House,91,45
CT,House,92,42
CT,House,93,71
CT,House,94,68
CT,House,95,92
CT,House,96,70
CT,House,97,114
CT,House,98,98
CT,House,99,130
CT,House,100,143
CT,House,101,151
CT,House,102,151
CT,House,103,138
CT,House,104,159
CT,House,105,180
CT,House,106,193
CT,House,107,212
CT,House,108,221
CT,House,109,236
CT,House,110,242
CT,House,111,237
CT,House,112,252
CT,House,113,248
CT,House,114,287
CT,House,115,280
CT,House,116,274
CT,House,117,231
CT,House,118,272
CT,House,119,275
CT,House,120,234
CT,House,121,244
CT,House,122,264
CT,House,123,241
CT,House,124,275
CT,House,125,204
CT,House,126,230
CT,House,127,245
CT,House,128,199
CT,House,129,189
CT,House,130,197
CT,House,131,189
CT,House,132,182
CT,House,133,181
CT,House,134,141
CT,House,135,162
CT,House,136,135
CT,House,137,111
CT,House,138,124
CT,House,139,103
CT,House,140,81
CT,House,141,80
CT,House,142,70
CT,House,143,74
CT,House,144,44
CT,House,145,50
CT,House,146,38
CT,House,147,20
CT,House,148,17
CT,House,149,9
CT,House,150,7
CT,House,151,1
CT,Senate,2,1
CT,Senate,4,1
CT,Senate,5,1
CT,Senate,6,2
CT,Senate,7,5
CT,Senate,8,5
CT,Senate,9,4
CT,Senate,10,8
CT,Senate,11,7
CT,Senate,12,8
CT,Senate,13,14
CT,Senate,14,26
CT,Senate,15,28
CT,Senate,16,40
CT,Senate,17,44
CT,Senate,18,60
CT,Senate,19,85
CT,Senate,20,102
CT,Senate,21,151
CT,Senate,22,221
CT,Senate,23,261
CT,Senate,24,391
CT,Senate,25,489
CT,Senate,26,661
CT,Senate,27,914
CT,Senate,28,900
CT,Senate,29,1029
CT,Senate,30,928
CT,Senate,31,873
CT,Senate,32,752
CT,Senate,33,667
CT,Senate,34,585
CT,Senate,35,457
CT,Senate,36,280
DE,House,9,1
DE,House,10,2
DE,House,13,3
DE,House,14,5
DE,House,15,3
DE,House,16,10
DE,House,17,8
DE,House,18,8
DE,House,19,21
DE,House,20,33
DE,House,21,24
DE,House,22,43
DE,House,23,73
DE,House,24,101
DE,House,25,132
DE,House,26,193
DE,House,27,293
DE,House,28,450
DE,House,29,619
DE,House,30,857
DE,House,31,1068
DE,House,32,1173
DE,House,33,1125
DE,House,34,1056
DE,House,35,895
DE,House,36,727
DE,House,37,489
DE,House,38,351
DE,House,39,166
DE,House,40,55
DE,House,41,16
DE,Senate,8,1
DE,Senate,9,3
DE,Senate,10,9
DE,Senate,11,32
DE,Senate,12,112
DE,Senate,13,312
DE,Senate,14,1006
DE,Senate,15,2545
DE,Senate,16,2434
DE,Senate,17,2058
DE,Senate,18,1488
FL,House,7,1
FL,House,8,1
FL,House,9,1
FL,House,11,3
FL,House,12,3
FL,House,13,4
FL,House,15,3
FL,House,16,5
FL,House,17,9
FL,House,18,7
FL,House,19,9
FL,House,20,10
FL,House,21,15
FL,House,22,22
FL,House,23,24
FL,House,24,27
FL,House,25,33
FL,House,26,37
FL,House,27,49
FL,House,28,54
FL,House,29,66
FL,House,30,69
FL,House,31,94
FL,House,32,112
FL,House,33,141
FL,House,34,168
FL,House,35,163
FL,House,36,205
FL,House,37,242
FL,House,38,249
FL,House,39,288
FL,House,40,280
FL,House,41,285
FL,House,42,336
FL,House,43,312
FL,House,44,320
FL,House,45,316
FL,House,46,303
FL,House,47,293
FL,House,48,300
FL,House,49,279
FL,House,50,276
FL,House,51,259
FL,House,52,252
FL,House,53,258
FL,House,54,238
FL,House,55,260
FL,House,56,195
FL,House,57,220
FL,House,58,206
FL,House,59,189
FL,House,60,163
FL,House,61,165
FL,House,62,139
FL,House,63,155
FL,House,64,151
FL,House,65,142
FL,House,66,104
FL,House,67,116
FL,House,68,103
FL,House,69,95
FL,House,70,95
FL,House,71,81
FL,House,72,107
FL,House,73,78
FL,House,74,67
FL,House,75,73
FL,House,76,47
FL,House,77,66
FL,House,78,60
FL,House,79,46
FL,House,80,46
FL,House,81,38
FL,House,82,31
FL,House,83,33
FL,House,84,35
FL,House,85,34
FL,House,86,16
FL,House,87,20
FL,House,88,28
FL,House,89,29
FL,House,90,20
FL,House,91,20
FL,House,92,14
FL,House,93,20
FL,House,94,10
FL,House,95,6
FL,House,96,10
FL,House,97,9
FL,House,98,6
FL,House,99,3
FL,House,100,3
FL,House,101,4
FL,House,102,7
FL,House,103,3
FL,House,104,1
FL,House,105,3
FL,House,106,3
FL,House,109,2
FL,House,111,1
FL,House,112,1
FL,Senate,5,2
FL,Senate,6,5
FL,Senate,7,16
FL,Senate,8,83
FL,Senate,9,209
FL,Senate,10,572
FL,Senate,11,1039
FL,Senate,12,1368
FL,Senate,13,1477
FL,Senate,14,1272
FL,Senate,15,1060
FL,Senate,16,881
FL,Senate,17,697
FL,Senate,18,490
FL,Senate,19,372
FL,Senate,20,226
FL,Senate,21,135
FL,Senate,22,79
FL,Senate,23,16
FL,Senate,24,1
GA,House,31,1
GA,House,41,2
GA,House,42,1
GA,House,43,1
GA,House,45,3
GA,House,46,1
GA,House,48,3
GA,House,49,3
GA,House,50,6
GA,House,51,3
GA,House,52,2
GA,House,53,3
GA,House,54,8
GA,House,55,3
GA,House,56,6
GA,House,57,6
GA,House,58,6
GA,House,59,11
GA,House,60,9
GA,House,61,13
GA,House,62,21
GA,House,63,13
GA,House,64,21
GA,House,65,25
GA,House,66,23
GA,House,67,34
GA,House,68,26
GA,House,69,49
GA,House,70,37
GA,House,71,62
GA,House,72,59
GA,House,73,78
GA,House,74,83
GA,House,75,115
GA,House,76,169
GA,House,77,224
GA,House,78,238
GA,House,79,272
GA,House,80,369
GA,House,81,404
GA,House,82,430
GA,House,83,467
GA,House,84,480
GA,House,85,490
GA,House,86,462
GA,House,87,443
GA,House,88,433
GA,House,89,402
GA,House,90,330
GA,House,91,380
GA,House,92,282
GA,House,93,323
GA,House,94,241
GA,House,95,228
GA,House,96,224
GA,House,97,196
GA,House,98,193
GA,House,99,166
GA,House,100,139
GA,House,101,124
GA,House,102,129
GA,House,103,99
GA,House,104,99
GA,House,105,76
GA,House,106,74
GA,House,107,71
GA,House,108,57
GA,House,109,50
GA,House,110,42
GA,House,111,42
GA,House,112,60
GA,House,113,27
GA,House,114,22
GA,House,115,24
GA,House,116,35
GA,House,117,32
GA,House,118,18
GA,House,119,17
GA,House,120,17
GA,House,121,22
GA,House,122,15
GA,House,123,14
GA,House,124,13
GA,House,125,16
GA,House,126,10
GA,House,127,7
GA,House,128,7
GA,House,129,11
GA,House,130,9
GA,House,131,3
GA,House,132,6
GA,House,133,5
GA,House,134,3
GA,House,135,1
GA,House,136,2
GA,House,137,5
GA,House,138,2
GA,House,139,2
GA,House,140,3
GA,House,141,1
GA,House,142,2
GA,House,143,1
GA,House,145,1
GA,House,147,1
GA,House,153,1
GA,Senate,7,1
GA,Senate,8,1
GA,Senate,10,1
GA,Senate,11,2
GA,Senate,12,6
GA,Senate,13,4
GA,Senate,14,14
GA,Senate,15,7
GA,Senate,16,23
GA,Senate,17,36
GA,Senate,18,48
GA,Senate,19,70
GA,Senate,20,194
GA,Senate,21,360
GA,Senate,22,803
GA,Senate,23,1697
GA,Senate,24,1488
GA,Senate,25,1174
GA,Senate,26,913
GA,Senate,27,719
GA,Senate,28,576
GA,Senate,29,439
GA,Senate,30,343
GA,Senate,31,259
GA,Senate,32,207
GA,Senate,33,142
GA,Senate,34,126
GA,Senate,35,90
GA,Senate,36,60
GA,Senate,37,53
GA,Senate,38,25
GA,Senate,39,32
GA,Senate,40,24
GA,Senate,41,16
GA,Senate,42,10
GA,Senate,43,7
GA,Senate,44,10
GA,Senate,45,5
GA,Senate,46,6
GA,Senate,47,2
GA,Senate,48,3
GA,Senate,49,2
GA,Senate,51,1
GA,Senate,52,1
HI,House,26,1
HI,House,27,1
HI,House,28,1
HI,House,29,1
HI,House,30,2
HI,House,31,4
HI,House,32,6
HI,House,33,7
HI,House,34,8
HI,House,35,8
HI,House,36,18
HI,House,37,36
HI,House,38,59
HI,House,39,70
HI,House,40,128
HI,House,41,193
HI,House,42,336
HI,House,43,575
HI,House,44,829
HI,House,45,1142
HI,House,46,1406
HI,House,47,1449
HI,House,48,1392
HI,House,49,1268
HI,House,50,949
HI,House,51,111
HI,Senate,16,3
HI,Senate,17,2
HI,Senate,18,15
HI,Senate,19,42
HI,Senate,20,159
HI,Senate,21,776
HI,Senate,22,3990
HI,Senate,23,5013
ID,House,2,1
ID,House,3,6
ID,House,4,22
ID,House,5,51
ID,House,6,98
ID,House,7,265
ID,House,8,621
ID,House,9,948
ID,House,10,1156
ID,House,11,1180
ID,House,12,1129
ID,House,13,989
ID,House,14,788
ID,House,15,653
ID,House,16,525
ID,House,17,391
ID,House,18,244
ID,House,19,202
ID,House,20,165
ID,House,21,108
ID,House,22,89
ID,House,23,75
ID,House,24,58
ID,House,25,50
ID,House,26,37
ID,House,27,33
ID,House,28,21
ID,House,29,14
ID,House,30,11
ID,House,31,11
ID,House,32,15
ID,House,33,16
ID,House,34,4
ID,House,35,7
ID,House,36,2
ID,House,37,3
ID,House,38,4
ID,House,39,1
ID,House,40,2
ID,House,41,3
ID,House,42,2
ID,Senate,1,22
ID,Senate,2,59
ID,Senate,3,183
ID,Senate,4,460
ID,Senate,5,1069
ID,Senate,6,2065
ID,Senate,7,2577
ID,Senate,8,2057
ID,Senate,9,759
ID,Senate,10,361
ID,Senate,11,165
ID,Senate,12,97
ID,Senate,13,48
ID,Senate,14,29
ID,Senate,15,23
ID,Senate,16,8
ID,Senate,17,7
ID,Senate,18,4
ID,Senate,19,3
ID,Senate,20,3
ID,Senate,22,1
IL,House,13,1
IL,House,16,1
IL,House,30,1
IL,House,31,1
IL,House,32,3
IL,House,33,1
IL,House,34,1
IL,House,35,2
IL,House,36,1
IL,House,37,4
IL,House,38,1
IL,House,39,2
IL,House,42,2
IL,House,43,3
IL,House,44,2
IL,House,45,2
IL,House,46,7
IL,House,47,6
IL,House,48,2
IL,House,49,2
IL,House,50,7
IL,House,51,1
IL,House,52,2
IL,House,53,7
IL,House,54,6
IL,House,55,13
IL,House,56,8
IL,House,57,9
IL,House,58,9
IL,House,59,10
IL,House,60,12
IL,House,61,25
IL,House,62,12
IL,House,63,18
IL,House,64,19
IL,House,65,29
IL,House,66,31
IL,House,67,37
IL,House,68,48
IL,House,69,40
IL,House,70,66
IL,House,71,76
IL,House,72,87
IL,House,73,100
IL,House,74,129
IL,House,75,184
IL,House,76,224
IL,House,77,323
IL,House,78,367
IL,House,79,463
IL,House,80,669
IL,House,81,733
IL,House,82,778
IL,House,83,766
IL,House,84,770
IL,House,85,730
IL,House,86,576
IL,House,87,558
IL,House,88,460
IL,House,89,349
IL,House,90,278
IL,House,91,214
IL,House,92,171
IL,House,93,109
IL,House,94,112
IL,House,95,55
IL,House,96,57
IL,House,97,41
IL,House,98,36
IL,House,99,24
IL,House,100,25
IL,House,101,16
IL,House,102,13
IL,House,103,18
IL,House,104,7
IL,House,105,6
IL,House,106,3
IL,House,107,6
IL,House,108,4
IL,House,109,1
IL,House,110,2
IL,House,111,1
IL,House,112,1
IL,House,113,1
IL,House,114,1
IL,House,115,1
IL,House,116,1
IL,Senate,22,1
IL,Senate,23,1
IL,Senate,24,1
IL,Senate,26,1
IL,Senate,27,5
IL,Senate,28,4
IL,Senate,29,3
IL,Senate,30,11
IL,Senate,31,13
IL,Senate,32,27
IL,Senate,33,38
IL,Senate,34,51
IL,Senate,35,72
IL,Senate,36,102
IL,Senate,37,173
IL,Senate,38,279
IL,Senate,39,406
IL,Senate,40,604
IL,Senate,41,967
IL,Senate,42,1349
IL,Senate,43,1417
IL,Senate,44,1293
IL,Senate,45,1053
IL,Senate,46,827
IL,Senate,47,579
IL,Senate,48,347
IL,Senate,49,179
IL,Senate,50,88
IL,Senate,51,53
IL,Senate,52,28
IL,Senate,53,13
IL,Senate,54,11
IL,Senate,55,3
IL,Senate,56,1
IN,House,6,2
IN,House,8,2
IN,House,9,2
IN,House,10,6
IN,House,11,5
IN,House,12,7
IN,House,13,9
IN,House,14,11
IN,House,15,8
IN,House,16,13
IN,House,17,19
IN,House,18,21
IN,House,19,35
IN,House,20,48
IN,House,21,69
IN,House,22,93
IN,House,23,117
IN,House,24,171
IN,House,25,218
IN,House,26,313
IN,House,27,453
IN,House,28,545
IN,House,29,685
IN,House,30,838
IN,House,31,870
IN,House,32,781
IN,House,33,645
IN,House,34,548
IN,House,35,487
IN,House,36,410
IN,House,37,353
IN,House,38,293
IN,House,39,286
IN,House,40,261
IN,House,41,217
IN,House,42,148
IN,House,43,153
IN,House,44,133
IN,House,45,101
IN,House,46,90
IN,House,47,91
IN,House,48,67
IN,House,49,58
IN,House,50,56
IN,House,51,40
IN,House,52,38
IN,House,53,24
IN,House,54,24
IN,House,55,24
IN,House,56,22
IN,House,57,10
IN,House,58,17
IN,House,59,6
IN,House,60,7
IN,House,61,8
IN,House,62,10
IN,House,63,8
IN,House,64,4
IN,House,65,2
IN,House,66,3
IN,House,67,2
IN,House,68,2
IN,House,69,2
IN,House,70,1
IN,House,71,2
IN,House,74,2
IN,House,77,1
IN,House,78,1
IN,House,80,1
IN,House,85,1
IN,Senate,7,87
IN,Senate,8,584
IN,Senate,9,1168
IN,Senate,10,1445
IN,Senate,11,1595
IN,Senate,12,1497
IN,Senate,13,1107
IN,Senate,14,758
IN,Senate,15,582
IN,Senate,16,354
IN,Senate,17,240
IN,Senate,18,181
IN,Senate,19,126
IN,Senate,20,96
IN,Senate,21,63
IN,Senate,22,48
IN,Senate,23,22
IN,Senate,24,15
IN,Senate,25,14
IN,Senate,26,9
IN,Senate,27,8
IN,Senate,29,1
IA,House,6,1
IA,House,7,2
IA,House,9,2
IA,House,10,3
IA,House,11,2
IA,House,12,7
IA,House,13,4
IA,House,14,5
IA,House,15,7
IA,House,16,9
IA,House,17,10
IA,House,18,16
IA,House,19,14
IA,House,20,23
IA,House,21,24
IA,House,22,31
IA,House,23,39
IA,House,24,46
IA,House,25,65
IA,House,26,93
IA,House,27,101
IA,House,28,106
IA,House,29,157
IA,House,30,194
IA,House,31,253
IA,House,32,288
IA,House,33,309
IA,House,34,341
IA,House,35,350
IA,House,36,348
IA,House,37,364
IA,House,38,369
IA,House,39,385
IA,House,40,368
IA,House,41,334
IA,House,42,322
IA,House,43,317
IA,House,44,352
IA,House,45,300
IA,House,46,289
IA,House,47,298
IA,House,48,255
IA,House,49,255
IA,House,50,240
IA,House,51,230
IA,House,52,206
IA,House,53,197
IA,House,54,206
IA,House,55,177
IA,House,56,157
IA,House,57,156
IA,House,58,130
IA,House,59,127
IA,House,60,112
IA,House,61,99
IA,House,62,108
IA,House,63,81
IA,House,64,95
IA,House,65,72
IA,House,66,82
IA,House,67,61
IA,House,68,42
IA,House,69,47
IA,House,70,40
IA,House,71,37
IA,House,72,41
IA,House,73,31
IA,House,74,24
IA,House,75,24
IA,House,76,19
IA,House,77,11
IA,House,78,14
IA,House,79,17
IA,House,80,10
IA,House,81,6
IA,House,82,10
IA,House,83,7
IA,House,84,4
IA,House,85,5
IA,House,86,4
IA,House,87,3
IA,House,88,3
IA,House,89,1
IA,House,91,3
IA,House,92,1
IA,House,95,1
IA,House,98,1
IA,Senate,8,1
IA,Senate,9,5
IA,Senate,10,5
IA,Senate,11,15
IA,Senate,12,39
IA,Senate,13,92
IA,Senate,14,171
IA,Senate,15,441
IA,Senate,16,848
IA,Senate,17,1273
IA,Senate,18,1452
IA,Senate,19,1483
IA,Senate,20,1294
IA,Senate,21,1002
IA,Senate,22,759
IA,Senate,23,462
IA,Senate,24,310
IA,Senate,25,161
IA,Senate,26,97
IA,Senate,27,44
IA,Senate,28,29
IA,Senate,29,11
IA,Senate,30,5
IA,Senate,31,1
KS,House,11,1
KS,House,13,1
KS,House,15,2
KS,House,16,2
KS,House,17,2
KS,House,18,3
KS,House,19,3
KS,House,20,7
KS,House,21,5
KS,House,22,7
KS,House,23,7
KS,House,24,12
KS,House,25,8
KS,House,26,13
KS,House,27,21
KS,House,28,19
KS,House,29,35
KS,House,30,36
KS,House,31,58
KS,House,32,62
KS,House,33,74
KS,House,34,102
KS,House,35,116
KS,House,36,152
KS,House,37,234
KS,House,38,270
KS,House,39,318
KS,House,40,343
KS,House,41,372
KS,House,42,405
KS,House,43,404
KS,House,44,408
KS,House,45,473
KS,House,46,385
KS,House,47,427
KS,House,48,388
KS,House,49,394
KS,House,50,384
KS,House,51,387
KS,House,52,364
KS,House,53,316
KS,House,54,292
KS,House,55,265
KS,House,56,210
KS,House,57,229
KS,House,58,221
KS,House,59,207
KS,House,60,172
KS,House,61,151
KS,House,62,145
KS,House,63,113
KS,House,64,122
KS,House,65,87
KS,House,66,87
KS,House,67,79
KS,House,68,71
KS,House,69,60
KS,House,70,44
KS,House,71,54
KS,House,72,45
KS,House,73,38
KS,House,74,37
KS,House,75,28
KS,House,76,32
KS,House,77,25
KS,House,78,20
KS,House,79,23
KS,House,80,23
KS,House,81,12
KS,House,82,18
KS,House,83,6
KS,House,84,5
KS,House,85,6
KS,House,86,2
KS,House,87,7
KS,House,88,5
KS,House,89,5
KS,House,90,6
KS,House,91,2
KS,House,92,2
KS,House,93,2
KS,House,94,4
KS,House,95,3
KS,House,96,3
KS,House,97,2
KS,House,98,3
KS,House,99,3
KS,House,103,1
KS,House,104,1
KS,House,105,1
KS,House,107,1
KY,House,2,1
KY,House,3,2
KY,House,4,1
KY,House,5,1
KY,House,6,2
KY,House,7,3
KY,House,8,9
KY,House,9,7
KY,House,10,16
KY,House,11,25
KY,House,12,44
KY,House,13,83
KY,House,14,101
KY,House,15,212
KY,House,16,355
KY,House,17,569
KY,House,18,861
KY,House,19,1120
KY,House,20,1173
KY,House,21,1040
KY,House,22,850
KY,House,23,629
KY,House,24,515
KY,House,25,416
KY,House,26,315
KY,House,27,257
KY,House,28,204
KY,House,29,172
KY,House,30,135
KY,House,31,119
KY,House,32,93
KY,House,33,82
KY,House,34,75
KY,House,35,57
KY,House,36,64
KY,House,37,52
KY,House,38,44
KY,House,39,46
KY,House,40,30
KY,House,41,28
KY,House,42,24
KY,House,43,16
KY,House,44,11
KY,House,45,8
KY,House,46,12
KY,House,47,12
