race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,5.2,70.0,30.0,Lean D,-12.13,5.5,5.58,2.06,10.86,-0.71,-13.45,18.65,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,50.15,41.57,9,8.95,0.363,19860206,1218702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6,47.4,0.0,612526,551928,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-41.9,0.0,100.0,Safe R,-36.27,5.5,-45.45,-1.82,-12.37,-0.49,-37.52,-4.38,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,29.0,50.5,1,-23.84,0.169,136953,2057743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.05,70.95,0.0,184034,449509,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,20.24,97.7,2.3,Safe D,12.91,5.5,20.23,1.84,-0.02,0.0,11.14,9.1,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,22.74,0.15,25619035,2166962,0,3141018,127990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.12,39.88,0.0,2377542,1577195,0,0,3954737
KS-GOV,governor,KS,GOV,Cindy Holscher,Ty Masterson,DEM,REP,,DEM,-9.27,17.7,82.3,Likely R,-16.42,5.5,-11.35,0.0,0.0,-0.43,-16.41,7.14,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,45.38,48.02,2,-2.82,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.36,54.64,0.0,421567,507746,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.88,99.9,0.1,Safe D,27.8,5.5,34.08,0.0,1.13,-0.34,25.91,4.97,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,presumptive,53.37,31.99,8,21.96,0.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.44,34.56,0.0,1591168,840399,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,36.48,100.0,0.0,Safe D,30.37,5.5,39.22,0.0,3.43,-0.08,29.51,6.97,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,58.0,31.0,1,24.67,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.24,31.76,0.0,1451344,675490,0,0,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,11.59,87.7,12.3,Likely D,7.36,5.5,11.89,0.0,0.0,-0.97,7.09,4.5,False,False,IND,0,,0.0,Rick Bennett,2.84,0.0,,,0.0,confirmed,confirmed,48.55,37.15,6,11.79,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.21,42.95,0.0,315487,249947,0,16528,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,12.43,89.3,10.7,Likely D,-0.43,5.5,14.63,0.21,9.97,-0.63,-1.44,13.87,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.33,41.82,26,8.2,0.317,5958887,4492470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.21,43.79,0.0,2228444,1735817,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,12.04,88.6,11.4,Likely D,4.83,5.5,11.06,1.57,-0.12,-0.72,4.34,7.7,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,50.47,36.9,5,15.13,0.278,9312380,1102119,0,4480911,457944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.02,43.98,0.0,1276010,1001734,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-17.47,4.2,95.8,Safe R,-20.91,5.5,-19.14,0.0,-3.25,-0.48,-20.84,3.37,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,31.07,32.21,2,-3.65,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.27,58.73,0.0,273597,389414,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-12.04,11.4,88.6,Likely R,3.63,5.5,-12.91,-1.39,-19.79,-0.86,2.82,-14.86,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,presumptive,38.47,47.97,6,-8.89,0.256,908163,6079166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.98,56.02,0.0,254348,323985,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,9.84,83.8,16.2,Likely D,7.41,5.5,9.59,1.95,-6.39,1.12,6.14,3.7,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,45.55,35.12,3,11.06,0.268,13910580,987856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.92,45.08,0.0,355003,291374,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,4.21,66.5,33.5,Lean D,-1.57,5.5,5.65,0.47,0.85,0.4,-3.15,7.36,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,43.95,43.64,11,0.95,0.283,4285307,2275075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,47.9,0.0,541382,497685,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,13.29,90.7,9.3,Likely D,15.56,5.5,13.85,0.16,-7.5,0.13,12.68,0.61,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.47,37.98,18,12.72,0.286,16594119,13445025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,43.35,0.0,3293182,2520317,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-4.51,32.4,67.6,Lean R,-10.38,5.5,-6.05,-0.48,0.0,-0.69,-11.31,6.81,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,47.83,46.79,20,1.36,0.292,15928993,30306297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.75,52.25,0.0,1926853,2108658,0,0,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Mike Mazzei,DEM,REP,,REP,-30.06,0.2,99.8,Safe R,-34.86,5.5,-30.06,0.0,0.0,-0.7,-34.95,4.89,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.97,65.03,0.0,383345,712877,0,0,1096222
