race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_party,ind_party_label,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
SC-GOV,governor,SC,GOV,Jermaine Johnson,Alan Wilson,DEM,REP,,REP,-10.15,15.0,85.0,Likely R,-16.61,5.95,-9.5,1.47,0.07,-0.39,-18.12,7.97,False,False,GRN,0,,0.0,Walid Hakim,GRN,Green,1.87,0.0,,,0.0,confirmed,confirmed,39.66,47.0,2,-10.33,0.215,753609,62585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.09,54.04,0.0,786351,963992,0,33355,1783698
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-25.12,0.6,99.4,Safe R,-29.41,5.95,-25.12,0.0,-0.64,-1.02,-29.98,4.86,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.44,62.56,0.0,111751,186722,0,0,298473
TN-GOV,governor,TN,GOV,Jerri Green,Marsha Blackburn,DEM,REP,,REP,-16.42,4.9,95.1,Safe R,-28.6,5.95,-19.46,0.0,3.73,-0.54,-30.12,13.7,False,False,IND,0,,0.0,Lauren Pinkston,IND,Independent,7.32,0.0,,,0.0,confirmed,confirmed,33.2,49.82,3,-16.62,0.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.73,53.95,0.0,830674,1157089,0,156996,2144759
TX-GOV,governor,TX,GOV,Gina Hinojosa,Greg Abbott,DEM,REP,REP,REP,-7.22,22.9,77.1,Likely R,-11.93,5.95,-9.86,-1.58,-3.33,1.04,-13.88,6.66,False,False,LIB,0,,0.0,Pat Dixon,LIB,Libertarian,0.85,0.0,,,0.0,confirmed,confirmed,44.93,48.23,30,-3.34,0.379,8589462,71434049,13283,3002416,67461299,6374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,53.15,0.0,3671866,4243446,0,67857,7983170
VT-GOV,governor,VT,GOV,Amanda Janoo,Phil Scott,DEM,REP,REP,REP,-22.31,1.3,98.7,Safe R,33.44,5.95,-24.14,0.0,-62.58,-0.95,32.77,-55.08,False,False,OTH,0,,0.0,Dean Roy,OTH,Freedom and Unity,2.34,0.0,,,0.0,confirmed,confirmed,30.95,43.32,2,-12.37,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.94,59.72,0.0,98104,154441,0,6051,258595
WI-GOV,governor,WI,GOV,David Crowley,Tom Tiffany,DEM,REP,,DEM,3.19,63.3,36.7,Lean D,-0.43,5.95,3.38,-1.76,0.28,-0.66,-0.87,4.07,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,46.33,43.81,6,2.75,0.298,1426778,15315779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.6,48.4,0.0,1236294,1159749,0,0,2396043
WY-GOV,governor,WY,GOV,Kenneth Casner,Eric Barlow,DEM,REP,,REP,-40.19,0.0,100.0,Safe R,-46.77,5.95,-41.46,0.0,0.0,-0.64,-46.96,6.77,False,False,CON,0,,0.0,Rebecca Bextel,CON,Constitution,3.91,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,1673103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.74,67.35,0.0,54121,126848,0,7364,188334
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-0.22,48.6,51.4,Toss-up,-11.11,5.95,-1.77,0.34,4.11,-1.06,-13.8,12.75,True,False,,4,Dan S. Sullivan,1.75,,,,0.0,0.0,,,0.0,confirmed,confirmed,47.77,47.35,16,0.4,0.32,18545132,9136967,0,4636755,7295069,0,9270171,13789894,13908377,3932803,0,6750626,558386,0,603646,1998758,0,0,0,0,0,0,0,48.23,49.27,2.5,114029,116505,5911,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-22.21,1.4,98.6,Safe R,-26.67,5.95,-23.48,-3.21,0.93,-0.48,-30.88,8.67,False,False,,0,,0.0,,,,0.0,0.0,,,0.0,confirmed,confirmed,32.0,47.0,1,-15.0,0.15,80555,3787330,0,18283,627788,0,3019,17142534,62272,3284673,0,1561,346554,0,0,881598,0,70643,50000,0,70643,360928,0,38.89,61.11,0.0,616692,968871,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-20.08,2.3,97.7,Safe R,-27.69,5.95,-24.78,-0.87,-1.67,-0.51,-31.57,11.49,False,False,LIB,0,,0.0,Jeff Wadlin,LIB,Libertarian,3.44,0.0,,,0.0,confirmed,confirmed,39.64,48.37,4,-8.89,0.253,2269114,6233117,28778,863578,9931885,8469,0,3244245,1405536,3752101,20309,807603,552197,999,20060,1191500,0,0,0,21029,0,73959,0,38.59,57.97,0.0,323916,486663,0,28877,839457
