code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
IA-03,district,IA,-3.41,3.74,0.97,0.64,-4.46,42.3,54.0,-11.7,1.5,82.3,5.2,6.6,4.2,1.6,0.2
IA-04,district,IA,-30.53,3.74,-26.22,0.57,-31.9,53.8,42.6,11.3,1.4,85.4,2.4,7.6,2.5,1.7,0.5
ID-01,district,ID,-44.68,3.74,-40.56,0.39,-46.2,59.6,36.7,22.9,1.0,83.1,0.9,9.9,2.1,3.6,0.4
ID-02,district,ID,-26.75,3.74,-22.77,0.24,-27.56,51.9,44.5,7.3,0.7,80.3,1.4,12.2,2.6,3.0,0.4
IL-01,district,IL,35.49,3.74,40.54,1.31,32.27,26.3,70.1,-43.9,2.4,36.6,51.5,7.8,2.6,1.4,0.1
IL-02,district,IL,35.77,3.74,40.44,0.93,33.6,25.8,70.6,-44.9,1.6,35.8,47.8,13.2,1.3,1.8,0.1
IL-03,district,IL,34.84,3.74,36.8,-1.79,31.81,23.5,72.9,-49.5,-3.8,41.3,5.8,42.3,7.1,3.3,0.2
IL-04,district,IL,33.61,3.74,34.46,-2.9,28.79,22.8,73.6,-50.8,-6.2,25.0,5.5,60.3,4.5,4.6,0.1
IL-05,district,IL,38.64,3.74,42.51,0.13,37.55,23.9,72.5,-48.5,0.4,73.0,3.3,10.6,11.7,1.2,0.1
IL-06,district,IL,7.05,3.74,11.04,0.25,5.67,37.5,58.9,-21.4,0.6,74.4,5.9,11.8,6.5,1.3,0.1
IL-07,district,IL,68.64,3.74,72.94,0.56,66.13,11.4,85.0,-73.6,0.8,32.3,42.4,13.7,10.1,1.5,0.1
IL-08,district,IL,9.34,3.74,12.48,-0.6,7.01,35.6,60.8,-25.2,-1.2,57.7,4.7,20.5,15.0,2.1,0.1
IL-09,district,IL,38.75,3.74,42.52,0.03,37.04,23.7,72.7,-49.0,0.1,61.2,9.6,11.6,15.9,1.5,0.1
IL-10,district,IL,23.46,3.74,26.79,-0.41,22.34,29.8,66.6,-36.8,-0.8,61.0,7.1,21.0,8.6,2.2,0.2
IL-11,district,IL,12.54,3.74,16.16,-0.12,11.6,34.7,61.6,-26.9,-0.2,66.3,6.6,16.4,8.9,1.8,0.1
IL-12,district,IL,-43.71,3.74,-38.97,0.99,-44.13,59.9,36.5,23.3,2.3,88.5,5.6,2.4,1.4,2.0,0.1
IL-13,district,IL,11.02,3.74,15.74,0.97,10.63,36.5,59.9,-23.4,2.0,67.8,20.3,4.3,5.4,2.1,0.1
IL-14,district,IL,6.84,3.74,10.38,-0.2,5.26,37.0,59.3,-22.3,-0.4,62.1,10.1,19.9,5.6,2.2,0.1
IL-15,district,IL,-40.0,3.74,-35.28,0.97,-40.5,58.3,38.1,20.2,2.3,91.3,3.4,2.4,1.0,1.8,0.1
IL-16,district,IL,-22.73,3.74,-18.26,0.73,-23.07,50.7,45.7,5.0,1.7,87.6,2.7,5.3,2.5,1.8,0.1
IL-17,district,IL,5.83,3.74,10.21,0.63,4.81,38.4,58.0,-19.7,1.4,71.8,14.1,9.4,2.6,2.0,0.1
IN-01,district,IN,2.84,3.74,6.99,0.41,0.4,39.4,57.0,-17.6,0.8,62.9,18.8,14.2,1.8,2.1,0.1
IN-02,district,IN,-25.97,3.74,-21.68,0.56,-26.92,51.8,44.5,7.3,1.3,79.4,7.2,9.2,1.9,2.2,0.1
IN-03,district,IN,-31.51,3.74,-27.0,0.77,-31.73,54.4,41.9,12.5,1.8,83.2,6.6,5.5,2.8,1.9,0.1
IN-04,district,IN,-29.97,3.74,-25.58,0.65,-29.88,53.7,42.7,10.9,1.5,83.3,4.0,5.9,4.3,1.9,0.6
IN-05,district,IN,-17.22,3.74,-12.64,0.85,-17.13,48.4,47.9,0.5,1.9,83.7,6.7,3.8,3.9,1.8,0.1
IN-06,district,IN,-33.14,3.74,-28.65,0.75,-33.1,55.1,41.3,13.8,1.7,84.2,4.5,4.2,5.1,1.9,0.1
IN-07,district,IN,42.38,3.74,46.86,0.74,42.16,22.8,73.6,-50.7,1.4,50.0,33.1,12.1,2.7,2.0,0.1
