# 2026 Maryland House of Delegates per-seat roster (GENERAL nominees).
# Source: MD State Board of Elections June 23 primary RESULTS (winners = top-N
# per party per unit, results final as of Jul 10) x the BOE candidate list;
# seats-per-unit from MultiState (71 units, 141 seats: 3-member at-large
# districts split A/B/C, 2-member subdistricts A/B, single-member as-is).
# Incumbency curated from 2022 winners in leg_results (MD serves 4-year terms;
# 2022 results lump lettered subdistricts under the base district number).
# Pairing: incumbents keep their own seat; an outnumbered party's candidates
# face the other party's non-incumbents. Built 2026-07-15.
chamber,district,seat,dem_name,rep_name,other_name,incumbent,incumbent_party
House of Delegates,31,A,Heidi Buchanan Schmidt,Brian A. Chisholm,,Brian A. Chisholm,R
House of Delegates,31,B,Joan Barone Cole,Mike Jacobs,,,
House of Delegates,31,C,Ryan Kelly Shaban,LaToya Marie Caldwell-Nkongolo,,,
House of Delegates,32,A,J. Sandy Bartlett,Mary Phelps,,J. Sandy Bartlett,D
House of Delegates,32,B,Mike Rogers,Colin McEvers,,Mike Rogers,D
House of Delegates,32,C,Spencer F. Dixon,"Marcus Damon Snipes, Jr.",,,
House of Delegates,33A,,Andrew C. Pruski,,,Andrew C. Pruski,D
House of Delegates,33B,,Chuck Cook,"Stuart M. Schmidt, Jr.",,"Stuart M. Schmidt, Jr.",R
House of Delegates,33C,,Heather A. Bagnall,Kristin M. Norris,,Heather A. Bagnall,D
House of Delegates,34A,A,"Andre V. Johnson, Jr.",Elliott Joseph Herneker,,"Andre V. Johnson, Jr.",D
House of Delegates,34A,B,Steve Johnson,,,Steve Johnson,D
House of Delegates,34B,,Anthony Lyon,Jake Taylor,,,
House of Delegates,35A,A,Gregory V. Anderson,Mike Griffith,,Mike Griffith,R
House of Delegates,35A,B,"Michael A. Eckels, Jr.",Teresa Reilly,,Teresa Reilly,R
House of Delegates,35B,,Blessing T. Oluwadare,Derek J. Howell,,,
House of Delegates,36,A,Crystal Woodward,Jay A. Jacobs,,Jay A. Jacobs,R
House of Delegates,36,B,Michelle Ravert,Jeff Ghrist,,Jeff Ghrist,R
House of Delegates,36,C,Nevin Crouse,Steve Arentz,,,
House of Delegates,37A,,Sheree Sample-Hughes,,,,
