state,county_fips,cd_code,votes_dem,votes_rep,votes_total,pres16_dem,pres16_rep,pres20_dem,pres20_rep,pop_tot,vap_tot,vap_white,vap_black,vap_hisp,vap_asian,vap_native,vap_pacific
AL,01095,AL-04,5553,34434,40388,4917,29233,5943,33191,97612,73530,59519,1670,8841,453,329,82
AL,01097,AL-01,72055,100759,175164,72186,95116,79474,101243,414809,319427,183208,106616,9156,6593,2827,159
AL,01099,AL-07,3740,6007,9815,4332,5795,4455,6147,19772,15562,8439,6315,128,69,225,0
AL,01101,AL-02,57946,30477,89798,58916,34003,64529,33311,228954,177427,62431,97433,6663,6130,290,84
AL,01103,AL-05,12310,40213,53219,11254,37486,13234,39664,123421,95485,71523,11491,7447,628,535,51
AL,01105,AL-07,3174,1269,4465,3824,1407,3860,1339,8511,6740,2051,4508,63,10,15,0
AL,01107,AL-07,3388,5465,8912,3972,5456,4022,5594,19123,15447,8395,5782,911,63,23,0
AL,01109,AL-02,4899,8224,13234,5056,7693,5636,8042,33009,26809,15241,9477,622,494,142,9
AL,01111,AL-03,1920,9102,11091,2291,7705,2203,8559,21967,17264,13420,2930,336,61,47,1
AL,01113,AL-02,10422,10078,20718,9579,9210,11228,9864,59183,44681,21606,19054,1945,344,146,83
AL,01115,AL-03,7640,35501,43526,5589,31651,7744,36166,91103,70092,58554,6607,1589,498,207,20
AL,01117,AL-06,33087,79666,114698,22977,73020,33268,79700,223024,170487,128516,21271,10463,3863,377,73
AL,01119,AL-07,3725,1542,5307,4746,1581,4648,1598,12345,9914,2530,7017,107,102,21,0
AL,01121,AL-03,10768,21209,32223,11996,19890,12998,21394,80220,63494,40025,20161,1149,321,170,20
AL,01121,AL-06,130,891,1027,125,724,140,841,1929,1530,1346,116,22,0,2,0
AL,01123,AL-03,4975,14884,20023,5519,13594,5859,14963,41311,33012,23419,7810,707,184,66,0
AL,01125,AL-04,11110,27572,39229,9985,24323,12156,27074,86947,66028,48034,12124,3016,977,130,30
AL,01125,AL-07,22289,23152,46027,21777,23400,25609,24043,140089,112996,63109,39084,5573,1721,215,47
AL,01127,AL-04,4102,25470,29792,4497,24266,4834,26002,65342,51667,45315,3002,1354,225,161,0
AL,01129,AL-07,1863,6534,8441,2374,6042,2258,6564,15388,12081,8180,2641,95,9,818,0
AL,01131,AL-07,3449,1793,5263,4339,1742,4048,1833,10600,8260,2445,5598,80,7,8,5
AL,01133,AL-04,884,10191,11149,872,9228,974,10195,23540,18766,17452,107,464,39,78,9
AR,05001,AR-01,1503,3951,5547,1939,3826,1818,4304,17149,13293,9336,3064,388,81,26,0
AR,05003,AR-04,1774,5145,7030,2408,5338,2125,5548,19062,14736,10118,3518,696,36,25,6
AR,05005,AR-01,4341,16253,20954,4169,14682,4635,15836,41627,34358,31755,69,694,198,185,9
AR,05007,AR-03,45218,79852,128524,28005,60871,42249,73965,284333,208604,148280,3205,32032,9967,2723,1460
AR,05009,AR-01,2854,13968,17112,2926,12235,3064,13652,37373,29083,26563,68,598,191,213,17
AR,05011,AR-04,961,2213,3209,1317,2164,1214,2335,10545,7857,4542,2171,939,24,26,0
AR,05013,AR-04,379,1674,2092,639,1556,479,1636,4739,3781,2825,753,72,2,3,9
AR,05015,AR-03,3812,7470,11538,3342,6786,4023,7424,28260,22082,17394,65,2711,377,196,246
AR,05017,AR-01,1796,1658,3490,2350,1716,2260,1752,10208,8005,3322,4044,378,38,16,9
AR,05019,AR-04,2959,4526,7657,3620,4404,3438,4616,21446,17401,11801,4030,701,127,67,12
AR,05021,AR-01,907,3968,4967,1199,3781,962,4086,14552,11384,10723,38,190,13,44,4
AR,05023,AR-02,1941,10595,12739,2101,9458,1988,10328,24711,20099,18709,44,378,86,101,7
AR,05025,AR-04,524,2804,3374,723,2462,651,2867,7550,5942,5131,509,115,7,21,0
AR,05027,AR-04,2466,5367,7940,3140,5456,2814,5500,22801,17954,10819,5982,533,118,52,0
AR,05029,AR-02,2449,5893,8541,2656,4849,2615,5694,20715,15984,12737,1681,567,71,106,8
AR,05031,AR-01,11210,25152,37242,10538,22890,11921,25557,111231,83620,62884,11906,4213,1391,229,36
AR,05033,AR-03,4753,18615,23834,4488,16686,4959,18607,60133,45387,37212,590,2789,745,929,18
AR,05035,AR-01,7362,7028,14681,8410,6964,8514,7333,48163,35537,15295,18053,876,269,85,14
AR,05037,AR-01,1642,4753,6534,1999,4584,1772,4946,16833,12687,9383,2622,189,70,32,0
AR,05039,AR-04,798,1482,2324,1165,1509,963,1573,6482,5097,2860,1961,119,7,13,0
AR,05041,AR-01,1638,1805,3505,2228,1919,2016,1921,11395,8605,3877,3896,508,44,35,0
AR,05043,AR-04,2050,4203,6365,2365,3968,2426,4349,17350,13382,8830,3634,421,79,57,9
AR,05045,AR-02,17752,35357,54465,14629,29346,18347,34421,123498,94673,73087,10313,4392,1143,438,43
AR,05047,AR-04,1232,5582,6971,1376,5039,1300,5677,17097,12986,11669,49,302,122,137,10
AR,05049,AR-01,906,4040,5043,1033,3397,1035,3961,12075,9409,8772,12,86,33,51,0
AR,05051,AR-04,13015,28359,42327,12311,26087,14045,29069,100180,79730,64115,5877,4390,791,518,51
AR,05053,AR-04,1192,6755,8078,1373,5725,1268,6794,17958,13816,12564,360,256,60,54,1
AR,05055,AR-01,2935,12617,15820,3071,10720,3058,12670,45736,34486,31194,523,930,130,121,157
AR,05057,AR-04,1776,4193,6089,2377,4401,2138,4470,20065,15024,8536,4129,1778,66,49,5
AR,05059,AR-04,2818,9226,12283,3149,8172,3082,9202,33040,26041,21117,2781,768,91,128,11
AR,05061,AR-04,1158,3246,4473,1351,3157,1340,3367,12785,9548,6285,1918,891,62,64,1
AR,05063,AR-01,2689,11023,14011,2881,9936,2806,11250,37938,28767,24677,609,1880,286,108,18
AR,05065,AR-01,949,4854,5925,1113,4042,1021,4631,13577,11172,10071,248,222,20,66,9
AR,05067,AR-01,1183,3509,4775,1583,3267,1365,3593,16755,13442,10459,2185,288,49,40,3
AR,05069,AR-04,12802,8468,21608,15772,9250,14981,9521,67260,53273,21436,28800,1036,506,186,53
AR,05071,AR-04,2107,6766,9059,2427,6091,2283,6938,25749,19377,15228,370,2131,557,160,20
AR,05073,AR-04,698,1589,2325,1032,1758,839,1757,6308,5078,3206,1602,109,26,29,5
AR,05075,AR-01,965,4608,5692,1263,4064,1080,4569,16216,12597,11711,120,212,21,27,8
AR,05077,AR-01,1270,1181,2520,1735,1229,1423,1286,8600,7029,2935,3699,166,11,18,0
AR,05079,AR-01,813,2502,3372,1252,2455,1032,2729,12941,10858,6814,3283,420,17,23,2
AR,05081,AR-04,1084,3744,4899,1397,3605,1226,3715,12026,9354,6887,1678,237,17,122,5
AR,05083,AR-04,1464,6567,8205,1715,5746,1544,6441,21131,16279,14561,168,380,242,173,3
AR,05085,AR-01,6790,23225,30620,5669,19977,6686,22884,74015,54933,46078,3162,2151,579,254,33
