code,state,chamber,district,vap_total,vap_white_pct,vap_black_pct,vap_hisp_pct,vap_asian_pct,vap_native_pct,vap_pac_pct,vap_minor_pct
VT-H-ORC,VT,lower,ORC,3583.0,92.95,0.67,1.15,0.78,2.63,0.14,7.05
VT-H-OWA,VT,lower,OWA,6746.0,92.16,1.07,1.74,0.88,2.7,0.07,7.84
VT-H-R-1,VT,lower,R-1,3159.0,92.91,0.77,1.61,0.87,2.71,0.08,7.09
VT-H-R-2,VT,lower,R-2,7455.0,93.68,0.79,1.01,1.03,1.89,0.04,6.32
VT-H-CA2,VT,lower,CA2,3314.0,91.86,0.99,1.39,1.03,2.96,0.06,8.14
VT-H-CA3,VT,lower,CA3,6857.0,92.87,0.98,1.14,1.01,2.93,0.1,7.13
VT-H-CAE,VT,lower,CAE,7062.0,89.42,1.46,3.01,2.32,2.89,0.08,10.58
VT-H-CAW,VT,lower,CAW,3605.0,93.32,0.58,1.22,1.0,3.02,0.14,6.68
VT-H-E-C,VT,lower,E-C,3327.0,93.42,0.33,1.05,1.26,2.7,0.12,6.58
VT-H-E-O,VT,lower,E-O,3802.0,94.63,0.39,0.95,0.32,2.89,0.08,5.37
VT-H-F-1,VT,lower,F-1,7316.0,92.88,0.82,1.56,1.25,2.35,0.12,7.12
VT-H-F-2,VT,lower,F-2,5436.0,91.81,1.45,1.75,1.08,3.24,0.09,8.19
VT-H-F-3,VT,lower,F-3,3577.0,87.85,2.21,2.32,1.96,4.65,0.24,12.15
VT-H-F-4,VT,lower,F-4,6875.0,90.29,0.68,1.26,0.45,6.19,0.01,9.71
VT-H-A-1,VT,lower,A-1,7595.0,82.54,3.55,4.99,6.79,1.89,0.14,17.46
VT-H-A-2,VT,lower,A-2,3545.0,92.9,0.44,1.77,1.47,2.1,0.31,7.1
VT-H-O-3,VT,lower,O-3,3370.0,93.06,0.77,0.65,0.65,4.25,0.09,6.94
VT-H-A-3,VT,lower,A-3,6865.0,92.45,1.01,2.65,0.85,2.32,0.09,7.55
VT-H-A-4,VT,lower,A-4,7177.0,92.7,0.47,1.73,0.85,2.64,0.01,7.3
VT-H-A-5,VT,lower,A-5,2977.0,91.17,1.58,3.66,1.38,1.3,0.07,8.83
VT-H-A-R,VT,lower,A-R,3405.0,92.25,0.94,2.29,0.76,1.76,0.06,7.75
VT-H-B-1,VT,lower,B-1,3759.0,94.76,0.59,1.34,0.43,2.0,0.03,5.24
VT-H-B-2,VT,lower,B-2,6279.0,89.11,2.28,2.68,2.41,2.49,0.14,10.89
VT-H-Y-2,VT,lower,Y-2,3698.0,92.85,1.0,1.46,0.79,2.52,0.16,7.15
VT-H-Y-3,VT,lower,Y-3,7450.0,91.96,1.5,1.76,1.06,2.86,0.04,8.04
VT-H-Y-4,VT,lower,Y-4,3747.0,93.32,0.77,1.51,1.44,2.01,0.0,6.68
VT-H-Y-5,VT,lower,Y-5,3636.0,94.39,0.91,1.76,0.69,1.32,0.08,5.61
VT-H-Y-6,VT,lower,Y-6,7375.0,90.13,1.98,1.93,2.7,2.75,0.05,9.87
VT-H-Y-A,VT,lower,Y-A,3425.0,92.69,0.65,1.9,0.65,2.72,0.03,7.31
VT-H-Y-W,VT,lower,Y-W,3712.0,93.74,0.6,1.75,0.41,2.46,0.11,6.26
VT-H-YO1,VT,lower,YO1,3354.0,92.26,1.19,0.95,1.46,2.77,0.12,7.74
VT-H-YO2,VT,lower,YO2,7153.0,91.59,0.91,1.8,1.94,2.23,0.06,8.41
VT-H-W-1,VT,lower,W-1,3549.0,93.08,1.05,2.14,0.65,2.17,0.11,6.92
VT-H-W-2,VT,lower,W-2,3364.0,93.12,0.98,2.14,1.43,1.85,0.15,6.88
VT-H-W-3,VT,lower,W-3,6795.0,91.19,1.47,1.89,0.99,3.28,0.15,8.81
VT-H-W-4,VT,lower,W-4,3732.0,91.43,1.37,2.7,1.5,1.61,0.11,8.57
VT-H-W-5,VT,lower,W-5,4040.0,89.46,2.53,2.79,1.46,2.18,0.1,10.54
VT-H-W-6,VT,lower,W-6,3608.0,92.47,0.83,2.11,0.86,2.06,0.11,7.53
VT-H-W-7,VT,lower,W-7,3194.0,88.56,2.16,2.16,2.13,3.22,0.06,11.44
VT-H-W-8,VT,lower,W-8,3322.0,86.68,3.89,3.68,2.89,2.45,0.09,13.32
VT-H-W-9,VT,lower,W-9,3489.0,87.83,2.57,2.82,2.42,2.96,0.15,12.17
VT-H-WA1,VT,lower,WA1,7463.0,88.59,3.48,3.05,1.29,2.93,0.08,11.41
VT-H-C-8,VT,lower,C-8,4909.0,86.77,1.81,2.25,6.98,1.36,0.12,13.23
VT-H-C-9,VT,lower,C-9,2018.0,84.14,2.89,2.8,8.06,1.49,0.14,15.86
VT-H-C-F,VT,lower,C-F,2441.0,92.14,1.24,1.46,1.26,2.8,0.08,7.86
VT-H-C10,VT,lower,C10,3779.0,82.36,3.79,3.31,7.1,2.29,0.15,17.64
VT-H-C11,VT,lower,C11,4019.0,83.37,4.35,3.51,6.86,1.43,0.08,16.63
VT-H-C12,VT,lower,C12,3769.0,86.82,2.37,2.13,6.25,1.23,0.05,13.18
VT-S-BEN,VT,upper,BEN,33990.0,91.99,1.44,2.13,1.41,1.92,0.09,8.01
VT-S-WSR,VT,upper,WSR,49281.0,92.19,1.17,1.71,1.35,2.44,0.08,7.81
VT-S-CAL,VT,upper,CAL,18020.0,91.6,1.01,1.92,1.44,2.7,0.1,8.4
VT-S-CHC,VT,upper,CHC,48962.0,82.58,4.48,3.11,7.34,1.88,0.1,17.42
VT-S-CHN,VT,upper,CHN,19453.0,91.44,1.34,1.7,2.21,2.38,0.09,8.56
VT-S-CHS,VT,upper,CHS,58035.0,88.72,2.26,2.39,3.91,1.57,0.08,11.28
VT-S-ESX,VT,upper,ESX,18246.0,93.17,0.96,1.27,0.96,2.91,0.12,6.83
VT-S-FRA,VT,upper,FRA,34847.0,91.29,0.98,1.58,0.85,4.39,0.12,8.71
VT-S-GRI,VT,upper,GRI,18633.0,89.5,2.33,2.15,2.92,2.3,0.17,10.5
VT-S-LAM,VT,upper,LAM,17669.0,92.0,1.43,1.89,0.78,2.93,0.16,8.0
VT-S-ADD,VT,upper,ADD,33557.0,90.19,1.41,2.88,2.35,2.18,0.11,9.81
VT-S-ORA,VT,upper,ORA,17760.0,92.4,0.92,1.44,0.75,3.02,0.07,7.6
VT-S-ORL,VT,upper,ORL,17691.0,93.37,0.67,1.22,0.68,3.16,0.08,6.63
VT-S-RUT,VT,upper,RUT,49602.0,92.02,1.16,1.79,1.07,2.37,0.07,7.98
VT-S-WAS,VT,upper,WAS,54647.0,91.11,1.55,2.37,1.34,2.33,0.1,8.89
