race_code,race_type,state,district,dem_id,dem_name,dem_party,rep_id,rep_name,rep_party,ind_id,ind_name,ind_party,ind_caucus,dem2_id,rep2_id,rcv,threeway,ind_frac,same_party,cand2_name,cand1_inc,incumbent_party,seat_holder,dem_status,rep_status,ind_status
OR-GOV,governor,OR,GOV,C-0125,Tina Kotek,DEM,C-0126,Christine Drazan,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
PA-GOV,governor,PA,GOV,C-0127,Josh Shapiro,DEM,C-0128,Stacy Garrity,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
RI-GOV,governor,RI,GOV,C-0129,Dan McKee,DEM,C-0130,Aaron Guckian,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
SC-GOV,governor,SC,GOV,C-0131,Jermaine Johnson,DEM,C-0132,Alan Wilson,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
SD-GOV,governor,SD,GOV,C-0133,Dan Ahlers,DEM,C-0134,Larry Rhoden,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
TN-GOV,governor,TN,GOV,C-0135,Carnita Atwater,DEM,C-0136,Marsha Blackburn,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
TX-GOV,governor,TX,GOV,C-0137,Gina Hinojosa,DEM,C-0138,Greg Abbott,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
VT-GOV,governor,VT,GOV,C-0139,Amanda Janoo,DEM,C-0140,Phil Scott,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
WI-GOV,governor,WI,GOV,C-0141,Mandela Barnes,DEM,C-0142,Tom Tiffany,REP,,,,,,,False,False,0.0,,,False,,DEM,confirmed,confirmed,
WY-GOV,governor,WY,GOV,C-0143,Gabriel Green,DEM,C-0144,Megan Degenfelder,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
AK-01,house,AK,01,C-1012,Matt Schultz,DEM,C-0145,Nick Begich III,REP,C-1013,Bill Hill,IND,DEM,,,True,False,0.0,,,False,REP,REP,confirmed,confirmed,confirmed
AL-01,house,AL,01,C-0146,Clyde Jones,DEM,C-1017,Jerry Carl,REP,,,,,,,False,False,0.0,,,False,,REP,projected,projected,
AL-02,house,AL,02,C-0148,Shomari Figures,DEM,C-0147,Rhett Marques,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
AL-03,house,AL,03,C-0150,Victor McInnis,DEM,C-0151,Mike Rogers,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
AL-04,house,AL,04,C-0152,Amanda Pusczek,DEM,C-0153,Robert Aderholt,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
AL-05,house,AL,05,C-0154,Andrew Sneed,DEM,C-0155,Dale Strong,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
AL-06,house,AL,06,C-0156,Elizabeth Anderson,DEM,C-0157,Gary Palmer,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
AL-07,house,AL,07,C-0158,Terri Sewell,DEM,C-0159,Republican candidate (AL-07),REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
AR-01,house,AR,01,C-0160,Terri Green,DEM,C-0161,Rick Crawford,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
AR-02,house,AR,02,C-0162,Chris Jones,DEM,C-0163,French Hill,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
AR-03,house,AR,03,C-0164,Robb Ryerse,DEM,C-0165,Steve Womack,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
AR-04,house,AR,04,C-0166,James Russell,DEM,C-0167,Bruce Westerman,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
AZ-01,house,AZ,01,C-0168,Amish Shah,DEM,C-0169,Gina Swoboda,REP,,,,,,,False,False,0.0,,,False,,REP,presumptive,presumptive,
AZ-02,house,AZ,02,C-0170,Jonathan Nez,DEM,C-0171,Eli Crane,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
AZ-03,house,AZ,03,C-0172,Yassamin Ansari,DEM,C-0173,Kirt Burgess,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
AZ-04,house,AZ,04,C-0174,Greg Stanton,DEM,C-0175,Zuhdi Jasser,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
AZ-05,house,AZ,05,C-0176,Christopher James,DEM,C-0177,Daniel Keenan,REP,,,,,,,False,False,0.0,,,False,,REP,projected,projected,
AZ-06,house,AZ,06,C-0178,JoAnna Mendoza,DEM,C-0179,Juan Ciscomani,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
AZ-07,house,AZ,07,C-0180,Adelita Grijalva,DEM,C-0181,Daniel Butierez,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
AZ-08,house,AZ,08,C-0182,Bernadette Greene Placentia,DEM,C-0183,Abraham Hamadeh,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
AZ-09,house,AZ,09,C-0184,Danielle Sterbinsky,DEM,C-0185,Paul Gosar,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
CA-01,house,CA,01,C-0186,Mike McGuire,DEM,C-0187,James Gallagher,REP,,,,,,,False,False,0.0,,,False,,DEM,projected,projected,
CA-02,house,CA,02,C-0188,Jared Huffman,DEM,C-0189,Robin Littau,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-03,house,CA,03,C-0190,Amerish Bera,DEM,C-0191,Robb Tucker,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-04,house,CA,04,C-0192,Mike Thompson,DEM,C-0193,Ray Riehle,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-05,house,CA,05,C-0194,Michael Masuda,DEM,C-0195,Tom McClintock,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
CA-06,house,CA,06,C-0196,Richard Pan,DEM,C-0197,Kevin Kiley,IND,,,,,,,False,False,0.0,,,False,IND,IND,projected,confirmed,
CA-07,house,CA,07,C-0198,Doris Matsui,DEM,C-0199,Republican candidate (CA-07),REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-08,house,CA,08,C-0200,John Garamendi,DEM,C-0201,Rudy Recile,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-09,house,CA,09,C-0202,Josh Harder,DEM,C-0203,John McBride,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-10,house,CA,10,C-0204,Mark DeSaulnier,DEM,C-0205,Jeff Frese,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-11,house,CA,11,C-0206,Scott Wiener,DEM,C-0207,(no Republican — top-two),REP,,,,,,,False,False,0.0,DEM,Connie Chan,False,,DEM,confirmed,n/a,
CA-12,house,CA,12,C-0208,Lateefah Simon,DEM,C-0209,(no Republican — top-two),REP,,,,,,,False,False,0.0,DEM,Jamie Joyce,True,DEM,DEM,confirmed,n/a,
CA-13,house,CA,13,C-0210,Adam Gray,DEM,C-0211,Kevin Lincoln,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
CA-14,house,CA,14,C-0212,Aisha Wahab,DEM,C-0213,(no Republican — top-two),REP,,,,,,,False,False,0.0,DEM,Melissa Hernandez,False,,DEM,confirmed,n/a,
CA-15,house,CA,15,C-0214,Kevin Mullin,DEM,C-0215,Charles Hoelter,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-16,house,CA,16,C-0216,Sam Liccardo,DEM,C-0217,Peter Sundin Soulé,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-17,house,CA,17,C-0218,Rohit Khanna,DEM,C-0219,Ritesh Tandon,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-18,house,CA,18,C-0220,Zoe Lofgren,DEM,C-0221,Shane Lewis,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-19,house,CA,19,C-0222,Jimmy Panetta,DEM,C-0223,Peter Verbica,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-20,house,CA,20,C-0224,Sandra Van Scotter,DEM,C-0225,Vince Fong,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
CA-21,house,CA,21,C-0226,Jim Costa,DEM,C-0227,Kyle Kirkland,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-22,house,CA,22,C-0228,Randy Villegas,DEM,C-0229,David Valadao,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
CA-23,house,CA,23,C-0230,Tessa Lynn Hodge,DEM,C-0231,Jay Obernolte,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
CA-24,house,CA,24,C-0232,Salud Carbajal,DEM,C-0233,Robert Smith,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-25,house,CA,25,C-0234,Raul Ruiz,DEM,C-0235,Joe Males,REP,,,,,,,False,False,0.0,,,False,,DEM,projected,projected,
CA-26,house,CA,26,C-0236,Jacqui Irwin,DEM,C-0237,Samuel Gallucci,REP,,,,,,,False,False,0.0,,,False,,DEM,projected,projected,
CA-27,house,CA,27,C-0238,George Whitesides,DEM,C-0239,Jason Gibbs,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-28,house,CA,28,C-0240,Judy Chu,DEM,C-0241,April Verlato,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-29,house,CA,29,C-0242,Luz Rivas,DEM,C-0243,Rudy Melendez,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-30,house,CA,30,C-0244,Laura Friedman,DEM,C-0245,Scott Alan Meyers,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-31,house,CA,31,C-0246,Gilbert Cisneros,DEM,C-0247,Eric Ching,REP,,,,,,,False,False,0.0,,,False,,DEM,projected,projected,
CA-32,house,CA,32,C-0248,Brad Sherman,DEM,C-0249,Larry Thompson,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-33,house,CA,33,C-0250,Pete Aguilar,DEM,C-0251,Stephanie Vargas,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-34,house,CA,34,C-0252,Jimmy Gomez,DEM,C-0209,(no Republican — top-two),REP,,,,,,,False,False,0.0,DEM,Angela Gonzales-Torres,True,DEM,DEM,confirmed,n/a,
CA-35,house,CA,35,C-0253,Norma Torres,DEM,C-0254,Mike Cargile,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-36,house,CA,36,C-0255,Ted Lieu,DEM,C-0256,Houston Brignano,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-37,house,CA,37,C-0257,Sydney Kamlager-Dove,DEM,C-0258,Baltazar Fedalizo,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-38,house,CA,38,C-0259,Hilda Solis,DEM,C-0260,Pedro Casas,REP,,,,,,,False,False,0.0,,,False,,DEM,projected,projected,
CA-39,house,CA,39,C-0261,Mark Takano,DEM,C-0262,Steve Manos,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-40,house,CA,40,C-0263,(no Democrat — top-two),DEM,C-0264,Ken Calvert,REP,,,,,,,False,False,0.0,REP,Young Kim,True,REP,REP,n/a,confirmed,
CA-41,house,CA,41,C-0265,Linda Sanchez,DEM,C-0266,Mitch Clemmons,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-42,house,CA,42,C-0267,Robert Garcia,DEM,C-0268,Brian Burley,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-43,house,CA,43,C-0269,Maxine Waters,DEM,C-0270,Cristian Morales,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-44,house,CA,44,C-0271,Nanette Barragan,DEM,C-0272,Genevieve Angel,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-45,house,CA,45,C-0273,Derek Tran,DEM,C-0274,Chuong Vo,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-46,house,CA,46,C-0275,Lou Correa,DEM,C-0276,David Pan,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-47,house,CA,47,C-0277,Dave Min,DEM,C-0278,Jenny Rae Le Roux,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-48,house,CA,48,C-0279,Marni von Wilpert,DEM,C-0280,Jim Desmond,REP,,,,,,,False,False,0.0,,,False,,DEM,confirmed,confirmed,
CA-49,house,CA,49,C-0281,Mike Levin,DEM,C-0282,Armen Kurdian,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-50,house,CA,50,C-0283,Scott Peters,DEM,C-0284,Steve Cohen,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-51,house,CA,51,C-0285,Sara Jacobs,DEM,C-0286,Ricardo Cabrera,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CA-52,house,CA,52,C-0287,Juan Vargas,DEM,C-0288,Jeff Belle,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CO-01,house,CO,01,C-0289,Melat Kiros,DEM,C-0290,Christy Peterson,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
CO-02,house,CO,02,C-0291,Joe Neguse,DEM,C-0292,Kelley Dennison,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
CO-03,house,CO,03,C-0293,Dwayne Romero,DEM,C-0294,Jeffrey Hurd,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
CO-04,house,CO,04,C-0295,Eileen Laubacher,DEM,C-0296,Lauren Boebert,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
CO-05,house,CO,05,C-0297,Jessica Killin,DEM,C-0298,Jeff Crank,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
CO-06,house,CO,06,C-0299,Jason Crow,DEM,C-0300,Khaleb Dammen,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
CO-07,house,CO,07,C-0301,Brittany Pettersen,DEM,C-0302,Amanda Capobianco,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,presumptive,
CO-08,house,CO,08,C-0303,Manny Rutinel,DEM,C-0304,Gabe Evans,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
CT-01,house,CT,01,C-0305,John Larson,DEM,C-0306,Amy Chai,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CT-02,house,CT,02,C-0307,Joe Courtney,DEM,C-0308,Mike France,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CT-03,house,CT,03,C-0309,Rosa Delauro,DEM,C-0310,Christopher Lancia,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CT-04,house,CT,04,C-0311,Jim Himes,DEM,C-0312,Michael Goldstein,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
CT-05,house,CT,05,C-0313,Jahana Hayes,DEM,C-0314,Michele Botelho,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
DE-01,house,DE,01,C-0315,Sarah McBride,DEM,C-0316,Donyale Hall,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,projected,projected,
FL-01,house,FL,01,C-0317,Marcel Davis,DEM,C-0318,Jimmy Patronis,REP,,,,,,,False,False,0.0,,,False,,REP,projected,projected,
FL-02,house,FL,02,C-0319,Nicholas Zateslo,DEM,C-0320,Keith Gross,REP,,,,,,,False,False,0.0,,,False,REP,REP,presumptive,presumptive,
FL-03,house,FL,03,C-0321,Seth Harp,DEM,C-0322,Kat Cammack,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
FL-04,house,FL,04,C-0323,Michael Kirwan,DEM,C-0324,Aaron Bean,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
FL-05,house,FL,05,C-0325,Rachel Grage,DEM,C-0326,John Rutherford,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
FL-06,house,FL,06,C-0327,Democratic candidate (FL-06),DEM,C-0328,Randy Fine,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,confirmed,
FL-07,house,FL,07,C-0329,Bale Dalton,DEM,C-0330,Cory Mills,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,projected,
FL-08,house,FL,08,C-0331,Jennifer Jenkins,DEM,C-0332,Mike Haridopolos,REP,,,,,,,False,False,0.0,,,False,REP,REP,presumptive,confirmed,
