race_code,slot,name,wiki_title,description,image_url,page_url
NJ-SEN,dem,Cory Booker,Cory Booker,American politician (born 1969),https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Cory_Booker%2C_official_portrait_%28119th_Congress%29.jpg/330px-Cory_Booker%2C_official_portrait_%28119th_Congress%29.jpg,https://en.wikipedia.org/wiki/Cory_Booker
OH-SEN,dem,Sherrod Brown,Sherrod Brown,American politician (born 1952),https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Sen._Sherrod_Brown_%28D-Ohio%29%2C_Official_Portrait%2C_117th_Congress.jpg/330px-Sen._Sherrod_Brown_%28D-Ohio%29%2C_Official_Portrait%2C_117th_Congress.jpg,https://en.wikipedia.org/wiki/Sherrod_Brown
OH-SEN,rep,Jon Husted,Jon Husted,American politician (born 1967),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Sen._Jon_Husted_official_portrait%2C_119th_Congress.jpg/330px-Sen._Jon_Husted_official_portrait%2C_119th_Congress.jpg,https://en.wikipedia.org/wiki/Jon_Husted
OK-SEN,rep,Kevin Hern,Kevin Hern,American politician (born 1961),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Rep._Kevin_Hern_official_photo%2C_116th_congress.jpg/330px-Rep._Kevin_Hern_official_photo%2C_116th_congress.jpg,https://en.wikipedia.org/wiki/Kevin_Hern
OR-SEN,dem,Jeff Merkley,Jeff Merkley,American politician (born 1956),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Jeff_Merkley%2C_115th_official_photo.jpg/330px-Jeff_Merkley%2C_115th_official_photo.jpg,https://en.wikipedia.org/wiki/Jeff_Merkley
OR-SEN,rep,David Brock Smith,David Brock Smith,American politician,,https://en.wikipedia.org/wiki/David_Brock_Smith
RI-SEN,dem,Jack Reed,Jack Reed (Rhode Island politician),American politician (born 1949),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Sen._Jack_Reed_%28D-RI%29%2C_Official_Portrait%2C_119th_Congress_%281%29.jpg/330px-Sen._Jack_Reed_%28D-RI%29%2C_Official_Portrait%2C_119th_Congress_%281%29.jpg,https://en.wikipedia.org/wiki/Jack_Reed_(Rhode_Island_politician)
SD-SEN,rep,Mike Rounds,Mike Rounds,American businessman and politician (born 1954),https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Mike_Rounds_official_Senate_portrait.jpg/330px-Mike_Rounds_official_Senate_portrait.jpg,https://en.wikipedia.org/wiki/Mike_Rounds
TN-SEN,dem,Marquita Bradshaw,Marquita Bradshaw,American environmentalist and political candidate (born 1974),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Marquita_Bradshaw_at_Morristown_%28cropped%29.jpg/330px-Marquita_Bradshaw_at_Morristown_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Marquita_Bradshaw
TN-SEN,rep,Bill Hagerty,Bill Hagerty,American politician and diplomat (born 1959),https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Bill_Hagerty_senatorial_portrait.jpg/330px-Bill_Hagerty_senatorial_portrait.jpg,https://en.wikipedia.org/wiki/Bill_Hagerty
TX-SEN,dem,James Talarico,James Talarico,American politician (born 1989),https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/James_Talarico_Press_Conference_%28cropped%29.jpg/330px-James_Talarico_Press_Conference_%28cropped%29.jpg,https://en.wikipedia.org/wiki/James_Talarico
TX-SEN,rep,Ken Paxton,Ken Paxton,American politician and lawyer (born 1962),https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/K_Paxton.jpg/330px-K_Paxton.jpg,https://en.wikipedia.org/wiki/Ken_Paxton
VA-SEN,dem,Mark Warner,Mark Warner,American politician (born 1954),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Sen._Mark_Warner_Official_Portrait%2C_119th_Congress.jpg/330px-Sen._Mark_Warner_Official_Portrait%2C_119th_Congress.jpg,https://en.wikipedia.org/wiki/Mark_Warner
VA-SEN,rep,Bert Mizusawa,Bert Mizusawa,United States Army Major General (born 1957),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/110311160930_MG_Mizusawa%2C_Bert.jpg/330px-110311160930_MG_Mizusawa%2C_Bert.jpg,https://en.wikipedia.org/wiki/Bert_Mizusawa
WV-SEN,rep,Shelley Moore Capito,Shelley Moore Capito,American politician (born 1953),https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Shelley_Moore_Capito_official_Senate_photo.jpg/330px-Shelley_Moore_Capito_official_Senate_photo.jpg,https://en.wikipedia.org/wiki/Shelley_Moore_Capito
WY-SEN,rep,Harriet Hageman,Harriet Hageman,American politician (born 1962),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Official-harriet-hageman-wy00.jpg/330px-Official-harriet-hageman-wy00.jpg,https://en.wikipedia.org/wiki/Harriet_Hageman
AK-GOV,dem,Tom Begich,Tom Begich,American politician (born 1960),https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Tom_Begich.jpg/330px-Tom_Begich.jpg,https://en.wikipedia.org/wiki/Tom_Begich
AL-GOV,dem,Doug Jones,Doug Jones (politician),American politician and attorney (born 1954),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Senator_Doug_Jones_official_photo_%281%29.jpg/330px-Senator_Doug_Jones_official_photo_%281%29.jpg,https://en.wikipedia.org/wiki/Doug_Jones_(politician)
AL-GOV,rep,Tommy Tuberville,Tommy Tuberville,American politician and football coach (born 1954),https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Tommy_tuberville.jpg/330px-Tommy_tuberville.jpg,https://en.wikipedia.org/wiki/Tommy_Tuberville
AR-GOV,dem,Fredrick Love,Fredrick Love,American politician,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Rep_Fredrick_J_Love.jpg/330px-Rep_Fredrick_J_Love.jpg,https://en.wikipedia.org/wiki/Fredrick_Love
AR-GOV,rep,Sarah Huckabee Sanders,Sarah Huckabee Sanders,Governor of Arkansas since 2023,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Governor_Sarah_Huckabee_Sanders_2026.jpg/330px-Governor_Sarah_Huckabee_Sanders_2026.jpg,https://en.wikipedia.org/wiki/Sarah_Huckabee_Sanders
AZ-GOV,dem,Katie Hobbs,Katie Hobbs,Governor of Arizona since 2023,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Katie_Hobbs_2026.jpg/330px-Katie_Hobbs_2026.jpg,https://en.wikipedia.org/wiki/Katie_Hobbs
AZ-GOV,rep,Andy Biggs,Andy Biggs,American politician (born 1958),https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Andy_Biggs_portrait_%28118th_Congress%29.jpg/330px-Andy_Biggs_portrait_%28118th_Congress%29.jpg,https://en.wikipedia.org/wiki/Andy_Biggs
CA-GOV,dem,Xavier Becerra,Xavier Becerra,American attorney and politician (born 1958),https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/HHS_Xavier_Becerra.jpg/330px-HHS_Xavier_Becerra.jpg,https://en.wikipedia.org/wiki/Xavier_Becerra
CA-GOV,rep,Steve Hilton,Steve Hilton,British-American political advisor and TV host (born 1969),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Steve_Hilton_%2854233445987_crop%29.jpg/330px-Steve_Hilton_%2854233445987_crop%29.jpg,https://en.wikipedia.org/wiki/Steve_Hilton
CO-GOV,dem,Phil Weiser,Phil Weiser,American lawyer and politician (born 1968),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/AG_Phil_Weiser.jpg/330px-AG_Phil_Weiser.jpg,https://en.wikipedia.org/wiki/Phil_Weiser
CO-GOV,rep,Victor Marx,Victor Marx,American minister (born 1965),https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Victor_Marx_%2852125665777%29_%28cropped%29.jpg/330px-Victor_Marx_%2852125665777%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Victor_Marx
CT-GOV,dem,Ned Lamont,Ned Lamont,Governor of Connecticut since 2019,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Governor_Ned_Lamont_of_Connecticut%2C_official_portrait.jpg/330px-Governor_Ned_Lamont_of_Connecticut%2C_official_portrait.jpg,https://en.wikipedia.org/wiki/Ned_Lamont
CT-GOV,rep,Ryan Fazio,Ryan Fazio,State Senator from Connecticut,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Fazio-State-Senate.jpg/330px-Fazio-State-Senate.jpg,https://en.wikipedia.org/wiki/Ryan_Fazio
FL-GOV,dem,David Jolly,David Jolly,American attorney and politician (born 1972),https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/David_Jolly_%283x4%29.jpg/330px-David_Jolly_%283x4%29.jpg,https://en.wikipedia.org/wiki/David_Jolly
FL-GOV,rep,Byron Donalds,Byron Donalds,American politician (born 1978),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Rep._Byron_Donalds_official_photo%2C_117th_Congress.jpg/330px-Rep._Byron_Donalds_official_photo%2C_117th_Congress.jpg,https://en.wikipedia.org/wiki/Byron_Donalds
GA-GOV,dem,Keisha Lance Bottoms,Keisha Lance Bottoms,American attorney and politician (born 1970),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Keisha_Lance_Bottoms.jpg/330px-Keisha_Lance_Bottoms.jpg,https://en.wikipedia.org/wiki/Keisha_Lance_Bottoms
HI-GOV,dem,Josh Green,Josh Green (politician),Governor of Hawaii since 2022,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Josh_Green_Official_Photo_2022_%28cropped%29_1cropped%29.jpg/330px-Josh_Green_Official_Photo_2022_%28cropped%29_1cropped%29.jpg,https://en.wikipedia.org/wiki/Josh_Green_(politician)
IA-GOV,dem,Rob Sand,Rob Sand,American politician (born 1982),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Rob_Sand_campaign_headshot_%28cropped_2%29.jpg/330px-Rob_Sand_campaign_headshot_%28cropped_2%29.jpg,https://en.wikipedia.org/wiki/Rob_Sand
ID-GOV,rep,Brad Little,Brad Little,Governor of Idaho since 2019,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Brad_Little_official_photo.jpg/330px-Brad_Little_official_photo.jpg,https://en.wikipedia.org/wiki/Brad_Little
IL-GOV,dem,JB Pritzker,JB Pritzker,Governor of Illinois since 2019,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Governor_JB_Pritzker_official_portrait_2019_%28crop%29.jpg/330px-Governor_JB_Pritzker_official_portrait_2019_%28crop%29.jpg,https://en.wikipedia.org/wiki/JB_Pritzker
IL-GOV,rep,Darren Bailey,Darren Bailey,American politician (born 1966),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Darren_Bailey_at_a_2022_Campaign_Event.jpg/330px-Darren_Bailey_at_a_2022_Campaign_Event.jpg,https://en.wikipedia.org/wiki/Darren_Bailey
KS-GOV,dem,Cindy Holscher,Cindy Holscher,American politician (born 1969),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Kansas_State_Senator_Cindy_Holscher.jpg/330px-Kansas_State_Senator_Cindy_Holscher.jpg,https://en.wikipedia.org/wiki/Cindy_Holscher
KS-GOV,rep,Ty Masterson,Ty Masterson,American politician (born 1969),,https://en.wikipedia.org/wiki/Ty_Masterson
MA-GOV,dem,Maura Healey,Maura Healey,Governor of Massachusetts since 2023,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Maura_Healey%2C_official_portrait%2C_governor.jpg/330px-Maura_Healey%2C_official_portrait%2C_governor.jpg,https://en.wikipedia.org/wiki/Maura_Healey
MD-GOV,dem,Wes Moore,Wes Moore,American politician (born 1978),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Wes_Moore_Official_Governor_Portrait.jpg/330px-Wes_Moore_Official_Governor_Portrait.jpg,https://en.wikipedia.org/wiki/Wes_Moore
MD-GOV,rep,Dan Cox,Dan Cox,American politician (born 1974),https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Dan_Cox_Mar2020_%2849617550556%29.jpg/330px-Dan_Cox_Mar2020_%2849617550556%29.jpg,https://en.wikipedia.org/wiki/Dan_Cox
ME-GOV,dem,Hannah Pingree,Hannah Pingree,American politician,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Headshot_of_Hannah_Pingree_in_February_2026.jpg/330px-Headshot_of_Hannah_Pingree_in_February_2026.jpg,https://en.wikipedia.org/wiki/Hannah_Pingree
ME-GOV,ind,Rick Bennett,Rick Bennett (Maine politician),American politician from Maine (born 1963),https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Rick_Bennett_%28Maine_Politician%29_Portrait_2025.jpg/330px-Rick_Bennett_%28Maine_Politician%29_Portrait_2025.jpg,https://en.wikipedia.org/wiki/Rick_Bennett_(Maine_politician)
MI-GOV,dem,Jocelyn Benson,Jocelyn Benson,American politician and attorney (born 1977),https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/SOS_Jocelyn_Benson_web.jpg/330px-SOS_Jocelyn_Benson_web.jpg,https://en.wikipedia.org/wiki/Jocelyn_Benson
MI-GOV,rep,John James,John James (Michigan politician),American politician and businessman (born 1981),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Rep._John_James_official_photo%2C_118th_Congress.jpg/330px-Rep._John_James_official_photo%2C_118th_Congress.jpg,https://en.wikipedia.org/wiki/John_James_(Michigan_politician)
MN-GOV,dem,Amy Klobuchar,Amy Klobuchar,American politician and lawyer (born 1960),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Amy_Klobuchar%2C_official_portrait%2C_113th_Congress.jpg/330px-Amy_Klobuchar%2C_official_portrait%2C_113th_Congress.jpg,https://en.wikipedia.org/wiki/Amy_Klobuchar
NE-GOV,dem,Lynne Walz,Lynne Walz,American politician (born 1963),,https://en.wikipedia.org/wiki/Lynne_Walz
NE-GOV,rep,Jim Pillen,Jim Pillen,Governor of Nebraska since 2023,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Jim_Pillen_SelectUSA_%2855251574792%29.jpg/330px-Jim_Pillen_SelectUSA_%2855251574792%29.jpg,https://en.wikipedia.org/wiki/Jim_Pillen
NH-GOV,dem,Cinde Warmington,Cinde Warmington,American attorney & politician (born 1957),,https://en.wikipedia.org/wiki/Cinde_Warmington
