race_code,slot,name,wiki_title,description,image_url,page_url
VT-GOV,rep,Phil Scott,Phil Scott,Governor of Vermont since 2017,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Phil_Scott_2019.png/330px-Phil_Scott_2019.png,https://en.wikipedia.org/wiki/Phil_Scott
WI-GOV,dem,Francesca Hong,Francesca Hong,American chef and politician (born 1988),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Francesca_Hong_2026.jpg/330px-Francesca_Hong_2026.jpg,https://en.wikipedia.org/wiki/Francesca_Hong
WI-GOV,rep,Tom Tiffany,Tom Tiffany,American politician (born 1957),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Tom_Tiffany.jpg/330px-Tom_Tiffany.jpg,https://en.wikipedia.org/wiki/Tom_Tiffany
WY-GOV,rep,Megan Degenfelder,Megan Degenfelder,American politician,,https://en.wikipedia.org/wiki/Megan_Degenfelder
AK-01,rep,Nick Begich III,Nick Begich III,American politician and businessman (born 1977),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Nick_Begich_III_119th_Congress.jpg/330px-Nick_Begich_III_119th_Congress.jpg,https://en.wikipedia.org/wiki/Nick_Begich_III
AL-01,rep,Jerry Carl,Jerry Carl,American politician (born 1958),https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Rep._Jerry_Carl_official_photo.jpg/330px-Rep._Jerry_Carl_official_photo.jpg,https://en.wikipedia.org/wiki/Jerry_Carl
AL-02,dem,Shomari Figures,Shomari Figures,American politician (born 1985),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Figures_Shomari_119th_Congress_2_%284x5_cropped%29.jpg/330px-Figures_Shomari_119th_Congress_2_%284x5_cropped%29.jpg,https://en.wikipedia.org/wiki/Shomari_Figures
AL-02,rep,Rhett Marques,Rhett Marques,American politician,https://upload.wikimedia.org/wikipedia/commons/a/a1/Rhett_Marques.png,https://en.wikipedia.org/wiki/Rhett_Marques
AL-03,rep,Mike Rogers,Mike Rogers (Alabama politician),American lawyer and politician (born 1958),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Mike_Rogers_119th_Congress.jpg/330px-Mike_Rogers_119th_Congress.jpg,https://en.wikipedia.org/wiki/Mike_Rogers_(Alabama_politician)
AL-04,rep,Robert Aderholt,Robert Aderholt,American politician and attorney (born 1965),https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Robert_Aderholt_official_photo.jpg/330px-Robert_Aderholt_official_photo.jpg,https://en.wikipedia.org/wiki/Robert_Aderholt
AL-05,rep,Dale Strong,Dale Strong,American politician (born 1970),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Dale_Strong_official_House_portrait.jpg/330px-Dale_Strong_official_House_portrait.jpg,https://en.wikipedia.org/wiki/Dale_Strong
AL-06,rep,Gary Palmer,Gary Palmer,American politician (born 1954),https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Gary_Palmer_-_2018.jpg/330px-Gary_Palmer_-_2018.jpg,https://en.wikipedia.org/wiki/Gary_Palmer
AL-07,dem,Terri Sewell,Terri Sewell,American politician (born 1965),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Terri_Sewell_official_photo.jpg/330px-Terri_Sewell_official_photo.jpg,https://en.wikipedia.org/wiki/Terri_Sewell
AR-01,rep,Rick Crawford,Rick Crawford (politician),American politician (born 1966),https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Crawford_Rick_118th_Congress.jpg/330px-Crawford_Rick_118th_Congress.jpg,https://en.wikipedia.org/wiki/Rick_Crawford_(politician)
AR-02,dem,Chris Jones,Chris Jones (Arkansas politician),American politician (born 1976),https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Chris_Jones%2C_Arkansas_gubernatorial_candidate.jpg/330px-Chris_Jones%2C_Arkansas_gubernatorial_candidate.jpg,https://en.wikipedia.org/wiki/Chris_Jones_(Arkansas_politician)
AR-02,rep,French Hill,French Hill (politician),American politician (born 1956),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Hill_French_119th_Congress.jpg/330px-Hill_French_119th_Congress.jpg,https://en.wikipedia.org/wiki/French_Hill_(politician)
AR-03,rep,Steve Womack,Steve Womack,American politician (born 1957),https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Steve_Womack_118thCongress.jpg/330px-Steve_Womack_118thCongress.jpg,https://en.wikipedia.org/wiki/Steve_Womack
AR-04,rep,Bruce Westerman,Bruce Westerman,American politician (born 1967),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Bruce_Westerman_118th_Congress.jpeg/330px-Bruce_Westerman_118th_Congress.jpeg,https://en.wikipedia.org/wiki/Bruce_Westerman
AZ-01,dem,Amish Shah,Amish Shah,American politician (born 1977),https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Amish_Shah_by_Gage_Skidmore_2.jpg/330px-Amish_Shah_by_Gage_Skidmore_2.jpg,https://en.wikipedia.org/wiki/Amish_Shah
AZ-02,rep,Eli Crane,Eli Crane,American politician (born 1980),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Rep._Eli_Crane_official_photo%2C_118th_Congress.jpg/330px-Rep._Eli_Crane_official_photo%2C_118th_Congress.jpg,https://en.wikipedia.org/wiki/Eli_Crane
AZ-03,dem,Yassamin Ansari,Yassamin Ansari,American politician (born 1992),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Rep._Yassamin_Ansari_official_photo%2C_119th_Congress_%284x5_cropped%29.jpg/330px-Rep._Yassamin_Ansari_official_photo%2C_119th_Congress_%284x5_cropped%29.jpg,https://en.wikipedia.org/wiki/Yassamin_Ansari
AZ-04,dem,Greg Stanton,Greg Stanton,American lawyer and politician (born 1970),https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Greg_Stanton_119th_Congress.jpg/330px-Greg_Stanton_119th_Congress.jpg,https://en.wikipedia.org/wiki/Greg_Stanton
AZ-04,rep,Zuhdi Jasser,Zuhdi Jasser,"American doctor, Muslim activist, and commentator (born 1967)",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/M._Zuhdi_Jasser_by_Gage_Skidmore.jpg/330px-M._Zuhdi_Jasser_by_Gage_Skidmore.jpg,https://en.wikipedia.org/wiki/Zuhdi_Jasser
AZ-06,rep,Juan Ciscomani,Juan Ciscomani,American politician (born 1982),https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Rep._Juan_Ciscomani_official_photo%2C_118th_Congress.jpg/330px-Rep._Juan_Ciscomani_official_photo%2C_118th_Congress.jpg,https://en.wikipedia.org/wiki/Juan_Ciscomani
AZ-07,dem,Adelita Grijalva,Adelita Grijalva,American politician (born 1970),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Congresswoman_Adelita_Grijalva_Official_Portrait.jpg/330px-Congresswoman_Adelita_Grijalva_Official_Portrait.jpg,https://en.wikipedia.org/wiki/Adelita_Grijalva
AZ-08,rep,Abraham Hamadeh,Abraham Hamadeh,American politician and prosecutor (born 1991),https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Abraham_Hamadeh.jpg/330px-Abraham_Hamadeh.jpg,https://en.wikipedia.org/wiki/Abraham_Hamadeh
AZ-09,rep,Paul Gosar,Paul Gosar,American politician (born 1958),https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Paul_Gosar_118th_Congress_portrait.jpg/330px-Paul_Gosar_118th_Congress_portrait.jpg,https://en.wikipedia.org/wiki/Paul_Gosar
CA-01,dem,Mike McGuire,Mike McGuire (politician),American politician (born 1979),https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/State_Senator_Mike_McGuire.jpg/330px-State_Senator_Mike_McGuire.jpg,https://en.wikipedia.org/wiki/Mike_McGuire_(politician)
CA-01,rep,James Gallagher,James Gallagher (California politician),American politician from California,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/James_Gallagher%2C_official_portrait_%28119th_Congress%29.jpg/330px-James_Gallagher%2C_official_portrait_%28119th_Congress%29.jpg,https://en.wikipedia.org/wiki/James_Gallagher_(California_politician)
CA-02,dem,Jared Huffman,Jared Huffman,American lawyer & politician (born 1964),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Jared_Huffman_Portrait_118.jpg/330px-Jared_Huffman_Portrait_118.jpg,https://en.wikipedia.org/wiki/Jared_Huffman
CA-03,dem,Amerish Bera,Ami Bera,American physician & politician (born 1965),https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Ami_Bera_117th_Congress.jpeg/330px-Ami_Bera_117th_Congress.jpeg,https://en.wikipedia.org/wiki/Ami_Bera
CA-04,dem,Mike Thompson,Mike Thompson,American politician (born 1951),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Mike_Thompson%2C_official_portrait%2C_116th_Congress_%283x4_cropped%29.jpg/330px-Mike_Thompson%2C_official_portrait%2C_116th_Congress_%283x4_cropped%29.jpg,https://en.wikipedia.org/wiki/Mike_Thompson
CA-05,rep,Tom McClintock,Tom McClintock,American politician (born 1956),https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Tom_McClintock_portrait_%28118th_Congress%29.jpg/330px-Tom_McClintock_portrait_%28118th_Congress%29.jpg,https://en.wikipedia.org/wiki/Tom_McClintock
CA-06,dem,Richard Pan,Richard Pan,American politician (born 1965),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Richard_Pan_2010.jpg/330px-Richard_Pan_2010.jpg,https://en.wikipedia.org/wiki/Richard_Pan
CA-06,rep,Kevin Kiley,Kevin Kiley (politician),American politician (born 1985),https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Rep._Kevin_Kiley_official_photo%2C_118th_Congress_2.jpg/330px-Rep._Kevin_Kiley_official_photo%2C_118th_Congress_2.jpg,https://en.wikipedia.org/wiki/Kevin_Kiley_(politician)
CA-07,dem,Doris Matsui,Doris Matsui,American politician (born 1944),https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Doris_Matsui_portrait_%28118th_Congress%29.jpg/330px-Doris_Matsui_portrait_%28118th_Congress%29.jpg,https://en.wikipedia.org/wiki/Doris_Matsui
CA-08,dem,John Garamendi,John Garamendi,American businessman & politician (born 1945),https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/John_Garamendi_portrait_%28118th_Congress%29.jpg/330px-John_Garamendi_portrait_%28118th_Congress%29.jpg,https://en.wikipedia.org/wiki/John_Garamendi
CA-09,dem,Josh Harder,Josh Harder,American politician (born 1986),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Josh_Harder%2C_official_portrait%2C_116th_Congress_%283x4_cropped%29.jpg/330px-Josh_Harder%2C_official_portrait%2C_116th_Congress_%283x4_cropped%29.jpg,https://en.wikipedia.org/wiki/Josh_Harder
CA-10,dem,Mark DeSaulnier,Mark DeSaulnier,American politician (born 1952),https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Mark_DeSaulnier-1.jpeg/330px-Mark_DeSaulnier-1.jpeg,https://en.wikipedia.org/wiki/Mark_DeSaulnier
CA-11,dem,Scott Wiener,Scott Wiener,American politician (born 1970),https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Scott_Wiener_Official_Biography_Portrait.jpg/330px-Scott_Wiener_Official_Biography_Portrait.jpg,https://en.wikipedia.org/wiki/Scott_Wiener
CA-12,dem,Lateefah Simon,Lateefah Simon,American politician (born 1977),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Rep._Lateefah_Simon_Official_Portrait.jpg/330px-Rep._Lateefah_Simon_Official_Portrait.jpg,https://en.wikipedia.org/wiki/Lateefah_Simon
CA-13,dem,Adam Gray,Adam Gray,American politician (born 1977),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Adam_Gray%2C_official_portrait_%28119th_Congress%29.jpg/330px-Adam_Gray%2C_official_portrait_%28119th_Congress%29.jpg,https://en.wikipedia.org/wiki/Adam_Gray
CA-13,rep,Kevin Lincoln,Kevin Lincoln (politician),American politician (born 1980),https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/KevinLincoln.jpg/330px-KevinLincoln.jpg,https://en.wikipedia.org/wiki/Kevin_Lincoln_(politician)
CA-14,dem,Aisha Wahab,Aisha Wahab,American politician (born 1987),https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Aisha_Wahab%2C_2024.jpg/330px-Aisha_Wahab%2C_2024.jpg,https://en.wikipedia.org/wiki/Aisha_Wahab
CA-15,dem,Kevin Mullin,Kevin Mullin,American politician (born 1970),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Rep._Kevin_Mullin_official_portrait%2C_118th_Congress_%281%29.jpg/330px-Rep._Kevin_Mullin_official_portrait%2C_118th_Congress_%281%29.jpg,https://en.wikipedia.org/wiki/Kevin_Mullin
CA-16,dem,Sam Liccardo,Sam Liccardo,American politician (born 1970),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Liccardo_Sam_119th_Congress_%28cropped%29.jpg/330px-Liccardo_Sam_119th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Sam_Liccardo
CA-17,dem,Rohit Khanna,Ro Khanna,American politician and lawyer (born 1976),https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Ro_Khanna%2C_official_portrait%2C_115th_Congress_%283x4%29.jpg/330px-Ro_Khanna%2C_official_portrait%2C_115th_Congress_%283x4%29.jpg,https://en.wikipedia.org/wiki/Ro_Khanna
CA-18,dem,Zoe Lofgren,Zoe Lofgren,American politician and lawyer (born 1947),https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Zoe_Lofgren_Official_Portrait_2024.jpeg/330px-Zoe_Lofgren_Official_Portrait_2024.jpeg,https://en.wikipedia.org/wiki/Zoe_Lofgren
CA-19,dem,Jimmy Panetta,Jimmy Panetta,American politician (born 1969),https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Jimmy_Panetta_official_portrait_%28cropped%29_2.jpg/330px-Jimmy_Panetta_official_portrait_%28cropped%29_2.jpg,https://en.wikipedia.org/wiki/Jimmy_Panetta
CA-20,rep,Vince Fong,Vince Fong,American politician (born 1979),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Vince_Fong_official_congressional_photograph_118th_congress.jpg/330px-Vince_Fong_official_congressional_photograph_118th_congress.jpg,https://en.wikipedia.org/wiki/Vince_Fong
CA-21,dem,Jim Costa,Jim Costa,American politician (born 1952),https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Rep_Costa_Headshot_2_%28cropped%29.jpg/330px-Rep_Costa_Headshot_2_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Jim_Costa
CA-22,rep,David Valadao,David Valadao,American politician and farmer (born 1977),https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/David_Valadao_117th_U.S_Congress.jpg/330px-David_Valadao_117th_U.S_Congress.jpg,https://en.wikipedia.org/wiki/David_Valadao
CA-23,rep,Jay Obernolte,Jay Obernolte,American politician (born 1970),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Jay_Obernolte_119th_Congress.jpg/330px-Jay_Obernolte_119th_Congress.jpg,https://en.wikipedia.org/wiki/Jay_Obernolte
CA-24,dem,Salud Carbajal,Salud Carbajal,Mexican American politician (born 1964),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Salud_Carbajal_-_117th_Congress.jpg/330px-Salud_Carbajal_-_117th_Congress.jpg,https://en.wikipedia.org/wiki/Salud_Carbajal
CA-25,dem,Raul Ruiz,Raul Ruiz (politician),American physician and politician (born 1972),https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Raul_Ruiz_%28D-CA%29_118th_Congress_1.jpg/330px-Raul_Ruiz_%28D-CA%29_118th_Congress_1.jpg,https://en.wikipedia.org/wiki/Raul_Ruiz_(politician)
CA-26,dem,Jacqui Irwin,Jacqui Irwin,American politician (born 1962),https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/150302-Z-WQ610-_%2816698067641%29_%28cropped%29.jpg/330px-150302-Z-WQ610-_%2816698067641%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Jacqui_Irwin
CA-27,dem,George Whitesides,George T. Whitesides,American businessman and politician (born 1974),https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/George_Whitesides%2C_official_portrait_%28119th_Congress%29.png/330px-George_Whitesides%2C_official_portrait_%28119th_Congress%29.png,https://en.wikipedia.org/wiki/George_T._Whitesides
CA-28,dem,Judy Chu,Judy Chu,American politician (born 1953),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Judy_Chu_2019-05-02.jpg/330px-Judy_Chu_2019-05-02.jpg,https://en.wikipedia.org/wiki/Judy_Chu
CA-29,dem,Luz Rivas,Luz Rivas,American politician (born 1974),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Rivas_Luz%2C_119th_Congress.jpg/330px-Rivas_Luz%2C_119th_Congress.jpg,https://en.wikipedia.org/wiki/Luz_Rivas
CA-30,dem,Laura Friedman,Laura Friedman,American politician (born 1966),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Laura_Friedman%2C_House_portrait.jpg/330px-Laura_Friedman%2C_House_portrait.jpg,https://en.wikipedia.org/wiki/Laura_Friedman
CA-31,dem,Gilbert Cisneros,Gil Cisneros,American politician (born 1971),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Gil_Cisneros_119th_Congress_2.jpg/330px-Gil_Cisneros_119th_Congress_2.jpg,https://en.wikipedia.org/wiki/Gil_Cisneros
CA-32,dem,Brad Sherman,Brad Sherman,American politician (born 1954),https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Brad_Sherman_portrait_%28118th_Congress%29.jpg/330px-Brad_Sherman_portrait_%28118th_Congress%29.jpg,https://en.wikipedia.org/wiki/Brad_Sherman
CA-33,dem,Pete Aguilar,Pete Aguilar,American politician (born 1979),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Pete_Aguilar_117th_congress.jpeg/330px-Pete_Aguilar_117th_congress.jpeg,https://en.wikipedia.org/wiki/Pete_Aguilar
CA-34,dem,Jimmy Gomez,Jimmy Gomez,American politician (born 1974),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Jimmy_Gomez_official_portrait_%28light_crop%29.jpg/330px-Jimmy_Gomez_official_portrait_%28light_crop%29.jpg,https://en.wikipedia.org/wiki/Jimmy_Gomez
CA-35,dem,Norma Torres,Norma Torres,American politician (born 1965),https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Norma_Torres_118th_congress.jpeg/330px-Norma_Torres_118th_congress.jpeg,https://en.wikipedia.org/wiki/Norma_Torres
CA-36,dem,Ted Lieu,Ted Lieu,American politician (born 1969),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Congressman_Ted_W._Lieu_Official_Photo.jpg/330px-Congressman_Ted_W._Lieu_Official_Photo.jpg,https://en.wikipedia.org/wiki/Ted_Lieu
CA-37,dem,Sydney Kamlager-Dove,Sydney Kamlager-Dove,American politician (born 1972),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Sydney_Kamlager-Dove_118th-2.jpeg/330px-Sydney_Kamlager-Dove_118th-2.jpeg,https://en.wikipedia.org/wiki/Sydney_Kamlager-Dove
CA-38,dem,Hilda Solis,Hilda Solis,American politician (born 1957),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Hilda_Solis%2C_2025.jpg/330px-Hilda_Solis%2C_2025.jpg,https://en.wikipedia.org/wiki/Hilda_Solis
CA-39,dem,Mark Takano,Mark Takano,American politician (born 1960),https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Mark_Takano_118th_Congress.jpeg/330px-Mark_Takano_118th_Congress.jpeg,https://en.wikipedia.org/wiki/Mark_Takano
CA-40,rep,Ken Calvert,Ken Calvert,American politician (born 1953),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Ken_Calvert.jpg/330px-Ken_Calvert.jpg,https://en.wikipedia.org/wiki/Ken_Calvert
CA-40,dem2,Young Kim,Young Kim,American politician (born 1962),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Young_Kim_117th_U.S_Congress.jpg/330px-Young_Kim_117th_U.S_Congress.jpg,https://en.wikipedia.org/wiki/Young_Kim
CA-42,dem,Robert Garcia,Robert Garcia (California congressman),American educator and politician (born 1977),https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Robert_Garcia_119th_Congress.jpeg/330px-Robert_Garcia_119th_Congress.jpeg,https://en.wikipedia.org/wiki/Robert_Garcia_(California_congressman)
CA-43,dem,Maxine Waters,Maxine Waters,American politician (born 1938),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Maxine_Waters%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg/330px-Maxine_Waters%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Maxine_Waters
CA-45,dem,Derek Tran,Derek Tran,American lawyer and politician (born 1980),https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Rep._Derek_Tran_Official_Portrait.jpg/330px-Rep._Derek_Tran_Official_Portrait.jpg,https://en.wikipedia.org/wiki/Derek_Tran
CA-46,dem,Lou Correa,Lou Correa,American politician (born 1958),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Lou_Correa_118th_Congress_%28mid-cropped%29.jpg/330px-Lou_Correa_118th_Congress_%28mid-cropped%29.jpg,https://en.wikipedia.org/wiki/Lou_Correa
CA-46,rep,David Pan,David Tse-Chien Pan,American philosopher (born 1963),,https://en.wikipedia.org/wiki/David_Tse-Chien_Pan
CA-47,dem,Dave Min,Dave Min,American politician (born 1976),https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Rep._Dave_Min_Official_Portrait.jpg/330px-Rep._Dave_Min_Official_Portrait.jpg,https://en.wikipedia.org/wiki/Dave_Min
CA-48,dem,Marni von Wilpert,Marni von Wilpert,American attorney and politician (born 1982),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Marni-von-wilpert-sq_%28cropped%29.jpg/330px-Marni-von-wilpert-sq_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Marni_von_Wilpert
CA-48,rep,Jim Desmond,Jim Desmond,American politician,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Jim_Desmond_Official_Portrait.jpg/330px-Jim_Desmond_Official_Portrait.jpg,https://en.wikipedia.org/wiki/Jim_Desmond
CA-49,dem,Mike Levin,Mike Levin,American politician (born 1978),https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Rep._Mike_Levin_official_photo.jpg/330px-Rep._Mike_Levin_official_photo.jpg,https://en.wikipedia.org/wiki/Mike_Levin
CA-50,dem,Scott Peters,Scott Peters (politician),American lawyer & politician (born 1958),https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Scott_Peters_official_portrait_116th_Congress.jpg/330px-Scott_Peters_official_portrait_116th_Congress.jpg,https://en.wikipedia.org/wiki/Scott_Peters_(politician)
CA-51,dem,Sara Jacobs,Sara Jacobs,American politician (born 1989),https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Representative_Sara_Jacobs_Official_Portrait.jpg/330px-Representative_Sara_Jacobs_Official_Portrait.jpg,https://en.wikipedia.org/wiki/Sara_Jacobs
CA-52,dem,Juan Vargas,Juan Vargas,American politician (born 1961),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Juan_Vargas_official_photo.jpg/330px-Juan_Vargas_official_photo.jpg,https://en.wikipedia.org/wiki/Juan_Vargas
CO-01,dem,Melat Kiros,Melat Kiros,American political candidate (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Melat_Kiros_Portrait.jpg/330px-Melat_Kiros_Portrait.jpg,https://en.wikipedia.org/wiki/Melat_Kiros
CO-02,dem,Joe Neguse,Joe Neguse,American politician (born 1984),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Joe_Neguse%2C_official_portrait%2C_116th_Congress.jpg/330px-Joe_Neguse%2C_official_portrait%2C_116th_Congress.jpg,https://en.wikipedia.org/wiki/Joe_Neguse
CO-03,rep,Jeffrey Hurd,Jeff Hurd,American politician (born 1979),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/RepJeffHurd.jpg/330px-RepJeffHurd.jpg,https://en.wikipedia.org/wiki/Jeff_Hurd
CO-04,dem,Eileen Laubacher,Eileen Laubacher,American naval officer,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Eileen_H._Laubacher_%283%29.jpg/330px-Eileen_H._Laubacher_%283%29.jpg,https://en.wikipedia.org/wiki/Eileen_Laubacher
CO-04,rep,Lauren Boebert,Lauren Boebert,American politician (born 1986),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Lauren_Boebert_117th_U.S_Congress_%283x4_cropped%29_%282%29.jpg/330px-Lauren_Boebert_117th_U.S_Congress_%283x4_cropped%29_%282%29.jpg,https://en.wikipedia.org/wiki/Lauren_Boebert
CO-05,rep,Jeff Crank,Jeff Crank,American politician (born 1967),https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Jeff_Crank_119th_Congress.jpg/330px-Jeff_Crank_119th_Congress.jpg,https://en.wikipedia.org/wiki/Jeff_Crank
CO-06,dem,Jason Crow,Jason Crow,American lawyer and politician (born 1979),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Rep._Jason_Crow_%28D-CO%29%2C_119th_Congress.jpg/330px-Rep._Jason_Crow_%28D-CO%29%2C_119th_Congress.jpg,https://en.wikipedia.org/wiki/Jason_Crow
CO-07,dem,Brittany Pettersen,Brittany Pettersen,American politician (born 1981),https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Rep._Brittany_Pettersen_118th_Congress.jpg/330px-Rep._Brittany_Pettersen_118th_Congress.jpg,https://en.wikipedia.org/wiki/Brittany_Pettersen
CO-08,dem,Manny Rutinel,Manny Rutinel,American politician (born 1994),https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Manny_Rutinel_at_2024_YIMBY_Denver_Legislative_Kickoff_%28cropped%29.jpg/330px-Manny_Rutinel_at_2024_YIMBY_Denver_Legislative_Kickoff_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Manny_Rutinel
CO-08,rep,Gabe Evans,Gabe Evans,American politician (born 1986),https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Rep._Gabe_Evans_official_photo%2C_119th_Congress.jpg/330px-Rep._Gabe_Evans_official_photo%2C_119th_Congress.jpg,https://en.wikipedia.org/wiki/Gabe_Evans
CT-01,dem,John Larson,John B. Larson,American politician and businessman (born 1948),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/John_B._Larson.jpg/330px-John_B._Larson.jpg,https://en.wikipedia.org/wiki/John_B._Larson
CT-02,dem,Joe Courtney,Joe Courtney (politician),American lawyer and politician (born 1953),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Rep._Joe_Courtney_Portrait_2024.jpg/330px-Rep._Joe_Courtney_Portrait_2024.jpg,https://en.wikipedia.org/wiki/Joe_Courtney_(politician)
CT-02,rep,Mike France,Mike France (politician),American politician (born 1962),,https://en.wikipedia.org/wiki/Mike_France_(politician)
CT-03,dem,Rosa Delauro,Rosa DeLauro,American politician (born 1943),https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Rosa_DeLauro_118th_Congress_Cropped_Official_Portrait.jpeg/330px-Rosa_DeLauro_118th_Congress_Cropped_Official_Portrait.jpeg,https://en.wikipedia.org/wiki/Rosa_DeLauro
CT-04,dem,Jim Himes,Jim Himes,American businessman and politician (born 1966),https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Jim_Himes_Official_Portrait%2C_117th_Congress.jpg/330px-Jim_Himes_Official_Portrait%2C_117th_Congress.jpg,https://en.wikipedia.org/wiki/Jim_Himes
