code,geoid,state,chamber,district,name,pres16_total,pres16_dem,pres16_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,margin_2016,margin_2020,margin_2024
OR-S-19,41019,OR,upper,19,State Senate District 19,78812.0,48901.0,21766.0,89415.0,62663.0,24053.0,84937.0,59767.0,21993.0,38.39840378111424,44.52465519627289,46.201076320939336
PA-H-55,42055,PA,lower,55,State House District 55,34705.0,12315.0,21284.0,39099.0,14896.0,23780.0,39865.0,15266.0,24275.0,-26.694246852584897,-22.970317509566655,-22.78394577780026
PA-H-43,42043,PA,lower,43,State House District 43,24454.0,6940.0,16140.0,29251.0,9353.0,19371.0,30229.0,9899.0,19848.0,-39.86135181975737,-34.87675811168361,-33.44538945103708
PA-H-47,42047,PA,lower,47,State House District 47,29421.0,10155.0,17951.0,34541.0,13595.0,20406.0,36510.0,14392.0,21784.0,-27.737849569486944,-20.031763771653775,-20.43343653250774
PA-H-58,42058,PA,lower,58,State House District 58,31889.0,10568.0,20448.0,35898.0,12155.0,23374.0,37520.0,12259.0,25024.0,-31.854526695898887,-31.577021587998537,-34.238124614435534
PA-H-41,42041,PA,lower,41,State House District 41,30746.0,12999.0,16162.0,35187.0,16536.0,18154.0,36748.0,17227.0,19024.0,-10.846678783306471,-4.664168348227155,-4.95710463159637
PA-H-66,42066,PA,lower,66,State House District 66,26866.0,4967.0,21068.0,31334.0,6120.0,24813.0,31758.0,6268.0,25250.0,-61.84367198002688,-60.43060808844923,-60.22590265879815
PA-H-17,42017,PA,lower,17,State House District 17,30464.0,7845.0,21233.0,33413.0,8913.0,24016.0,33332.0,8419.0,24608.0,-46.041680995941945,-45.86534665492423,-49.01747055439489
PA-H-79,42079,PA,lower,79,State House District 79,26274.0,7968.0,17327.0,30274.0,10007.0,19919.0,30590.0,10180.0,20165.0,-36.99940699743032,-33.12170019381141,-32.904926676552975
PA-H-22,42022,PA,lower,22,State House District 22,17542.0,12342.0,4714.0,18585.0,12328.0,6075.0,18432.0,10753.0,7505.0,44.72326454033771,33.97815573547791,17.789462153576515
PA-H-42,42042,PA,lower,42,State House District 42,36971.0,21529.0,14003.0,41708.0,26539.0,14713.0,41525.0,26577.0,14356.0,21.18090735112012,28.667700959953457,29.85610632008404
PA-H-62,42062,PA,lower,62,State House District 62,30480.0,10211.0,19111.0,32686.0,11041.0,21234.0,33600.0,11136.0,22200.0,-30.35263624582225,-31.581719597211467,-33.18934485241181
PA-H-44,42044,PA,lower,44,State House District 44,32038.0,13875.0,17011.0,38018.0,18162.0,19385.0,39375.0,18657.0,20164.0,-10.153467590494076,-3.257250912190055,-3.8819195796089745
