race_code,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside
CO-04,10349940,1010297,0,3610909,247202,0,0.0,0.0
CO-05,3143744,2177288,0,1592642,1465048,0,0.0,0.0
CO-06,3177447,0,0,2707899,0,0,0.0,0.0
CO-07,1866765,0,0,1105388,0,0,0.0,0.0
CO-08,4336988,5393673,0,601232,3880463,0,4617913.0,975647.0
CT-01,2460386,840,0,1080106,-669,0,58000.0,0.0
CT-02,760424,70790,0,603234,0,0,0.0,0.0
CT-03,1152007,14649,0,349418,4028,0,0.0,0.0
CT-04,1379560,42112,0,2517677,41743,0,0.0,0.0
CT-05,1290078,56497,0,1084158,0,0,0.0,0.0
DE-01,0,0,0,0,0,0,0.0,0.0
FL-01,0,3603374,0,0,788386,0,45893.0,2099774.0
FL-02,431261,10654949,0,55928,4014433,0,0.0,0.0
FL-03,32195,1886103,0,2322,871927,0,0.0,0.0
FL-04,719152,2001447,0,291691,1538124,0,0.0,0.0
FL-05,248286,696207,0,112827,475360,0,0.0,0.0
FL-06,0,4236072,0,0,1148821,0,59551.0,3651452.0
FL-07,1201455,864851,0,763409,81082,0,99902.0,0.0
FL-08,697539,1718546,0,132765,1182065,0,0.0,0.0
FL-09,1973450,3127529,0,1268860,2716704,0,0.0,0.0
FL-10,3373929,0,0,1332681,0,0,0.0,0.0
FL-11,23989,167570,0,10581,105162,0,0.0,0.0
FL-12,0,1489323,0,0,586860,0,0.0,0.0
FL-13,1084672,2988238,0,765143,1455366,0,0.0,3279.0
FL-14,1954817,166022,0,1501762,101646,0,0.0,0.0
FL-15,0,2289998,0,0,1943656,0,0.0,0.0
FL-16,223280,971068,0,166281,838262,0,0.0,747553.0
FL-17,90660,1285468,0,29947,2166212,0,0.0,0.0
FL-18,0,827754,0,0,945704,0,0.0,0.0
FL-19,52432,861654,0,-682,339119,0,0.0,0.0
FL-20,955386,88417,0,35998,12127,0,0.0,0.0
FL-21,0,4090032,0,0,2903162,0,0.0,44600.0
FL-22,2095603,5867349,0,1365384,1342487,0,0.0,65615.0
FL-23,2215066,0,0,1575364,0,0,0.0,0.0
FL-24,148029,1333,0,57272,96,0,467047.0,31264.0
FL-25,2657093,1994943,0,1888446,957798,0,0.0,158500.0
FL-26,38588,1902246,0,17079,2452430,0,0.0,0.0
FL-27,743712,1951030,0,0,2266603,0,0.0,0.0
FL-28,424189,567482,0,454610,699517,0,0.0,0.0
GA-01,162500,1944528,0,7389,294093,0,0.0,2151837.0
GA-02,1126530,142715,0,447808,1768,0,0.0,0.0
GA-03,150514,2009763,0,87576,1076948,0,0.0,0.0
GA-04,402315,0,0,117906,0,0,0.0,0.0
GA-05,599715,0,0,76092,0,0,0.0,0.0
GA-06,896856,10320,0,676349,100,0,0.0,0.0
GA-07,0,1642413,0,0,1007984,0,0.0,0.0
GA-08,123,1124952,0,1,1349452,0,1748.0,0.0
GA-09,155052,671072,0,14433,176253,0,44440.0,35522.0
GA-10,23080,2303880,0,8705,703420,0,0.0,2841837.0
GA-11,76330,2347796,0,3578,17630,0,40096.0,815942.0
GA-12,26696,993220,0,3502,1320958,0,0.0,0.0
GA-13,1619079,0,0,229145,0,0,4218293.0,0.0
GA-14,8098514,1846892,0,18230,70518,0,44069.0,5002827.0
HI-01,1038814,0,0,773638,0,0,0.0,0.0
HI-02,801957,122390,0,604526,18721,0,0.0,0.0
IA-01,7051745,7208271,0,5425318,4691481,0,431548.0,125167.0
IA-02,1628201,1938593,0,755838,895564,0,308849.0,10803.0
IA-03,5293773,4869249,0,3859683,3568369,0,12898.0,22998.0
IA-04,135722,679844,0,49762,328850,0,0.0,172669.0
ID-01,181024,662615,0,14616,244700,0,0.0,0.0
ID-02,106892,1118093,0,71163,429359,0,0.0,0.0
IL-01,418350,58502,0,47163,63873,0,0.0,0.0
IL-02,2452894,7994,0,40546,0,0,4379243.0,3843.0
IL-03,1465280,8080,0,946222,3738,0,0.0,0.0
IL-04,358667,0,0,185499,0,0,0.0,0.0
IL-05,725695,0,0,1187818,0,0,0.0,0.0
IL-06,2108920,313038,0,1285018,22661,0,12087.0,0.0
IL-07,722009,55451,0,112588,42,0,0.0,2527703.0
IL-08,2071076,1476009,0,144530,730401,0,7177655.0,59974.0
IL-09,2946675,0,0,262130,0,0,1219420.0,1426379.0
IL-10,3006862,0,0,1699007,0,0,11342.0,0.0
IL-11,2180937,311439,0,2505288,22765,0,0.0,0.0
IL-12,88060,1327225,0,59815,789999,0,0.0,0.0
IL-13,2885018,267865,0,2625565,-10525,0,83860.0,0.0
IL-14,2417082,140848,0,1106564,31898,0,0.0,0.0
IL-15,122996,1331399,0,34290,810427,0,1771.0,3705.0
IL-16,415748,3672739,0,230141,6748621,0,0.0,0.0
IL-17,2233676,308832,0,1325642,56689,0,0.0,0.0
IN-01,2386268,2376256,0,1336696,1800689,0,0.0,0.0
IN-02,355589,5246030,0,104496,855313,0,0.0,0.0
IN-03,136340,839565,0,6039,101923,0,0.0,0.0
