district_code,state,district,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_plus,educ_no_hs,educ_hs,educ_some_college,educ_associate,educ_bachelor,educ_master,educ_professional,educ_doctorate,inc_u10k,inc_10_15k,inc_15_20k,inc_20_25k,inc_25_30k,inc_30_35k,inc_35_40k,inc_40_45k,inc_45_50k,inc_50_60k,inc_60_75k,inc_75_100k,inc_100_125k,inc_125_150k,inc_150_200k,inc_200k_plus
CT-02,CT,2,585785,471982,45353,30179,25661,12088,1084,94009,87375,81177,107074,100787,59942,31854,32841,140696,94537,45786,110340,64844,12305,8600,10440,7920,7471,7768,8992,8034,7382,8517,8756,15997,24969,36949,32781,24195,32841,42917
CT-03,CT,3,583771,377621,83523,87230,31046,8569,793,100500,94841,84088,101367,92738,55805,31893,42231,146889,83128,36425,104020,66599,16989,12795,13183,10201,8402,9623,8358,9156,9253,9207,8291,16647,24540,35557,28638,23971,31259,39708
CT-04,CT,4,555195,330507,110251,74375,34170,6812,728,85086,87274,95829,108171,84785,47743,29266,46444,94110,63316,28220,141546,86326,24077,9897,10497,8329,6710,6841,6921,6071,7313,6833,6094,12516,18043,25244,22736,16164,27881,75395
CT-05,CT,5,568867,383204,102329,50031,23948,8534,852,89414,85669,91820,101589,91660,54960,33011,50942,134168,86753,38797,107986,59312,14682,7955,11822,10052,8756,10995,9416,8541,9533,8575,9746,17696,22584,33251,26722,21939,28240,44150
DE-01,DE,1,783543,489226,67906,178357,37878,15627,1057,122674,124265,114864,131642,137636,87953,41152,61344,208129,130994,58540,139213,75033,13180,13931,16749,12173,10775,12267,13820,13903,14294,13700,13210,27203,36164,54374,40249,30916,39006,40197
FL-01,FL,1,605557,436951,40502,81991,25681,19277,2297,107849,104054,90327,100427,94251,60472,28771,42661,142124,123684,62871,103373,44664,8493,6296,12675,10597,9405,10265,11506,12471,12473,11778,11916,23247,31413,41495,31346,21754,22962,24888
FL-02,FL,2,619356,405585,39777,143006,17234,14504,1142,124947,98296,93070,95102,96402,59994,29244,60257,154072,107602,47759,92820,42344,11200,9061,19694,13193,14157,14311,14027,13365,13165,12395,14879,24922,29088,39459,25534,17394,17212,19344
FL-03,FL,3,624295,422810,66407,99159,24257,12159,994,120814,93681,82558,90412,99583,72372,38114,58184,167889,102781,52504,82940,39594,11861,11295,21414,15122,13267,14740,15746,13131,14031,13910,14261,23696,28432,34234,23686,15614,17221,16777
FL-04,FL,4,590934,326940,46192,187108,21169,12759,1609,98039,106847,94455,105752,92539,53945,25133,55942,165840,122544,55053,89494,32790,6668,4277,17043,12588,10133,11773,13574,11891,12131,12230,11740,23118,29656,39790,29005,20393,21239,18695
FL-05,FL,5,606741,409497,65881,77684,42703,11078,1659,103954,110172,98396,98210,89683,58117,28553,32059,120169,99749,50083,150935,60537,15183,8233,12066,6639,7617,9402,9382,10401,9360,10950,12664,21415,29608,40069,31960,21730,29842,38943
FL-06,FL,6,634516,474364,62028,71174,13068,13076,1020,82583,82605,81271,104673,120183,100166,51085,60070,193408,126901,62675,87811,36130,8382,5266,18168,13235,14505,15216,15832,15635,16333,15066,13612,26298,35499,41464,29166,16724,18501,17656
FL-07,FL,7,616306,398072,116922,64914,29100,12048,1210,94641,103303,97767,103563,102557,67187,35280,37726,141585,115175,68143,129412,48810,11573,7406,11901,8292,9249,10621,12111,12465,11421,12190,11451,23767,31562,44723,31642,24187,24588,27549
FL-08,FL,8,627948,430100,89424,68316,28576,13039,1577,99737,86513,88867,107298,107093,72298,40831,41336,139589,112960,65336,116939,56962,8339,7454,12100,8808,10148,11525,11323,11217,11113,10690,12056,22046,29608,40646,30402,22722,24205,25841
FL-09,FL,9,606265,298048,220605,64670,21337,11181,1278,88615,99821,99067,95361,93676,71238,42921,64851,159009,112052,57355,99326,38811,10291,5226,12390,10854,10283,13389,11728,11620,12282,12024,11442,20951,30009,36263,23919,16451,18065,18330
FL-10,FL,10,605765,217040,184224,168631,31986,10879,1717,134094,129571,102594,96320,76399,44249,24326,68323,145108,93826,60874,115677,45395,12401,6342,17060,11279,10372,11980,13541,13035,12354,12881,12013,23481,29296,37633,27209,16029,16459,22063
FL-11,FL,11,622027,384561,123284,66937,32919,10602,1408,78056,89986,95127,92496,102473,93848,44321,47514,141016,110254,61423,127157,53552,12030,6550,9476,6402,7962,9050,10800,11398,10512,10840,11619,22894,27663,41617,31891,20991,24972,28417
FL-12,FL,12,611856,360307,151776,65458,28518,11613,1118,94959,107751,99497,105424,97488,64361,32752,57312,161946,101992,54211,117013,46013,11430,6958,16282,13707,11356,13093,13488,13791,11774,12378,12480,23591,28852,37939,28050,18665,23724,27002
