district_code,state,district,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_plus,educ_no_hs,educ_hs,educ_some_college,educ_associate,educ_bachelor,educ_master,educ_professional,educ_doctorate,inc_u10k,inc_10_15k,inc_15_20k,inc_20_25k,inc_25_30k,inc_30_35k,inc_35_40k,inc_40_45k,inc_45_50k,inc_50_60k,inc_60_75k,inc_75_100k,inc_100_125k,inc_125_150k,inc_150_200k,inc_200k_plus
IL-07,IL,7,607675,198783,84153,261207,62079,8953,752,132877,132011,89567,80051,72816,44539,20403,59840,107583,84639,29087,127607,71833,26563,13167,26120,19407,12596,13448,11785,9506,9428,9627,9379,16878,21143,35018,27844,19323,28269,50335
IL-08,IL,8,586513,342671,121507,27923,88874,12304,759,93826,104530,102285,103600,88698,47840,24457,54075,117945,100911,44221,132492,55519,9228,5131,8755,5411,5467,6843,7260,7291,7038,8282,8281,17766,24774,39663,36419,26636,33481,34584
IL-09,IL,9,607511,374121,70826,58940,97378,9307,877,94272,105281,98715,102380,89500,54434,34129,40710,83508,82377,34252,166257,88991,22270,14607,14188,10603,7979,8649,9453,8922,8892,8957,9721,18590,24844,37852,27725,23474,31875,52580
IL-10,IL,10,575610,354504,122070,41054,50164,12712,979,94203,88189,95358,107470,87667,51815,28189,45825,101840,88014,32122,132962,70208,19853,10351,9299,5677,6019,7412,6896,7783,7018,6919,8092,14851,20814,33469,28102,22179,29258,58748
IL-11,IL,11,574787,382643,94482,37948,51448,10326,612,91756,96160,101199,107568,84645,49703,25061,40778,104896,98226,39632,136196,69450,10885,8923,8915,4803,5498,5934,6344,7178,7146,6711,7730,14967,23426,35565,30134,26437,35523,50233
IL-12,IL,12,589350,518915,13972,32744,8335,12005,680,89391,91477,91674,101472,97894,62558,36281,47330,161968,123303,67655,77739,35949,6642,4743,15663,13976,12532,14853,13285,11927,12375,11771,12207,23878,28900,40619,29646,20061,21914,17886
IL-13,IL,13,595719,403862,25560,120909,32027,12223,768,122351,97864,84119,91198,89055,53767,29457,40375,146128,111640,46793,86145,47058,9350,11290,25647,14010,12192,14658,15062,12197,13298,12270,12814,24368,31074,39966,26458,18780,20204,19346
IL-14,IL,14,564317,353681,113236,57426,31975,12358,543,103167,98876,108315,99293,71311,42602,21828,50780,129817,105028,44649,99967,46298,6325,5291,10158,6574,5588,7928,7117,8251,7579,8165,8392,16004,24736,35704,31771,23404,30533,31875
IL-15,IL,15,592293,538096,14321,20045,6073,10541,594,85341,91310,88913,101238,101523,66011,39537,39802,186446,115342,54759,86346,35001,6170,5087,13275,10724,11213,12847,12646,11909,12534,11642,12295,23616,30627,43768,32535,21768,22569,19435
IL-16,IL,16,582046,507844,30726,15473,14673,10444,506,82442,90435,93274,99662,97657,63359,35633,33850,155602,117224,54604,102949,43862,8697,5041,11043,8020,9271,10230,10996,9500,11158,10619,10898,21561,28779,42624,33463,24638,29794,28736
IL-17,IL,17,589767,424419,55419,83583,15101,11919,772,109773,90584,85430,92113,93017,59586,34025,53358,161354,117246,50055,78378,31968,5938,4474,24591,16404,14899,15071,16225,14677,14730,13454,13593,24071,31357,39680,28202,18269,16918,12642
IN-01,IN,1,580667,367001,83050,109975,10674,12242,537,94277,97311,93232,98611,94777,55972,30827,46659,184063,110762,44606,85452,34521,6624,4581,15963,10972,9397,12873,11700,11911,12342,10552,11667,21085,27159,40778,29493,21803,24014,20198
IN-02,IN,2,571029,453103,52706,40851,11036,12294,619,100417,91685,88243,93136,89018,54827,29638,62153,174403,98100,41203,75118,32381,6301,5427,14409,10480,10176,11805,12853,12557,13019,12301,12916,22623,29996,39699,28412,18065,18414,14786
IN-03,IN,3,563485,468328,30778,37126,15490,10439,620,98078,92247,89293,94675,88194,54887,27979,56845,170003,98806,48816,81982,30692,5893,3865,10784,9988,10502,11955,12543,12939,13023,12727,12324,25684,32055,45105,30413,18958,18476,15948
IN-04,IN,4,577297,481532,34013,23347,24655,11043,3374,113533,92696,92710,95133,85272,49028,26913,42017,159345,95683,41909,95039,39636,7927,7987,13182,9063,8878,10832,11611,11436,11342,10489,10611,21840,28204,41847,32755,21200,23596,22152
IN-05,IN,5,574610,479447,21767,38139,22495,10346,557,99133,96051,96569,99415,85371,53628,28196,33316,135802,93562,43219,123563,53106,12549,8453,12835,8760,8927,10853,10595,10199,11173,10345,10408,21469,29112,38170,29131,22230,25509,35269
IN-06,IN,6,570671,479310,24119,25458,28890,10908,707,96443,100185,95345,96625,83967,53833,27611,49881,170550,102129,45769,90712,37676,6287,4244,11704,9399,9946,10839,11473,11125,12640,11354,12059,21941,31786,43969,31231,21246,22005,18766
IN-07,IN,7,578117,291454,70431,192839,15824,11668,762,121930,114887,86084,87508,78031,40559,21452,63559,132377,91928,36591,108527,44156,12453,6565,23253,13350,12587,15167,13731,14466,14633,14946,14406,25141,30907,37936,24534,15807,18840,19312
IN-08,IN,8,585235,522022,14371,27167,7756,10760,878,98087,91543,89513,96271,99359,59895,32108,51344,188267,102346,58513,75011,30706,5436,4034,14706,13296,12057,14430,14411,14121,13614,13218,13613,23972,32147,41312,30615,18545,18788,14751
IN-09,IN,9,591468,523453,19694,20178,13399,12524,637,106411,92715,90323,100167,92057,58537,28226,47480,181008,101177,48252,80449,39129,6132,7034,14667,12369,11264,12207,12414,12357,11742,11477,12606,22715,30736,43447,31454,20518,21411,16252
KS-01,KS,1,565616,439359,73822,20746,14112,18188,1205,121499,91785,77258,80554,84891,50579,33037,43739,128046,110850,45909,85702,35295,7378,8482,15049,11726,11628,13429,13271,12049,12773,13078,13129,25962,29646,39719,27980,17510,18646,14751
KS-02,KS,2,554813,406652,59029,54674,12369,22956,1679,97441,93385,80898,87857,90550,53366,29377,45483,148907,112540,44127,81532,37392,5995,4352,14932,12519,12437,12039,14498,12331,12515,12418,12833,24252,29082,38223,27974,17411,17494,14216
KS-03,KS,3,556362,433217,47341,30004,30016,13934,823,91971,103701,95313,94182,82120,48239,26423,22666,87714,94628,37773,155717,72317,17542,9975,8233,5712,5517,6709,8135,7865,7431,7562,8620,18229,26313,38579,35055,24571,34912,45801
KS-04,KS,4,552525,404754,61394,42749,22437,22819,1261,97827,95082,84940,86451,87854,49569,29720,46481,130066,115470,43856,94312,40309,7252,4713,13052,11218,10182,11332,14720,11593,11625,11320,13539,22944,30018,39102,26882,19355,20090,16899
KY-01,KY,1,581614,499121,17549,45739,5749,11794,738,99323,88546,86814,96692,98118,60919,30972,59867,191760,107263,47625,60923,32594,6501,3436,19334,18817,14985,14167,15228,13692,14149,12371,12568,24711,29766,39074,24347,14977,14345,11314
KY-02,KY,2,573283,491040,19187,35852,12979,11930,1393,98612,93493,94283,98474,91858,55740,26312,58675,178823,106010,47256,70375,35320,7361,3966,15410,14881,12318,11759,13753,12693,12034,12700,12289,21375,29320,38534,26831,18495,18812,17607
KY-03,KY,3,589875,387039,40407,129992,22118,11076,992,104536,104700,89690,92802,91530,53787,28568,46416,136186,109998,43383,107526,51906,13291,9111,17458,13709,12003,12812,13493,13613,13659,12686,12705,25312,31130,41681,29626,19845,21567,23776
KY-04,KY,4,569659,504457,19158,22964,8545,11761,897,92960,95894,97632,101578,92062,53071,24392,46169,159749,100936,47937,97348,45108,10056,5084,12764,10359,9116,11103,9448,11142,9988,10362,10340,19335,27472,37657,31736,22615,25671,26177
KY-05,KY,5,585793,551365,7471,11524,3115,10688,324,90470,90275,94337,103807,97411,61542,29000,103210,200643,98513,41099,42092,26950,6494,3024,25870,27721,18176,18049,16384,16000,12536,11613,12228,21737,25990,31315,20353,10872,9826,6973
KY-06,KY,6,583676,472523,29303,53120,16101,11651,1407,118611,96695,93607,92743,85074,52064,23911,49110,136109,96322,42111,99870,49307,13236,11060,17289,12976,11484,12955,12742,12749,13182,12240,12162,23622,28816,38438,29461,20342,20921,21064
LA-01,LA,1,603226,425760,62646,80468,18083,18076,720,92724,105697,92311,100287,98925,60924,30410,57408,146840,114038,37350,114645,43183,15934,7329,15889,11917,11278,12079,11735,11382,10880,11699,11193,20940,27599,40971,30243,20618,25960,29094
LA-02,LA,2,598971,177855,49448,348925,20120,9278,677,103687,115061,91559,96747,92855,52824,23617,80494,156547,119507,33307,83256,38485,10776,6277,29549,23259,15892,17578,16737,14288,11805,11375,11554,19877,27280,30005,21793,14232,16897,15735
LA-03,LA,3,586663,375309,27158,163083,11798,9811,610,102421,106297,91052,97007,91810,51013,26095,76059,187763,96719,37457,80422,26781,7566,4183,22219,18285,14347,16257,14192,13631,11783,11132,12957,20959,25162,35626,26628,17563,18653,18147
LA-04,LA,4,590468,360980,25470,179130,9106,15664,1042,100457,102143,90750,93299,91091,59283,29463,68666,188870,111392,40451,69475,28481,6111,3591,21917,21072,17185,17992,15187,14010,13791,11823,11093,21396,25564,31863,22840,16051,17307,14537
LA-05,LA,5,597119,358395,21375,198366,7702,11670,583,109028,100898,91530,95550,89867,57684,27648,82766,194470,103230,31961,65607,26506,6181,3664,23629,21890,17117,17646,15243,15115,11674,11346,11946,19839,24241,28038,20458,14317,14994,12893
LA-06,LA,6,594101,383811,37565,145797,16138,10406,528,120366,109169,91241,91677,88511,49508,22715,48961,150968,105012,35341,106076,43281,9764,7995,16651,8933,9522,10470,10627,10953,10187,11320,10206,21131,26319,35883,31402,22334,26416,30022
MA-01,MA,1,625152,457747,98662,45708,17184,10946,1072,100414,94712,91372,108295,105927,63150,36173,58279,164061,99288,53004,100733,53921,10160,7581,16175,16425,12367,13386,12582,11819,11548,11118,10628,21224,28214,39428,30510,23407,27970,29116
MA-02,MA,2,626463,462756,60158,40727,48770,8623,755,108695,96647,95370,109124,95802,53605,29285,39105,121569,84643,43847,129912,79191,13225,16039,12284,10914,9395,9366,9525,8560,8462,7646,8835,17103,22890,34527,30152,23744,33258,49475
MA-03,MA,3,611501,393019,119115,38672,52040,8601,1049,101843,105053,97258,111714,92319,49052,27314,58088,138747,89086,42234,118514,65752,9885,11089,10934,10923,8261,7975,8844,8443,7878,8371,7482,17292,24046,33053,29954,23979,34525,47495
MA-04,MA,4,615677,496109,31266,28391,43962,5901,699,93381,99335,100495,114117,95865,56664,31499,44454,117622,75085,40735,134671,82835,23473,23540,10869,9364,7502,7934,7885,7491,6967,7200,6624,13663,21148,32419,28520,23951,36532,70970
MA-05,MA,5,631188,422500,59266,39564,87296,5787,727,109507,117305,101211,102368,84490,54831,34395,35662,95011,57765,29465,158484,114639,24502,35661,12041,7972,7540,7054,6541,5929,6249,6331,6885,13199,18082,31877,28585,23628,37898,86191
MA-06,MA,6,624046,496648,57360,27150,32796,6595,628,87829,94895,97028,116911,105256,62683,36628,38553,120748,78997,45875,156638,86187,15206,13316,10929,8768,7951,7684,7599,7450,6630,7140,7067,13557,20653,33904,28466,26127,38956,69800
MA-07,MA,7,653761,275583,126572,158657,90316,9098,1292,180269,139216,85891,81248,65339,37288,22379,73736,106219,67034,26455,135365,77180,21262,21761,23323,17749,10858,10046,9313,7832,7520,7910,7967,15555,20964,32758,27080,21505,31537,51506
MA-08,MA,8,637174,440369,38201,78579,65087,5796,798,112197,118895,94642,105215,91766,54401,32340,42437,118991,78353,39358,160709,87222,20599,15258,12778,9636,7852,8560,7476,6856,6004,7450,7483,15552,20694,35031,30371,25651,40817,72112
MA-09,MA,9,638761,544254,30908,28865,10669,8589,765,86330,84927,86478,116433,116832,83361,42432,41273,144931,96673,53907,139294,70390,14733,9884,11609,9122,9042,8787,9151,9513,9576,9774,7960,17995,26265,37854,30889,27338,36654,52490
MD-01,MD,1,607726,455671,27377,94079,18575,11674,912,92678,93156,90112,109871,104027,66017,33490,44041,162800,109409,42925,105647,57168,11144,7865,12631,7745,8696,8477,9708,9236,9847,9249,9253,18582,24494,38399,34048,24636,33237,40742
MD-02,MD,2,606852,378642,30831,147706,41572,9439,678,96790,102119,91930,103011,96512,57862,35516,37364,121983,96105,38112,134222,75269,19303,12746,11759,6305,6303,7832,7264,8031,7662,8715,9213,17398,25694,39451,33209,25381,36707,47014
MD-03,MD,3,593206,359531,45052,109182,70477,10871,1065,91712,105599,104132,107395,87257,54162,27262,31111,97820,92221,36068,143761,94146,19079,18215,7582,3628,4789,4499,5009,5007,5345,5954,5020,13249,18814,33526,31836,26279,42715,73019
MD-04,MD,4,599171,73778,131605,358207,38436,14951,1069,108877,111678,98835,98424,83261,43948,22060,77851,135631,101486,33322,96270,54012,8516,8584,12223,6824,5212,6908,6613,7232,7787,7863,8543,18340,26058,39134,32957,23689,29690,31560
MD-05,MD,5,597544,272785,36063,256656,25284,13369,1310,93470,104986,101452,119585,89597,49396,22126,31520,131936,112686,40388,120970,76747,10279,9489,7746,3974,3370,4306,3995,4480,5258,5032,5047,12300,18506,32107,33130,30647,45623,62557
MD-06,MD,6,600128,381499,69774,83444,56660,11796,974,96407,107013,101568,109118,89571,51665,28214,47967,138488,93922,42845,116557,69137,11897,13917,10408,7928,7298,6733,8399,8350,7401,7894,8332,16680,22965,36481,31482,24897,34546,47767
MD-07,MD,7,610826,198323,43910,334297,29375,11233,842,115595,124829,84246,90841,90649,50457,25634,68728,158841,106244,32129,90185,53242,13558,9585,26223,19562,12907,13232,12402,12108,13327,11350,12955,23459,29274,37486,26516,18748,21910,23191
MD-08,MD,8,599749,281131,107650,109418,96180,10300,999,86318,100326,101416,104391,91887,57603,35902,45335,65225,60545,26301,145304,110866,42103,38963,8024,5447,4351,5411,5709,5926,5137,5806,5607,11916,17809,28420,26320,23332,36817,87981
ME-01,ME,1,557050,507050,10166,13089,11477,10033,576,80645,87605,80948,97043,101666,62943,32838,23989,133837,90119,48703,127319,57003,14890,9225,10604,9399,8658,9668,9812,8977,9736,10126,10362,20787,28015,40149,32519,23328,28360,29015
ME-02,ME,2,553035,510454,7490,8871,6534,14772,572,76509,80545,78218,99326,104672,65909,34142,35771,177758,98091,54431,87414,33858,7175,6378,13691,16445,13655,14613,14503,14028,12905,13625,12185,23067,28649,38426,26384,17640,17065,13776
MI-01,MI,1,633080,575217,10255,8525,5386,28298,678,88483,82226,82276,106201,131821,84445,42164,40196,183614,132704,62865,94083,41823,9303,5872,15924,15411,14931,15627,15757,15871,15649,14869,14291,28676,35134,46816,30632,18295,17386,15581
MI-02,MI,2,606868,541129,23154,16673,5161,15972,480,99635,93072,89741,105294,107944,63426,32187,46518,196012,125739,54755,74341,30565,4646,4389,13181,12686,11385,12153,13981,12907,13046,13015,12447,23661,31989,44260,28537,18821,17877,14050
MI-03,MI,3,597448,442096,52640,70012,20945,12616,678,121353,109639,87945,92799,82757,50056,26937,39449,128616,107213,48839,122359,47530,10868,6742,12094,10981,9975,11267,11284,10096,11970,12444,11731,23301,29616,42550,31870,21850,22800,23804
MI-04,MI,4,593972,465772,41861,53347,17493,13886,642,116245,97097,88655,93856,92212,55379,29750,39793,146705,113676,46768,102490,44831,7516,6632,13215,11037,10390,11935,13769,13114,12222,10701,11901,22839,30371,41997,30093,21474,24138,22677
MI-05,MI,5,606306,525147,25025,29565,7358,15067,474,91935,90494,91912,106620,107360,66556,33724,47103,186605,125843,57527,79359,34778,5349,4413,12551,11101,11392,13098,13371,13532,13369,13155,12285,24520,33553,41631,30805,18999,21949,17723
MI-06,MI,6,619426,442928,26864,67116,68823,11145,730,120481,94018,94739,100898,91294,57106,28304,24236,92600,95697,41304,136258,88344,20149,20049,14299,7927,7207,8307,8543,9219,10184,9420,8935,18795,25384,37419,32013,24587,34025,49443
MI-07,MI,7,611160,501351,29147,41539,23008,13356,722,117151,94948,89204,102653,98676,57194,27799,27583,128002,123084,53144,117087,51143,10920,9670,12880,10142,8653,10683,11208,10798,12292,10951,11879,23690,29288,42596,33761,22583,28651,29270
MI-08,MI,8,606390,462261,26926,91882,9005,14019,494,98082,91945,90084,104943,103390,63568,35261,46920,169972,132469,61177,83155,34097,7209,4526,19122,15882,12757,14191,14433,15177,15257,15591,14062,25305,31770,41958,26766,18403,20628,18662
MI-09,MI,9,606770,543625,19068,16550,10076,12316,367,86046,85039,99079,119554,107936,63235,28518,38169,165836,127550,60577,96677,45553,7501,3371,10365,9431,8259,9521,10731,10515,10410,11229,11743,20477,28260,41890,31075,24360,32426,31294
MI-10,MI,10,620272,469713,15848,81191,40047,10323,529,102502,101506,93305,106789,101119,58696,34882,51374,156061,126288,56345,100704,47613,8873,4734,13136,10156,10734,11821,12113,13059,13247,11653,12876,22910,31005,45344,34786,23404,26892,24423
MI-11,MI,11,624065,442233,27866,84964,56976,9546,508,108281,106959,96057,107272,98626,57774,33132,33129,101916,102903,43929,155838,87064,24199,10240,13310,9765,8327,9939,10803,11054,10362,10179,10166,20137,27154,41872,34334,26663,34554,50233
MI-12,MI,12,596111,282914,17013,272419,15570,9492,504,105664,98221,90502,97876,91024,54517,29293,56173,147627,130623,47987,82657,42190,8104,4158,23541,16876,13524,13378,13523,13394,13002,12596,13367,21409,29509,37975,25205,16497,18024,15301
MI-13,MI,13,592734,234410,51978,277723,20592,12435,697,113398,103294,90822,96391,88919,47997,27921,81759,167052,117529,38533,66600,31686,7533,4560,28548,23986,15625,16322,14699,14169,15317,14465,12459,23649,26667,32790,20508,14178,13508,14463
MN-01,MN,1,549351,470076,31285,20105,17666,7832,822,95287,88578,80991,87532,88101,54317,35128,33352,137372,94945,62424,96205,35890,10659,7107,10133,9895,9721,10346,10582,10361,10505,10719,10523,21918,27781,41446,32710,22034,25188,22508
MN-02,MN,2,535271,422973,34031,32860,33070,9432,765,84383,98360,94229,97090,78177,44297,23031,22108,99021,93875,59132,138594,46675,10862,6072,6656,3878,4429,6225,5957,6757,6233,7477,8088,14938,22025,34177,33078,27009,36343,42765
MN-03,MN,3,549165,416013,23791,49858,48773,8405,638,72884,98525,92106,98842,88408,50990,28714,22788,84787,90916,49402,161150,65991,15389,8904,7180,5451,5225,6449,5825,7349,7306,7697,8019,16581,22627,35799,29172,26160,35150,56927
MN-04,MN,4,549351,372953,34272,60639,70316,11373,893,100451,102590,82856,87114,79644,45963,26244,36059,93224,83545,42064,135814,58731,14809,13312,10545,8589,7044,8044,7999,9366,8990,9431,9331,19260,24771,35160,29461,21808,30053,38305
MN-05,MN,5,571885,373926,48922,94621,40674,16034,906,130349,124812,83385,76545,69046,38271,22581,39631,81261,85702,38850,151951,62789,17011,10578,15207,11496,9614,8721,10271,9164,9406,10156,10102,21260,28553,40505,30348,23242,27759,37548
MN-06,MN,6,528178,458504,16060,22856,18453,8485,596,87475,95693,94884,97311,78044,42516,18338,24698,118174,101534,61268,111154,37684,7262,5172,6424,4712,5538,5798,6493,6645,6811,6909,7650,16526,22270,36421,32360,26129,35104,34168
MN-07,MN,7,544716,493732,22080,8837,5994,11372,890,80264,82349,77107,91036,97432,60449,39874,33972,154586,109029,73402,82007,23776,5915,3916,12315,11234,11449,11064,11128,11814,10326,11766,11144,22644,28893,42694,31928,21923,21633,16476
MN-08,MN,8,561116,500876,8326,9010,6585,31414,581,84121,83330,80613,95837,105225,63219,34809,30617,149670,121654,65490,88718,32756,7748,5239,12404,11725,9857,11020,10776,11879,11194,11158,11673,23012,29331,40451,30876,22966,23597,18987
MO-01,MO,1,609962,275838,24149,274562,25535,10938,665,119231,113759,89619,91792,92902,49762,27799,47293,136399,114545,41074,107539,58074,14854,11153,24655,18281,15069,14426,16400,16665,15850,13816,15238,28158,34370,40781,28578,17516,19019,21590
MO-02,MO,2,603006,518559,14600,21318,31414,12109,540,82676,93371,91353,106689,103796,66926,36500,33036,118596,101477,44662,141556,73418,17178,11120,9056,6989,7942,9090,9069,9841,9364,10691,10514,20073,27458,39507,32177,25128,31492,48299
MO-03,MO,3,594774,501879,18809,37578,18178,14093,800,110481,102716,95494,96500,91156,53060,27153,32800,140997,106423,43816,119139,54437,9811,8431,11991,8001,7545,8703,8861,10255,9409,10345,11452,20799,27135,41546,33978,24329,31607,30322
MO-04,MO,4,599570,489976,28651,45836,13340,18658,1447,103254,102892,88891,95731,96481,60836,31903,37730,160137,116359,43160,108266,48100,11474,6058,13687,12559,11794,13252,11588,12716,12587,12366,12248,23715,29869,41425,29814,22285,25079,23436
MO-05,MO,5,588634,411612,41398,105776,9492,18585,2536,103565,99644,88039,96186,92157,55730,31206,55182,184511,113943,43421,75998,31479,5464,3862,17016,14488,14074,13645,13517,15596,14886,13396,12670,24941,31982,41797,29095,17916,16664,10599
MO-06,MO,6,588867,493931,28485,33395,13386,16041,2084,99164,100805,93272,97371,90933,57664,30594,41203,173227,111986,42153,97615,40106,7978,5297,13933,10705,10561,12006,12419,11849,11606,12016,11955,21978,30444,43288,30783,20407,23129,19421
MO-07,MO,7,594947,505834,29527,15694,11381,27157,2661,109500,96555,89423,94707,92192,61228,32924,49848,166617,122482,41527,89084,35201,8537,4607,15425,16816,14086,14610,16387,15697,14394,15316,13883,26687,33034,41411,26942,15617,16082,14236
MO-08,MO,8,595852,526013,11554,28048,6779,18170,593,95041,95581,90692,101623,100819,62032,32868,67871,199949,111331,45516,65400,29219,5211,4172,17137,17774,14857,15560,15751,15443,13313,12469,12957,23443,30669,39139,25460,16905,15108,11134
MS-01,MS,1,570086,381596,17747,154218,7178,8903,476,99069,93291,92311,91550,85793,55791,25372,69108,152537,105072,51158,70726,31097,6495,5292,16761,15612,14062,14627,12465,13043,12827,11574,11469,21060,26845,37227,26533,16326,17102,13614
MS-02,MS,2,571715,196358,11932,355293,4341,6097,352,99208,90495,85792,92185,92591,53426,27355,81328,149584,106255,49617,63053,30097,6578,4316,25854,24169,17909,18147,18119,15050,13607,12253,11855,21205,23309,29540,16253,10458,10861,9272
MS-03,MS,3,568068,350071,13512,184901,8337,11501,432,100617,93049,90075,89241,87739,54233,28057,62487,136570,102430,51683,80453,37290,9848,7971,21724,16361,15206,13961,12614,12463,12091,12007,11475,19928,25867,33122,23378,16233,17589,16344
MS-04,MS,4,567730,387426,25446,128668,12861,12580,954,99654,96067,89852,92123,88663,56886,25954,58176,148091,117496,56659,71900,33187,7082,4686,19088,16017,14632,14340,13211,13276,12303,12217,12688,21878,27222,35205,24513,15808,15715,13785
MT-01,MT,1,432021,374714,15436,3109,6308,27900,952,80361,70602,64149,64897,75185,48934,20289,19476,99857,85641,34439,91966,33231,9156,7677,10653,10089,8059,9390,10392,9386,8864,9304,9329,16858,23774,30263,20998,13503,15520,17024
MT-02,MT,2,418102,352839,14472,4333,5247,38234,1016,64683,69476,61800,66330,75900,46687,23280,22405,111081,89875,37799,78583,26102,6606,4306,9834,8937,8163,8790,9527,9544,9694,8984,9084,17658,22968,30528,21553,14568,15773,14906
NC-01,NC,1,596783,356476,27614,192997,7888,13381,1003,85610,82978,86402,101174,112003,74177,35268,66241,168086,123303,55539,79253,33220,6173,3910,18082,18146,16060,15145,15374,15242,12853,14087,12391,24814,29019,38551,27540,17010,17371,14014
NC-02,NC,2,584067,332722,64157,140209,40031,10815,824,117190,115385,103483,93421,72593,41550,20575,35373,81541,82791,40321,165733,74797,16296,12756,10964,7186,7207,9739,7717,11066,10194,10735,9148,21473,25599,37241,30371,23215,30853,43178
NC-03,NC,3,576660,323933,60800,169543,12771,13433,1813,135693,94143,81218,82705,80819,49715,24531,62206,140460,104364,54340,70534,27427,4991,4156,18803,16852,14637,13873,14593,14599,14726,15345,13293,23568,29659,37661,22805,16100,13175,11112
NC-04,NC,4,574606,320577,56330,124857,64835,10683,736,102823,109176,105246,90108,77471,44249,20968,33438,67665,65186,37055,154185,92455,21878,26967,11495,6601,7199,8372,8064,8971,9020,8324,8847,17771,24100,33365,30841,22962,32428,49170
NC-05,NC,5,596194,421313,38431,111648,14529,12141,654,101749,84645,89467,101135,96902,62582,32564,70977,148605,109036,51798,83916,35934,6469,6619,18359,17408,16231,15145,15115,15389,14052,14171,13762,24338,26686,36936,25274,16947,15494,15349
NC-06,NC,6,578293,382738,51069,111667,21727,13484,634,96006,92734,95039,102273,87182,57692,27383,58145,143295,109486,51073,98260,36491,7505,5788,14485,12472,11386,13264,12720,13344,13166,14031,11892,23255,28143,40600,27869,17924,18944,18351
NC-07,NC,7,593673,400999,39354,119140,11043,24895,1379,95819,88946,90749,96967,103242,72396,28611,46523,138337,118303,58147,106248,43067,10477,5930,20006,13695,12384,13311,13281,12216,11539,12529,12113,25172,29538,39758,28649,19331,21178,20446
NC-08,NC,8,563332,358376,44048,99678,21043,41818,685,87003,90457,102950,104491,83779,53305,26479,56073,130202,99294,49136,111894,42880,9077,4832,12947,10277,9532,9662,10340,9846,9802,9044,9600,17079,23235,33666,25208,19553,22747,32496
NC-09,NC,9,577673,359252,60786,129182,14884,18440,1736,107757,97911,85800,96089,85803,57287,29277,54390,138847,117810,56209,91085,34382,6364,5143,14858,12782,12237,12326,13077,13884,13263,13014,12120,23881,30751,38634,27562,16994,18039,16799
NC-10,NC,10,581822,404468,53640,96473,16563,12711,767,95018,90424,94065,104891,91292,58215,28943,56929,142266,106458,53076,101994,36877,9791,7586,14768,12078,11919,13350,14271,13689,9999,14109,12359,22738,29450,39820,27030,17571,18820,23784
NC-11,NC,11,609924,516985,37835,23682,7822,21489,1302,84569,86695,91564,98971,109569,82461,40333,51449,148201,111512,56541,113562,51329,12328,7845,15042,15809,14275,13534,14383,14954,14433,14098,13004,22946,31191,39590,26877,18693,16968,18899
NC-12,NC,12,580319,229032,87967,222293,36903,11502,852,133345,128538,96483,85019,65394,33298,15953,56587,88947,96395,41165,141324,56613,13462,5577,14451,10338,9451,10755,11695,12733,12525,13334,14117,25845,33019,38539,27885,19711,22379,30526
NC-13,NC,13,562248,372444,60116,109385,9134,13717,978,87346,97196,103200,106156,86027,51995,22354,55338,135757,110429,61126,100647,36326,6604,4963,11549,9894,10138,9305,10968,9424,9007,10078,10077,19675,27764,37219,30129,21575,24027,23337
NC-14,NC,14,579505,410318,42164,92298,23232,12850,648,86667,95360,102332,105757,89620,58035,25911,54470,132197,105753,55031,114917,46914,8119,5020,13512,11338,11218,11239,12351,11673,10654,11574,12417,20289,27248,37170,28060,19465,22751,29534
ND-01,ND,1,596093,503153,21603,21444,13192,35031,1361,120021,108904,83712,86928,86967,50116,32814,32907,132137,109820,72298,113131,33064,7189,5710,14640,11619,11178,11278,12309,11189,11145,11669,11621,24520,30577,44389,34919,25356,26887,26742
NE-01,NE,1,495560,401792,44433,19981,18138,10566,898,102511,86187,74856,74466,73076,42164,23987,29358,101912,89696,50099,95507,38502,7224,6854,9826,6984,8070,8638,9696,10790,9561,10053,10926,19659,26121,37037,28346,20259,22211,19636
NE-02,NE,2,484492,348415,51311,50868,23937,11089,922,88169,96864,81726,75423,67767,37817,19410,34371,88027,90320,36070,112517,44472,12776,7229,11238,8748,7403,7901,8417,9497,8161,9318,8611,17266,25358,33148,29096,19561,24002,28721
NE-03,NE,3,496075,419048,49553,7803,5269,14009,807,75747,75759,71270,78252,86817,53660,35903,40568,135934,104382,53118,72077,23163,5032,4077,11590,11203,10864,11709,11972,11303,12004,10874,10843,21594,28469,37133,26998,16433,17015,12116
NH-01,NH,1,560816,499334,19760,11525,16617,9099,624,91014,87291,81001,104500,93924,56027,28594,29839,128384,89005,51869,122958,57433,9142,6951,7888,7782,7016,7415,7559,8016,8173,7486,8400,17628,24096,36624,30779,24549,31791,39836
NH-02,NH,2,559864,496417,20040,10247,17205,10205,591,83483,83853,83336,103406,99350,61032,29224,31885,142590,85661,48672,113231,58945,10797,9991,8137,7552,7745,7970,8477,8762,8338,7397,9409,17230,23273,35018,30602,22601,31239,36328
NJ-01,NJ,1,604707,381282,76390,107906,36302,9840,979,103298,103878,94984,104769,93471,53416,29156,48847,160694,97267,44033,114589,47354,13245,6548,13647,10197,8002,9388,10228,9653,9276,7825,9300,18341,24733,37648,30746,25179,32285,36545
