race_code,poll_id,pollster,end_date,n,rating,lean,dem,rep,margin,oth,oth_party,oth_name,dem2,rep2,dem_name,rep_name
AK-SEN,6db448bf-8b33-4a4d-ad4d-d758aa373626,Alaska Survey Research,2025-10-15,1708,1.3,,47.7,45.9,1.8,0.0,,,0.0,0.0,Mary S. Peltola,Dan Sullivan
AK-SEN,2abdc064-3a16-4478-a841-23467c99f334,Data for Progress,2025-10-23,823,1.9,D,46.0,45.0,1.0,0.0,,,0.0,0.0,Mary S. Peltola,Dan Sullivan
AK-SEN,4d33f950-ca95-4b26-b961-c02b133cbfcd,The Tyson Group,2025-11-13,600,1.3,,43.0,39.0,4.0,0.0,,,0.0,0.0,Generic Democrat,Dan Sullivan
AK-SEN,738d7b99-da3b-4c01-8c34-1ad6bd19e307,Alaska Survey Research,2026-01-11,1681,1.3,,48.0,46.4,1.6,0.0,,,0.0,0.0,Mary S. Peltola,Dan Sullivan
AK-SEN,02747cb8-c9f8-4c09-b283-67fcf0ec90b0,Public Policy Polling,2026-01-17,611,1.8,D,49.0,47.0,2.0,0.0,,,0.0,0.0,Mary S. Peltola,Dan Sullivan
AK-SEN,e8d83b3b-cf66-4eb1-a16d-49e053bc3698,Alaska Survey Research,2026-03-22,1340,1.3,,52.4,47.6,4.8,0.0,,,0.0,0.0,Mary S. Peltola,Dan Sullivan
AK-SEN,b613d76c-3e02-43de-aa2a-d6323fbd68fe,Alaska Survey Research,2026-04-19,1946,1.3,,50.2,43.6,6.6,0.0,,,0.0,6.2,Mary S. Peltola,Dan Sullivan
AK-SEN,24511bba-225f-4c6f-91fc-a51dcc039b64,Alaska Survey Research,2026-05-17,1401,1.3,,48.4,43.8,4.6,0.0,,,0.0,7.8,Mary S. Peltola,Dan Sullivan
AK-SEN,35cede46-c867-4b0b-ab55-934d055eccb1,Alaska Survey Research,2026-06-07,1393,1.3,,49.4,44.2,5.2,0.0,,,0.0,6.4,Mary S. Peltola,Dan Sullivan
AK-SEN,8e054071-9b5e-46d0-a921-ecc4f3c1737e,The New York Times/Siena University,2026-06-29,593,3.0,,45.1,47.5,-2.4,0.0,,,0.0,0.0,Mary S. Peltola,Dan Sullivan
AL-02,c51b7de5-0b90-464c-8778-459c24d25b3b,Impact Research,2026-06-25,400,1.3,D,44.0,45.0,-1.0,0.0,,,0.0,0.0,Shomari Figures,Rhett Marques
AL-GOV,4d581320-daef-4dfa-b5f4-150ed5aa8d9a,Cygnal Political,2025-11-13,605,1.4,R,34.1,52.6,-18.5,0.0,,,0.0,0.0,Doug Jones,Tommy Tuberville
AR-SEN,54e089ff-5f60-4aca-b00c-d93838450703,GrayHouse,2026-02-09,550,1.3,R,36.0,58.0,-22.0,0.0,,,0.0,0.0,Hallie Shoffner,Tom Cotton
AZ-01,aabe2548-ac61-4588-a4c0-4be0aae748f7,Clarity Campaign Labs,2025-11-05,676,1.3,D,45.0,46.0,-1.0,0.0,,,0.0,0.0,Generic Democrat,Generic Republican
AZ-01,e251a4a0-a480-477f-84ea-392b35c58b52,GrayHouse,2025-11-17,500,1.3,,42.0,42.0,0.0,0.0,,,0.0,0.0,Generic Democrat,Thomas (Jay) Feely
AZ-01,e251a4a0-a480-477f-84ea-392b35c58b52,GrayHouse,2025-11-17,500,1.3,,43.0,40.0,3.0,0.0,,,0.0,0.0,Generic Democrat,Gina Swoboda
AZ-02,d9369344-95ac-4a59-9545-fe3e2a488c79,GBAO,2026-06-15,500,1.7,D,41.0,44.0,-3.0,7.0,LIB,Curtis Goodwin,0.0,0.0,Jonathan Nez,Eli Crane
AZ-06,98ca77f6-ec80-4dfa-930b-89b1260ee9c3,Public Policy Polling,2025-10-15,581,1.8,D,42.0,41.0,1.0,0.0,,,0.0,0.0,JoAnna Mendoza,Juan Ciscomani
AZ-06,88f080b6-7ea1-41ee-a50a-ea1ee78f439c,Ragnar Research Partners,2026-03-14,400,1.3,R,47.0,44.0,3.0,0.0,,,0.0,0.0,JoAnna Mendoza,Juan Ciscomani
AZ-06,88f080b6-7ea1-41ee-a50a-ea1ee78f439c,Ragnar Research Partners,2026-03-14,400,1.3,R,43.0,42.0,1.0,0.0,,,0.0,0.0,Generic Democrat,Generic Republican
AZ-06,826d7413-1536-4249-8d2a-1ee10804babd,"Normington, Petts & Associates",2026-06-11,500,1.3,D,47.0,45.0,2.0,0.0,,,0.0,0.0,JoAnna Mendoza,Juan Ciscomani
AZ-GOV,23e35f2b-75f0-4d81-9683-937d845f6e8b,Kreate Strategies,2025-02-07,924,1.3,R,40.0,38.0,2.0,0.0,,,0.0,0.0,Katie Hobbs,Karrin Taylor Robson
AZ-GOV,23e35f2b-75f0-4d81-9683-937d845f6e8b,Kreate Strategies,2025-02-07,924,1.3,R,43.0,44.0,-1.0,0.0,,,0.0,0.0,Katie Hobbs,Andy Biggs
AZ-GOV,76031070-e5b3-4204-89eb-e37ed7063081,Noble Predictive Insights,2025-02-13,1006,1.8,,40.0,34.0,6.0,0.0,,,0.0,0.0,Katie Hobbs,Kimberly Yee
AZ-GOV,76031070-e5b3-4204-89eb-e37ed7063081,Noble Predictive Insights,2025-02-13,1006,1.8,,43.0,35.0,8.0,0.0,,,0.0,0.0,Katie Hobbs,Karrin Taylor Robson
AZ-GOV,76031070-e5b3-4204-89eb-e37ed7063081,Noble Predictive Insights,2025-02-13,1006,1.8,,40.0,35.0,5.0,0.0,,,0.0,0.0,Katie Hobbs,Jake Hoffman
AZ-GOV,76031070-e5b3-4204-89eb-e37ed7063081,Noble Predictive Insights,2025-02-13,1006,1.8,,39.0,36.0,3.0,0.0,,,0.0,0.0,Katie Hobbs,Charlie Kirk
AZ-GOV,76031070-e5b3-4204-89eb-e37ed7063081,Noble Predictive Insights,2025-02-13,1006,1.8,,40.0,38.0,2.0,0.0,,,0.0,0.0,Katie Hobbs,Andy Biggs
AZ-GOV,76031070-e5b3-4204-89eb-e37ed7063081,Noble Predictive Insights,2025-02-13,1006,1.8,,37.0,36.0,1.0,0.0,,,0.0,0.0,Katie Hobbs,Jack McCain
AZ-GOV,07b5c502-08e5-42b2-a87c-67f3152926f3,Pulse Decision Science,2025-04-09,501,1.3,R,46.0,42.0,4.0,0.0,,,0.0,0.0,Katie Hobbs,Andy Biggs
AZ-GOV,07b5c502-08e5-42b2-a87c-67f3152926f3,Pulse Decision Science,2025-04-09,501,1.3,R,47.0,38.0,9.0,0.0,,,0.0,0.0,Katie Hobbs,Karrin Taylor Robson
AZ-GOV,95df1759-cdf5-4e40-8953-6a3e495a7861,Noble Predictive Insights,2025-05-16,1026,1.8,,42.0,36.0,6.0,0.0,,,0.0,0.0,Katie Hobbs,Charlie Kirk
AZ-GOV,95df1759-cdf5-4e40-8953-6a3e495a7861,Noble Predictive Insights,2025-05-16,1026,1.8,,41.0,39.0,2.0,0.0,,,0.0,0.0,Katie Hobbs,Karrin Taylor Robson
AZ-GOV,95df1759-cdf5-4e40-8953-6a3e495a7861,Noble Predictive Insights,2025-05-16,1026,1.8,,40.0,36.0,4.0,0.0,,,0.0,0.0,Katie Hobbs,Kimberly Yee
AZ-GOV,95df1759-cdf5-4e40-8953-6a3e495a7861,Noble Predictive Insights,2025-05-16,1026,1.8,,40.0,38.0,2.0,0.0,,,0.0,0.0,Katie Hobbs,Andy Biggs
AZ-GOV,25e7c75d-095a-4011-981b-44d14d8f88ec,Noble Predictive Insights,2025-08-18,948,1.8,,39.0,37.0,2.0,0.0,,,0.0,0.0,Katie Hobbs,Andy Biggs
AZ-GOV,25e7c75d-095a-4011-981b-44d14d8f88ec,Noble Predictive Insights,2025-08-18,948,1.8,,40.0,38.0,2.0,0.0,,,0.0,0.0,Katie Hobbs,Karrin Taylor Robson
AZ-GOV,fecf3a6b-b178-4d0b-9d08-2ed73b6c109b,GrayHouse,2025-10-28,744,1.3,,40.0,44.0,-4.0,0.0,,,0.0,0.0,Katie Hobbs,Generic Republican
AZ-GOV,0a572103-51f1-4822-aae8-cf2d473a7f0f,Emerson College,2025-11-10,850,2.5,,44.1,43.4,0.7,0.0,,,0.0,0.0,Katie Hobbs,Andy Biggs
AZ-GOV,0a572103-51f1-4822-aae8-cf2d473a7f0f,Emerson College,2025-11-10,850,2.5,,43.0,42.0,1.0,0.0,,,0.0,0.0,Katie Hobbs,Karrin Taylor Robson
AZ-GOV,0a572103-51f1-4822-aae8-cf2d473a7f0f,Emerson College,2025-11-10,850,2.5,,44.0,39.0,5.0,0.0,,,0.0,0.0,Katie Hobbs,David Schweikert
AZ-GOV,3a4cd071-53e4-48a9-8ec0-3b7853d002f1,Nextgen P,2025-12-17,2725,1.3,,51.0,30.0,21.0,0.0,,,0.0,0.0,Katie Hobbs,Karrin Taylor Robson
AZ-GOV,3a4cd071-53e4-48a9-8ec0-3b7853d002f1,Nextgen P,2025-12-17,2725,1.3,,51.0,32.0,19.0,0.0,,,0.0,0.0,Katie Hobbs,Andy Biggs
AZ-GOV,8f53f257-b53a-49f4-80cc-8ed45498f4c6,Noble Predictive Insights,2026-02-26,1023,1.8,,44.0,35.0,9.0,0.0,,,0.0,0.0,Katie Hobbs,David Schweikert
AZ-GOV,8f53f257-b53a-49f4-80cc-8ed45498f4c6,Noble Predictive Insights,2026-02-26,1023,1.8,,42.0,37.0,5.0,0.0,,,0.0,0.0,Katie Hobbs,Andy Biggs
AZ-GOV,6cfa73be-571b-4f20-b8b6-b5d26c55c6ad,TIPP Insights,2026-04-24,1159,1.5,R,48.4,37.6,10.8,0.0,,,0.0,0.0,Katie Hobbs,Andy Biggs
AZ-GOV,6cfa73be-571b-4f20-b8b6-b5d26c55c6ad,TIPP Insights,2026-04-24,1501,1.5,R,44.7,34.6,10.1,0.0,,,0.0,0.0,Katie Hobbs,Andy Biggs
AZ-GOV,b12e716c-8ade-4de5-bcdb-51d77e1aa07c,Noble Predictive Insights,2026-05-07,996,1.8,,42.0,35.0,7.0,6.0,IND,Hugh Lytle,0.0,0.0,Katie Hobbs,David Schweikert
AZ-GOV,b12e716c-8ade-4de5-bcdb-51d77e1aa07c,Noble Predictive Insights,2026-05-07,996,1.8,,41.0,37.0,4.0,5.0,IND,Hugh Lytle,0.0,0.0,Katie Hobbs,Andy Biggs
CA-03,7538894c-e0a4-4f00-ae7a-7596508ebd31,Tulchin Research,2025-07-10,400,1.3,D,45.0,47.0,-2.0,0.0,,,0.0,0.0,Heidi Hall,Kevin Kiley
CA-22,4b470bba-9ec2-488b-b4e0-6af05b9ee162,Public Policy Polling,2025-08-08,547,1.8,D,42.0,42.0,0.0,0.0,,,0.0,0.0,Jasmeet Bains,David G. Valadao
CA-22,4b470bba-9ec2-488b-b4e0-6af05b9ee162,Public Policy Polling,2025-08-08,547,1.8,D,44.0,42.0,2.0,0.0,,,0.0,0.0,Generic Democrat,David G. Valadao
CA-40,43bcce59-3f82-4738-874d-6928c996d13e,Tulchin Research,2026-01-19,800,1.3,D,44.0,44.0,0.0,0.0,,,0.0,0.0,Esther Kim-Varet,Ken Calvert
CA-40,43bcce59-3f82-4738-874d-6928c996d13e,Tulchin Research,2026-01-19,800,1.3,D,43.0,44.0,-1.0,0.0,,,0.0,0.0,Esther Kim-Varet,Young Kim
CA-48,7646a549-0add-41ca-8f97-eb9999119af6,Blueprint Polling,2025-10-26,517,1.3,D,43.0,40.0,3.0,0.0,,,0.0,0.0,Ammar Campa-Najjar,Darrell Issa
CA-GOV,ef4b0770-080f-41bc-8455-d0406e8a13e9,University of California Berkeley Institute of Governmental Studies,2026-05-24,8578,1.3,,52.0,31.0,21.0,0.0,,,0.0,0.0,Xavier Becerra,Steve Hilton
CA-GOV,1ca5915e-9c60-4f3d-89e9-7785ea4e5ee8,University of Southern California/California State University Long Beach Center for Urban Politics and Policy/Cal Poly Pomona,2026-05-26,735,1.3,,55.0,34.0,21.0,0.0,,,0.0,0.0,Tom Steyer,Steve Hilton
CA-GOV,1ca5915e-9c60-4f3d-89e9-7785ea4e5ee8,University of Southern California/California State University Long Beach Center for Urban Politics and Policy/Cal Poly Pomona,2026-05-26,735,1.3,,58.0,35.0,23.0,0.0,,,0.0,0.0,Xavier Becerra,Steve Hilton
CA-GOV,dcd15a6d-fa87-4fdc-9b8d-6950782e9970,Kreate Strategies,2026-06-17,900,1.3,,58.0,33.0,25.0,0.0,,,0.0,0.0,Xavier Becerra,Steve Hilton
CO-03,edf8bf05-3a02-4b59-b8ba-154c23aca139,Expedition Strategies,2026-01-12,400,1.3,D,39.0,48.0,-9.0,0.0,,,0.0,0.0,Alex Kelloff,Jeff Hurd
CO-03,bc1c815a-0646-4533-93c6-c0a8d0561b23,Ragnar Research Partners,2026-03-12,400,1.3,R,37.0,47.0,-10.0,0.0,,,0.0,0.0,Generic Democrat,Generic Republican
CO-03,bc1c815a-0646-4533-93c6-c0a8d0561b23,Ragnar Research Partners,2026-03-12,400,1.3,R,41.0,46.0,-5.0,0.0,,,0.0,0.0,Alex Kelloff,Jeff Hurd
CO-05,f54b098e-2666-4e2c-acc7-adb7f2312cce,Global Strategy Group,2025-11-03,450,1.8,D,40.0,43.0,-3.0,5.0,IND,Matt Cavanaugh,0.0,0.0,Jessica Killin,Jeff Crank
CO-GOV,8c916fa9-4a12-4e70-95fd-2fdd56b7e545,Magellan Strategies,2025-08-12,1136,1.3,,50.1,37.8,12.3,0.0,,,0.0,0.0,Generic Democrat,Generic Republican
CT-GOV,748f1fff-2f81-4cca-a789-071e7ab88c52,OnMessage Inc.,2025-08-14,600,1.3,R,50.0,42.0,8.0,0.0,,,0.0,0.0,Ned Lamont,Erin Stewart
CT-GOV,d51bef7e-c180-471e-b007-4b52ed80f222,University of New Hampshire,2026-06-23,821,1.3,,49.0,36.0,13.0,0.0,,,0.0,0.0,Ned Lamont,Ryan Fazio
FL-07,0ca4d70b-5fab-4b8f-b3f8-0dfc93bb3d53,Public Policy Polling,2026-05-21,570,1.8,D,41.0,39.0,2.0,0.0,,,0.0,0.0,Bale Dalton,Cory Mills
FL-13,86570a3c-00fa-42da-9bfa-1ae9113e94ec,Public Policy Polling,2026-05-20,616,1.8,D,39.0,41.0,-2.0,0.0,,,0.0,0.0,Leela Gray,Anna Paulina Luna
FL-25,833f0191-74b7-458f-9669-a6ec11f8c0bc,Beacon Insights,2026-05-02,461,1.3,D,42.9,32.7,10.2,0.0,,,0.0,0.0,Jared Moskowitz,Scott Singer
FL-25,833f0191-74b7-458f-9669-a6ec11f8c0bc,Beacon Insights,2026-05-02,461,1.3,D,40.1,38.5,1.6,0.0,,,0.0,0.0,Jared Moskowitz,George Moraitis
FL-27,ad170747-6130-4ec6-ae24-b2f8acfa724d,Kaplan Strategies,2025-07-27,804,1.3,,34.0,45.0,-11.0,0.0,,,0.0,0.0,Richard Lamondin,María Elvira Salazar
FL-27,ad170747-6130-4ec6-ae24-b2f8acfa724d,Kaplan Strategies,2025-07-27,804,1.3,,35.0,45.0,-10.0,0.0,,,0.0,0.0,Alexander Fornino,María Elvira Salazar
FL-27,ad170747-6130-4ec6-ae24-b2f8acfa724d,Kaplan Strategies,2025-07-27,804,1.3,,38.0,45.0,-7.0,0.0,,,0.0,0.0,Mike Davey,María Elvira Salazar
FL-27,ad170747-6130-4ec6-ae24-b2f8acfa724d,Kaplan Strategies,2025-07-27,804,1.3,,44.0,42.0,2.0,0.0,,,0.0,0.0,Daniella Levine Cava,María Elvira Salazar
FL-27,ef9c9a62-8338-48a1-9a39-3840a96b72ad,Blueprint Polling,2026-03-08,451,1.3,,40.0,47.0,-7.0,0.0,,,0.0,0.0,Robin Peguero,María Elvira Salazar
FL-27,ef9c9a62-8338-48a1-9a39-3840a96b72ad,Blueprint Polling,2026-03-08,451,1.3,,43.0,46.0,-3.0,0.0,,,0.0,0.0,Eliott Rodriguez,María Elvira Salazar
FL-28,c757ecb7-94f9-474d-b3e6-5966f7426513,MDW Communications,2026-03-07,514,1.3,,41.0,45.0,-4.0,0.0,,,0.0,0.0,Generic Democrat,Generic Republican
FL-28,c757ecb7-94f9-474d-b3e6-5966f7426513,MDW Communications,2026-03-07,514,1.3,,40.0,46.0,-6.0,0.0,,,0.0,0.0,Hector Mujica,Carlos A. Gimenez
FL-GOV,8ba070e8-794b-4e22-b62b-396576ec6d94,Targoz Market Research,2025-05-07,1153,1.3,,34.0,38.0,-4.0,5.0,IND,Jay Pizzo,0.0,0.0,Daniella Levine Cava,Byron Donalds
FL-GOV,8ba070e8-794b-4e22-b62b-396576ec6d94,Targoz Market Research,2025-05-07,1144,1.3,,35.0,39.0,-4.0,8.0,IND,Jay Pizzo,0.0,0.0,Daniella Levine Cava,Casey DeSantis
FL-GOV,b0a26e46-dc11-47cd-9343-71a417d661e7,Victory Insights,2025-06-10,600,1.3,,31.4,36.7,-5.3,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,741611b9-5f7f-41cc-ad74-566576a2b38d,McLaughlin & Associates,2025-08-27,800,1.0,R,41.0,49.0,-8.0,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,8072964e-4690-4b85-8f27-71cd113f3ec8,Cygnal Political,2025-08-27,1000,1.4,R,38.0,50.6,-12.6,0.0,,,0.0,0.0,Generic Democrat,Generic Republican
FL-GOV,3a7cb664-86d2-4f50-8a18-0b59eaf4b042,Bendixen & Amandi International,2025-09-09,631,1.3,D,41.0,40.0,1.0,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,3a7cb664-86d2-4f50-8a18-0b59eaf4b042,Bendixen & Amandi International,2025-09-09,631,1.3,D,40.0,42.0,-2.0,0.0,,,0.0,0.0,David W. Jolly,Paul Renner
FL-GOV,6ec1fd19-7b62-4dce-bcd4-747ad71317e5,Targoz Market Research,2025-09-18,1123,1.3,,33.0,34.0,-1.0,5.0,IND,Jay Pizzo,0.0,0.0,David W. Jolly,Paul Renner
FL-GOV,85470c38-3966-469e-b79c-0d6aa57b08b8,University of North Florida,2025-10-25,728,1.3,D,33.0,45.0,-12.0,0.0,,,0.0,0.0,Jerry Demings,Byron Donalds
FL-GOV,85470c38-3966-469e-b79c-0d6aa57b08b8,University of North Florida,2025-10-25,728,1.3,D,34.0,47.0,-13.0,0.0,,,0.0,0.0,David W. Jolly,Casey DeSantis
FL-GOV,85470c38-3966-469e-b79c-0d6aa57b08b8,University of North Florida,2025-10-25,728,1.3,D,36.0,47.0,-11.0,0.0,,,0.0,0.0,Jerry Demings,Casey DeSantis
FL-GOV,85470c38-3966-469e-b79c-0d6aa57b08b8,University of North Florida,2025-10-25,728,1.3,D,34.0,45.0,-11.0,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,9717bb62-87de-4da2-a173-9d0772e46664,Targoz Market Research,2026-02-16,0,1.3,,36.0,41.0,-5.0,6.0,IND,Jay Pizzo,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,9717bb62-87de-4da2-a173-9d0772e46664,Targoz Market Research,2026-02-16,1129,1.3,,34.0,36.0,-2.0,6.0,IND,Jay Pizzo,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,dd707c4b-ee2d-4cbe-8c41-75897ae3d196,The Public Sentiment Institute,2026-02-20,200,0.0,,30.3,31.3,-1.0,0.0,,,0.0,0.0,David W. Jolly,James Fishback
FL-GOV,dd707c4b-ee2d-4cbe-8c41-75897ae3d196,The Public Sentiment Institute,2026-02-20,124,0.0,,42.3,35.8,6.5,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,dd707c4b-ee2d-4cbe-8c41-75897ae3d196,The Public Sentiment Institute,2026-02-20,200,0.0,,32.2,35.7,-3.5,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,dd707c4b-ee2d-4cbe-8c41-75897ae3d196,The Public Sentiment Institute,2026-02-20,124,0.0,,40.1,32.9,7.2,0.0,,,0.0,0.0,David W. Jolly,James Fishback
FL-GOV,dd707c4b-ee2d-4cbe-8c41-75897ae3d196,The Public Sentiment Institute,2026-02-20,183,0.0,,31.9,31.8,0.1,0.0,,,0.0,0.0,David W. Jolly,James Fishback
FL-GOV,dd707c4b-ee2d-4cbe-8c41-75897ae3d196,The Public Sentiment Institute,2026-02-20,183,0.0,,34.0,36.7,-2.7,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,72690b9b-5fcd-43cc-9f2e-8b5dd041b889,University of North Florida,2026-03-02,776,1.3,,36.0,42.0,-6.0,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,72690b9b-5fcd-43cc-9f2e-8b5dd041b889,University of North Florida,2026-03-02,773,1.3,,36.0,43.0,-7.0,0.0,,,0.0,0.0,Jerry Demings,Byron Donalds
FL-GOV,0c1d5568-d122-4047-b18a-d2ae1f2bc8c1,Emerson College,2026-03-31,1125,2.5,,36.2,45.2,-9.0,0.0,,,0.0,0.0,Jerry Demings,Byron Donalds
FL-GOV,0c1d5568-d122-4047-b18a-d2ae1f2bc8c1,Emerson College,2026-03-31,1125,2.5,,39.6,39.0,0.6,0.0,,,0.0,0.0,David W. Jolly,Casey DeSantis
FL-GOV,0c1d5568-d122-4047-b18a-d2ae1f2bc8c1,Emerson College,2026-03-31,1125,2.5,,39.1,40.9,-1.8,0.0,,,0.0,0.0,Jerry Demings,Casey DeSantis
FL-GOV,0c1d5568-d122-4047-b18a-d2ae1f2bc8c1,Emerson College,2026-03-31,1125,2.5,,39.4,44.2,-4.8,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,6de9b68d-c895-4d9d-ae37-a4a63cc6e7da,MDW Communications,2026-04-03,1834,1.3,,40.5,41.2,-0.7,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,49b05a6f-e105-4f0b-8a6e-a05e9b0bbeae,Echelon Insights,2026-04-09,406,2.0,R,44.0,48.0,-4.0,0.0,,,0.0,0.0,Jerry Demings,Byron Donalds
FL-GOV,49b05a6f-e105-4f0b-8a6e-a05e9b0bbeae,Echelon Insights,2026-04-09,406,2.0,R,43.0,49.0,-6.0,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,e0c4d5f9-c97e-4b62-993b-32cda2a43ce8,Stetson University Center for Public Opinion Research,2026-04-13,848,1.3,,40.0,47.0,-7.0,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,e0c4d5f9-c97e-4b62-993b-32cda2a43ce8,Stetson University Center for Public Opinion Research,2026-04-13,848,1.3,,42.0,46.0,-4.0,0.0,,,0.0,0.0,Jerry Demings,Byron Donalds
FL-GOV,fba38c00-600a-4853-8185-203913c2ab61,Cherry Communications,2026-05-09,604,1.3,R,39.0,48.0,-9.0,0.0,,,0.0,0.0,Jerry Demings,Byron Donalds
FL-GOV,fba38c00-600a-4853-8185-203913c2ab61,Cherry Communications,2026-05-09,604,1.3,R,39.0,47.0,-8.0,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,d3c0332e-4eb3-40ce-9ca1-23424e5f5d79,Change Research,2026-05-16,1593,1.7,D,46.0,42.0,4.0,0.0,,,0.0,0.0,David W. Jolly,Byron Donalds
FL-GOV,cf8a97a9-9e76-43b9-9ea5-b8f605a65cc1,Kaplan Strategies,2026-06-09,668,1.3,,29.8,34.9,-5.1,7.1,NPA,Frank Russo,0.0,0.0,David W. Jolly,Byron Donalds
FL-SEN,20d8d9f1-7024-43b0-8013-fb723d409219,The Tyson Group,2025-10-03,800,1.3,,37.0,44.0,-7.0,0.0,,,0.0,0.0,Jennifer Jenkins,Ashley Moody
FL-SEN,85470c38-3966-469e-b79c-0d6aa57b08b8,University of North Florida,2025-10-25,728,1.3,D,38.0,49.0,-11.0,0.0,,,0.0,0.0,Jennifer Jenkins,Ashley Moody
FL-SEN,72690b9b-5fcd-43cc-9f2e-8b5dd041b889,University of North Florida,2026-03-02,772,1.3,,38.0,45.0,-7.0,0.0,,,0.0,0.0,Alexander Vindman,Ashley Moody
FL-SEN,72690b9b-5fcd-43cc-9f2e-8b5dd041b889,University of North Florida,2026-03-02,768,1.3,,38.0,46.0,-8.0,0.0,,,0.0,0.0,Angie Nixon,Ashley Moody
FL-SEN,0c1d5568-d122-4047-b18a-d2ae1f2bc8c1,Emerson College,2026-03-31,1125,2.5,,38.0,45.9,-7.9,0.0,,,0.0,0.0,Alexander Vindman,Ashley Moody
